PublishDate,Sentence
2018-12-14T07:18:00.000Z,今日外資(不含外資自營商)賣超68.1598億元，投信賣超6.6176億元，自營商賣超10.3267億元，三大法人賣超85.10億元。
2019-05-27T07:13:00.000Z,視為中美貿易戰受惠的健身器材股，今日喬山 (1736) 再飆出新高度，岱宇 (1598) 也同步跟漲。
2019-10-01T09:14:06.000Z,"
25.可成 (2474) ：每股成交價238.53元，成交量6萬7000股，成交金額1598萬1510元。"
2019-10-01T09:14:06.000Z,"
25.可成 (2474) ：每股成交價238.53元，成交量6萬7000股，成交金額1598萬1510元。"
2019-11-19T02:21:07.000Z,"
26.岱宇 (1598) ：健身風氣夯、進入年終傳統旺季，全年營收戰新高，昨獲外資翻多買超相挺，晨盤放量走揚2%，觸及半年線。"
2019-11-19T02:21:00.000Z, 26.岱宇 (1598) ：健身風氣夯、進入年終傳統旺季，全年營收戰新高，昨獲外資翻多買超相挺，晨盤放量走揚2%，觸及半年線。
2019-11-20T07:04:54.000Z,生醫股亦活蹦亂跳，神隆 (1789) 、順藥 (6535) 、太景*KY (4157) 在利多消息點火下扮多頭主帥，健身族群岱宇 (1598) 、喬山 (1736) 買氣不減，助拳生醫股漲幅居前段班。
2019-11-20T07:04:00.000Z,生醫股亦活蹦亂跳，神隆 (1789) 、順藥 (6535) 、太景*KY (4157) 在利多消息點火下扮多頭主帥，健身族群岱宇 (1598) 、喬山 (1736) 買氣不減，助拳生醫股漲幅居前段班。
2019-11-20T03:05:00.000Z,生醫股表現卻活蹦亂跳，神隆 (1789) 、順藥 (6535) 、太景*KY (4157) 在利多消息點火下扮多頭主帥，加以健身族群岱宇 (1598) 、喬山 (1736) 買氣不減，帶動生醫股漲幅居前段班，成為貿易戰升溫下的資金避風港。
2020-03-06T02:41:00.000Z,  而據統計，元月以來宣布執行庫藏股的台股上市櫃公包括：陽程 (3498) 、中天 (4128) 、光聖 (6442) 、精星 (8183) 、三陽工業 (2206) 、安國 (8054) 、華晶科 (3059) 、廣積 (8050) 、信音 (6126) 、伍豐 (8076) 、大江 (8436) 、麗嬰房 (2911) 、台翰 (1336) 、曜越 (3540) 、志信 (2611) 、岱宇 (1598) 、凱羿-KY (2939) 、湯石照明 (4972) 、彩富 (5489) 、藍天 (2362) 、聯傑 (3094) 、立德 (3058) 。
