PublishDate,Sentence
2018-04-09T07:06:00.000Z,生技股受惠政策帶動，多頭氣勢強勁，美吾華 (1731) 、和康生 (1783) 、景岳 (3164) 、台耀 (4746) 同步漲停，類股漲幅逾3%；外界看好生技股股價位階基期低加上取得藥證或併購利多...等因素未來仍可維繫市場熱度。
2020-01-30T06:59:22.000Z,"
暴漲的防疫概念股有國光生 (4142) 、和桐 (1714) 、花仙子 (1730) 、美吾華 (1731) 、中化生 (1762) 、生達 (1720) ，其中國光生與和桐為主力買進股。"
2020-01-30T06:59:00.000Z,  暴漲的防疫概念股有國光生 (4142) 、和桐 (1714) 、花仙子 (1730) 、美吾華 (1731) 、中化生 (1762) 、生達 (1720) ，其中國光生與和桐為主力買進股。
2020-01-30T03:09:27.000Z,"
逆勢股則以防疫概念股口罩、清潔商短線受惠大，包括美德醫TDR (9103) 、國光 (4142) 、高端疫苗 (6547) 、豪展 (4735) 、中化 (1701) 、美吾華 (1731) 、杏輝 (1734) 等攻上漲停價位。"
2020-01-30T03:09:00.000Z,　逆勢股則以防疫概念股口罩、清潔商短線受惠大，包括美德醫TDR (9103) 、國光 (4142) 、高端疫苗 (6547) 、豪展 (4735) 、中化 (1701) 、美吾華 (1731) 、杏輝 (1734) 等攻上漲停價位。
2020-02-21T03:28:10.000Z,"
今盤面依舊以具有防疫題材的個股最為強勢，包括高端疫苗 (6547) 新冠病毒疫苗拚H2人體實驗、亞諾法 (4133) 攜中原大學產製新冠類病毒顆粒抗疫，今日股價雙雙亮燈漲停，帶動國光生 (4142) 、合世 (1781) 、展旺 (4167) 、泰博 (4736) 、美吾華 (1731) 、豪展 (4735) 等亦順勢大漲。"
2020-02-21T03:28:00.000Z,  今盤面依舊以具有防疫題材的個股最為強勢，包括高端疫苗 (6547) 新冠病毒疫苗拚H2人體實驗、亞諾法 (4133) 攜中原大學產製新冠類病毒顆粒抗疫，今日股價雙雙亮燈漲停，帶動國光生 (4142) 、合世 (1781) 、展旺 (4167) 、泰博 (4736) 、美吾華 (1731) 、豪展 (4735) 等亦順勢大漲。
2020-03-02T02:23:09.000Z,"
13.美吾華 (1731) ：108年EPS 0.76元，優於107年的0.57元，早盤股價一度逆漲至14.95元，躍過5日線。"
2020-03-02T02:23:00.000Z,  13.美吾華 (1731) ：108年EPS 0.76元，優於107年的0.57元，早盤股價一度逆漲至14.95元，躍過5日線。
2020-03-02T02:23:09.000Z,"
13.美吾華 (1731) ：108年EPS 0.76元，優於107年的0.57元，早盤股價一度逆漲至14.95元，躍過5日線。"
2020-03-02T02:23:00.000Z,  13.美吾華 (1731) ：108年EPS 0.76元，優於107年的0.57元，早盤股價一度逆漲至14.95元，躍過5日線。
2020-04-09T09:19:02.000Z,"
8.台積電 (2330) ：每股成交價288.5元，成交量6萬股，成交金額1731萬元。"
2021-08-02T06:14:19.000Z,終場台股收在今天最高點，17300點、17400點和17500點整數關卡、以及5日線約17311點和10日線約17409點失而復得。
2021-08-02T06:14:19.000Z,終場台股收在今天最高點，17300點、17400點和17500點整數關卡、以及5日線約17311點和10日線約17409點失而復得。
