PublishDate,Sentence
2017-05-14T02:44:00.000Z,永信 (5508) 今年加薪2.5%，調幅為去年0.96%的2.6倍；奇鋐 (3017) 今年加薪3%，調幅更為去年1%的3倍水準。
2018-01-29T01:45:00.000Z,  10.永信 (3705) ：子公司永信（昆山）今日在大陸新三板掛牌，開啟生技業首例！
2018-05-03T03:12:00.000Z,股王大立光 (3008) 來到3705元，小漲0.1%。
2018-05-03T03:12:00.000Z,股王大立光 (3008) 來到3705元，小漲0.1%。
2018-12-03T06:31:00.000Z,大立光 (3008) 收在漲停價3705元，鴻海 (2317) 收74元，上漲2.92%。
2018-12-03T06:31:00.000Z,大立光 (3008) 收在漲停價3705元，鴻海 (2317) 收74元，上漲2.92%。
2018-12-25T06:42:00.000Z, 盤面上，韓國瑜今天就任高雄市長，呼籲中央開放陸資高雄買房，支撐今日營建股中的高雄概念股無畏台股大跌百餘點，京城 (2524) 、遠雄 (5522) 逆漲，隆大 (5519) 、國揚 (2505) 、永信建 (5508) 等溫和下跌，表現優於大盤。
2019-05-31T02:34:00.000Z, 電子股有效撐盤，資金比重回到6成6，大陸表明不報復蘋果，股王大立光 (3008) 開高走高，大漲近3%，股價最高達3705元，帶動同屬光學概念的玉晶光 (3406) 、揚明光 (3504) 等大漲逾3%，光學族群掀起反彈，鴻海 (2317) 、台積電 (2330) 早盤後也持穩走揚1.5%，蘋概三王發揮穩盤信心，其餘權值股方面，聯發科 (2454) 繼昨日大漲站回所有均線後，7家外資同聲喊買，三大法人同步買進，今持續強漲，漲幅一度逾1.8%，順利站上300元大關，股價最高達303元，面板雙虎友達 (2409) 、群創 (3481) 聯袂走揚，漲幅約1.5%，另外，華碩、英業達、緯創似乎是受到墨西哥設廠影響，股價反應利空，緯創下波段新低，緯穎 (6669) 更是殺到跌停。
2019-05-31T02:34:00.000Z, 電子股有效撐盤，資金比重回到6成6，大陸表明不報復蘋果，股王大立光 (3008) 開高走高，大漲近3%，股價最高達3705元，帶動同屬光學概念的玉晶光 (3406) 、揚明光 (3504) 等大漲逾3%，光學族群掀起反彈，鴻海 (2317) 、台積電 (2330) 早盤後也持穩走揚1.5%，蘋概三王發揮穩盤信心，其餘權值股方面，聯發科 (2454) 繼昨日大漲站回所有均線後，7家外資同聲喊買，三大法人同步買進，今持續強漲，漲幅一度逾1.8%，順利站上300元大關，股價最高達303元，面板雙虎友達 (2409) 、群創 (3481) 聯袂走揚，漲幅約1.5%，另外，華碩、英業達、緯創似乎是受到墨西哥設廠影響，股價反應利空，緯創下波段新低，緯穎 (6669) 更是殺到跌停。
2019-06-18T06:48:00.000Z,美股昨夜小漲靜待聯準會會議結果，台股盤初在權值三帥台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 連袂走高帶動下，大盤指數一度上攻至10573.77點，盤中雖玉晶光 (3406) 、矽創 (8016) 、泰碩 (3338) 等紛紛走弱，影響大盤一度翻黑，惟老大哥台積電坐穩高檔，加上聯發科 (2454) 、京元電 (2449) 、旺宏 (2337) 等半導體股攜手走強，輔以水泥、食品、金融等傳產類股相挺，雖股王大立光 (3008) 腿軟收低至3705元，拖累光電族群走低，但大盤仍跟隨台積電甩尾收高，並站上5日線，終場集中市場收10566.74點、上漲36.2點，但總成交值再縮至800.86億元；店頭市場收134.39點、下跌0.15點，總成交值239.70億元。
2019-06-18T06:07:00.000Z,台積電 (2330) 收235.5元，上漲1.07%，股王大立光 (3008) 下跌30元，收3705元，跌幅0.8%。
