PublishDate,Sentence
2017-01-06T05:53:00.000Z,分析師表示，台股今天狹幅震盪，高低點不到30點，其中，股王大立光 (3008) 再創歷史新高價4155元，不過，台積電 (2330) 、鴻海 (2317) 小幅回檔，多頭無力拉開指數空間。
2017-12-05T07:15:00.000Z,訊映 (4155) 今以每股22元掛牌上市，盤中最高衝至35.4元、大漲60%，終場收在34.9元、漲幅58.64%，蜜月行情火熱。
2018-04-08T06:38:00.000Z,　另外，本周還有24家上市櫃公司將召開法說會，近期生技族群量價齊揚，使得生技法說會最吸睛，周一有金可-KY (8406) ，周二有寶齡富錦 (1760) 、國光生 (4142) ，周三是承業醫 (4164) 、和康生技 (1783) 、訊映 (4155) 。
2019-07-17T07:29:00.000Z,股王大立光 (3008) 決定退出布局逾5年的車用鏡頭市場，集中資源衝刺手機鏡頭，大立光今天股價疲弱，終場下跌2.46%，收4155元。
2019-08-30T02:07:00.000Z, 30.訊映 (4155) ：將推出輔聽器搶攻高齡化商機，預計9月在台上市，並進軍國際，早盤聞訊火速攻頂，登上逾1年高峰。
2019-08-30T02:07:00.000Z, 30.訊映 (4155) ：將推出輔聽器搶攻高齡化商機，預計9月在台上市，並進軍國際，早盤聞訊火速攻頂，登上逾1年高峰。
2019-09-25T02:06:01.000Z,"
12.訊映 (4155) ：昨獲外資翻多買超177張，早盤一度攻上漲停，改寫逾1年半新高價。"
2019-09-25T02:06:00.000Z, 12.訊映 (4155) ：昨獲外資翻多買超177張，早盤一度攻上漲停，改寫逾1年半新高價。
2019-10-02T02:08:34.000Z,"
25.訊映 (4155) ：「歐克好聲音」輔聽器10月上市開賣，同時進軍國際市場，早盤在買盤給力下勁彈4%，攻上近2年高點。"
2019-10-02T02:08:00.000Z, 25.訊映 (4155) ：「歐克好聲音」輔聽器10月上市開賣，同時進軍國際市場，早盤在買盤給力下勁彈4%，攻上近2年高點。
2019-10-02T02:08:34.000Z,"
25.訊映 (4155) ：「歐克好聲音」輔聽器10月上市開賣，同時進軍國際市場，早盤在買盤給力下勁彈4%，攻上近2年高點。"
2019-10-02T02:08:00.000Z, 25.訊映 (4155) ：「歐克好聲音」輔聽器10月上市開賣，同時進軍國際市場，早盤在買盤給力下勁彈4%，攻上近2年高點。
2019-10-18T07:04:00.000Z,今日外資(不含外資自營商)買超61.1977億元，連續第5天買超，投信買超0.7929億元，自營商買超1.4155億元，三大法人買超63.40億元。
2019-10-28T07:18:58.000Z,"
今日集中市場十大漲幅個股為：佳和 (1449) 漲10.00%、聯嘉 (6288) 漲9.96%、定穎 (6251) 漲9.73%、健策 (3653) 漲9.70%、映泰 (2399) 漲9.68%、奕智博 (5259) 漲9.63%、麗臺 (2465) 漲9.59%、訊映 (4155) 漲9.40%、敦泰 (3545) 漲8.50%、憶聲 (3024) 漲7.87%。"
2019-10-28T07:18:00.000Z, 今日集中市場十大漲幅個股為：佳和 (1449) 漲10.00%、聯嘉 (6288) 漲9.96%、定穎 (6251) 漲9.73%、健策 (3653) 漲9.70%、映泰 (2399) 漲9.68%、奕智博 (5259) 漲9.63%、麗臺 (2465) 漲9.59%、訊映 (4155) 漲9.40%、敦泰 (3545) 漲8.50%、憶聲 (3024) 漲7.87%。
2020-02-11T01:56:00.000Z,  35.訊映 (4155) ：1月營收為1.48億元，年增66.02%，激勵早盤價量俱揚彈升6%，觸及半年線。
