PublishDate,Sentence
2017-08-03T00:47:00.000Z,4.原訂8月17日掛牌的泰福生技初次上市普通股股票承銷案，昨（2）晚突然因競價拍賣合格人數股數低於拍賣股數，宣告流標，為新股上市競拍新制失敗的首例，6541泰福-KY上市時程也將延後。
2017-08-03T00:47:00.000Z,4.原訂8月17日掛牌的泰福生技初次上市普通股股票承銷案，昨（2）晚突然因競價拍賣合格人數股數低於拍賣股數，宣告流標，為新股上市競拍新制失敗的首例，6541泰福-KY上市時程也將延後。
2018-04-23T07:13:00.000Z,蘋果股價持續重挫，台股供應鏈臉色鐵青，今日在三王台積電 (2330) 、鴻海 (2317) 與大立光 (3008) 續弱下，指數一度下探10687.25點，盤面上僅被動元件族群華新科 (2492) 、日電貿 (3090) 、國巨 (2327) 及高股息股凱美 (5317) 、智寶 (2375) 、堡達 (3537) 強勢大漲，金融股開發金 (2883) 、新光金 (2888) 相對有撐，生醫股和康生 (1783) 、佐登-KY (4190) 、泰福-KY (6541) 、晟德 (4123) 聯袂漲停相對亮眼，終場加權指數下跌82.25點為10697.13點，失守10700點大關，成交值縮至1354.49億元。
2018-04-23T07:13:00.000Z,傳產股以生醫股表現相對亮眼，生達 (1720) 、和康生 (1783) 、佐登-KY (4190) 、泰福-KY (6541) 、晟德 (4123) 聯袂漲停。
2018-04-25T07:12:00.000Z,高人氣的風電以及挖礦概念股攻勢再起，上緯控 (3708) 、世紀鋼 (9958) 雙雙走揚，撼訊 (6150) 跌深強彈；生醫股盤中強勢拉高，佐登-KY (4190) 、泰福-KY (6541) 、和康生 (1783) 亮燈漲停，中裕 (4147) 、大江 (8436) 等逆勢走強。
2018-05-15T06:42:00.000Z,新被納入MSCI成分股的威盛、上緯 (3708) 、強茂攻上漲停，嘉聯益 (6153) 漲幅7%，新光鋼 (2031) 、燿華 (2367) 漲幅超過5%，泰福-KY (6541) 漲幅超過3.5%。
2019-01-10T07:26:00.000Z,生技股各擁題材接棒演出，全宇-KY (4148) 、泰福-KY (6541) 、康樂-KY (4154) 、逸達 (6576) 強強滾。
2019-09-19T02:05:42.000Z,"
25.泰福-KY (6541) ：近日獲外資偏多操作，早盤急漲4%，挺進季線與半年線。"
2019-09-19T02:05:00.000Z, 25.泰福-KY (6541) ：近日獲外資偏多操作，早盤急漲4%，挺進季線與半年線。
2019-10-22T02:05:40.000Z,"
24.泰福-KY (6541) ：股價跌深，昨獲外資翻多買超，帶動晨盤反彈4%，暫除持續破底危機。"
2019-12-19T02:22:00.000Z, 27.泰福-KY (6541) ：Amgen撤回專利侵權訴訟，多頭掌聲叫好，早盤直攻漲停鎖住，進逼月線。
2019-12-30T02:27:00.000Z, 24.泰福-KY (6541) ：專利侵權訴訟和解題材續發酵，早盤勁揚3.5%，呈現日K連三紅。
2020-03-26T09:12:47.000Z,"
15.樺漢 (6414) ：每股成交價149元，成交量43萬9000股，成交金額6541萬1000元。"
2020-05-20T07:13:30.000Z,防疫股交投熱絡，生華科、康那香 (9919) 、熱映、寶齡富錦 (1760) 、泰福-KY (6541) 、盛弘漲停、中天 (4128) 觸及漲停、震盪中收紅，國光生 (4142) 、邦特、亞諾法 (4133) 、台康生技、晟德、泰博、豪展、台康生技等也滿面笑容，生醫類指成為上市漲幅第四。
