PublishDate,Sentence
2017-02-22T04:07:00.000Z,生技醫療族群表現也強勢，葡萄王、達爾膚大漲逾 6%，生展、基因、生泰、佰研、東陽、中裕等，也力守 1% 漲幅之上。
2019-10-07T02:00:19.000Z,"
28.生泰 (1777) ：9月營收1.06億元、年增77%，早盤跳漲4%，收復月線。"
2019-10-07T02:00:00.000Z, 28.生泰 (1777) ：9月營收1.06億元、年增77%，早盤跳漲4%，收復月線。
2019-10-30T01:27:00.000Z,昨日外資買超17771張，為買超個股首位。
2020-01-08T06:33:00.000Z,  台股昨(7日)續回落月線約11970點之下，台股今早進一步下探11800點，最低為11777點，但台積電領軍翻紅，台股走漲並接近11900點，拉升點數逾百點。
2020-01-08T03:08:00.000Z,  台股今早進一步下探11800點，最低為11777點，但台積電領軍翻紅，台股走漲並一度接近11900點，拉升點數逾百點，表現相對日韓陸等亞股強勢。
2020-01-08T02:54:00.000Z,美國和伊朗關係緊張，伊朗對美展開報復，美股道瓊指數收低，日股跳水大跌逾600點，儘管台股今天開盤走跌震盪，最低來到11777點，跌逾百點，不過10時半過後，台積電帶動電子股揚升翻紅，大盤重返11800點之上。
2020-01-14T07:39:35.000Z,"
聯電遭外資連兩日賣超計11777張後，昨日小幅回補買超1546張，加上昨夜ADR上漲，今日成交量日增2.5倍，股價彈升1.25%、至16.25元。"
2020-02-17T09:13:37.000Z,"
19.臻鼎-KY (4958) ：每股成交價123.47元，成交量14萬4000股，成交金額1777萬9680元。"
2020-03-06T06:00:00.000Z,  防疫股依舊為資金避風港，原料藥族群永日 (4102) 、中化生 (1762) 亮燈漲停，帶動台康生技 (6589) 、盛弘 (8403) 、豪展 (4735) 、神隆 (1789) 、展旺 (4167) 、生泰 (1777) 、雃博 (4106) 、國光生 (4142) 、華廣 (4737) 等全數勁揚。
2020-03-06T02:01:00.000Z,  35.生泰 (1777) ：2月營收為0.71億元，年增15.90%，晨盤逆勢揚升4%，跳上季線與半年線。
2020-03-09T03:50:00.000Z,  不過，儘管台股指數表現不佳，中小型個股表現亮眼的不少，永光 (1711) 、神隆 (1789) 、中生化 (1762) 、台耀 (4746) 及台康生技 (6589) 等盤中股價逆勢強攻漲停板，申豐 (6582) 及生泰 (1777) 等盤中股價逆勢走高，加上台股跌深後，搶短買盤進場，台股指數在中場過後急速向上拉升，截至11點35分為止，加權股價指數為11075.71點，下跌246.1點，成交量1541.11億元；OTC指數為141.15點，下跌3.11點，成交量277.32億元。
