PublishDate,Sentence
2018-01-16T06:46:00.000Z,  盤面上，生醫族群利多匯集，包括鈺緯 (4153) 正式成為泛鴻家軍、東洋 (4105) 請來林全任董座、浩鼎 (4174) 下午法說等，激勵今日合世 (1781) 、鈺緯、福永生技 (4183) 、優盛 (4121) 、台微體 (4152) 聯袂收在漲停，東洋漲4.98%、浩鼎漲2.16%，推升上櫃生醫類指漲逾1%，成為今日多頭指標。
2018-03-22T07:06:00.000Z,近期表現火熱的生醫股漲多拉回，科妍 (1786) 、麗豐-KY (4137) 、華廣 (4737) 、醣聯 (4168) 紛紛跳水，僅康聯-KY (4144) 、合世 (1781) 、百略 (4103) 強鎖漲停。
2018-03-23T07:11:00.000Z,盤面上以中小型題材股相對強勢，生醫股百略 (4103) 、康聯-KY (4144) 、合世 (1781) 寫下波段新高價；聯廣傳播 (8497) 今年營運看俏帶動上市首日大漲10%，啟動蜜月行情。
2018-03-23T06:12:00.000Z,傳產股跌幅大致在2%以內，生技股部分個股走紅，合世 (1781) 早盤攻上15.45元漲停價後直到收盤。
2018-03-26T07:16:00.000Z,生醫股法說今日由麗豐-KY (4137) 、全宇生技-KY (4148) 打頭陣，股價雙雙走高，帶動佰研 (3205) 、合富-KY (4745) 、順藥 (6535) 、雙美 (4728) 、美時 (1795) 、合世 (1781) 、寶齡 (1760) 、佐登-KY (4190) 、安成藥 (4180) 等攜手漲停，旭富 (4119) 、台耀 (4746) 、科妍 (1786) 、合一 (4743) 亦跟進大漲，推升類指飆高2.8%，法說暖場秀十分火熱。
2018-08-31T06:03:00.000Z, 生醫股今表現相對強勢，有合世 (1781) 漲停鎖住，晟德 (4123) 收盤大漲近3%，生醫股的走強也帶動櫃買指數今小漲0.5點作收。
2018-08-31T06:03:00.000Z, 生醫股今表現相對強勢，有合世 (1781) 漲停鎖住，晟德 (4123) 收盤大漲近3%，生醫股的走強也帶動櫃買指數今小漲0.5點作收。
2019-01-08T06:54:00.000Z, 盤面上，國際多空訊息交雜，台股缺乏主流股領軍，資金湧入生技族群，今日台微體 (4152) 、基亞 (3176) 、合世 (1781) 、明基醫 (4116) 聯袂漲停作收，健亞 (4130) 亦爆量收在31.2元、漲幅達7.6%，推升生醫類指逆漲逾1.5%，成為今日台股最大防空洞。
2019-09-02T09:20:10.000Z,"
14.中租-KY (5871) ：每股成交價127.25元，成交量14萬股，成交金額1781萬5000元。"
2019-09-02T09:20:10.000Z,"
14.中租-KY (5871) ：每股成交價127.25元，成交量14萬股，成交金額1781萬5000元。"
2019-11-20T09:14:48.000Z,"
9.致茂 (2360) ：每股成交價138.1元，成交量12萬9000股，成交金額1781萬4900元。"
2019-11-26T09:11:17.000Z,"
18.台積電 (2330) ：每股成交價296.94元，成交量6萬股，成交金額1781萬6400元。"
2020-02-03T02:18:38.000Z,"
8.合世 (1781) ：防疫概念股持續受資金追捧，早盤股價攻漲停11.25元鎖死。"
2020-02-03T02:18:00.000Z,  8.合世 (1781) ：防疫概念股持續受資金追捧，早盤股價攻漲停11.25元鎖死。
2020-02-04T02:20:00.000Z,  27.合世 (1781) ：全民抗「疫」，生醫股買氣強強滾，今日拉出第五根漲停，委買張數仍逾2000張排隊。
2020-02-03T02:18:38.000Z,"
8.合世 (1781) ：防疫概念股持續受資金追捧，早盤股價攻漲停11.25元鎖死。"
2020-02-03T02:18:00.000Z,  8.合世 (1781) ：防疫概念股持續受資金追捧，早盤股價攻漲停11.25元鎖死。
2020-02-04T02:20:00.000Z,  27.合世 (1781) ：全民抗「疫」，生醫股買氣強強滾，今日拉出第五根漲停，委買張數仍逾2000張排隊。
2020-02-05T07:16:50.000Z,"
傳產股方面，生醫股人氣匯聚百花齊放，包括基亞 (3176) 、太景*-KY (4157) 、神隆 (1789) 、台康生技 (6589) 開盤跳空漲停，帶動合世 (1781) 、訊聯 (1784) 、佰研 (3205) 、商之器 (8409) 、懷特 (4108) 等聯袂大漲，推升上市生醫類指大漲逾2%，上櫃生醫類指勁揚約1%，雙雙位居前段班，表現相對勇猛。"
2020-02-05T07:16:00.000Z,　傳產股方面，生醫股人氣匯聚百花齊放，包括基亞 (3176) 、太景*-KY (4157) 、神隆 (1789) 、台康生技 (6589) 開盤跳空漲停，帶動合世 (1781) 、訊聯 (1784) 、佰研 (3205) 、商之器 (8409) 、懷特 (4108) 等聯袂大漲，推升上市生醫類指大漲逾2%，上櫃生醫類指勁揚約1%，雙雙位居前段班，表現相對勇猛。
2020-02-21T03:28:10.000Z,"
今盤面依舊以具有防疫題材的個股最為強勢，包括高端疫苗 (6547) 新冠病毒疫苗拚H2人體實驗、亞諾法 (4133) 攜中原大學產製新冠類病毒顆粒抗疫，今日股價雙雙亮燈漲停，帶動國光生 (4142) 、合世 (1781) 、展旺 (4167) 、泰博 (4736) 、美吾華 (1731) 、豪展 (4735) 等亦順勢大漲。"
2020-02-21T03:28:00.000Z,  今盤面依舊以具有防疫題材的個股最為強勢，包括高端疫苗 (6547) 新冠病毒疫苗拚H2人體實驗、亞諾法 (4133) 攜中原大學產製新冠類病毒顆粒抗疫，今日股價雙雙亮燈漲停，帶動國光生 (4142) 、合世 (1781) 、展旺 (4167) 、泰博 (4736) 、美吾華 (1731) 、豪展 (4735) 等亦順勢大漲。
2020-02-24T02:56:33.000Z,盤面上仍為防疫概念股的天下，包括亞諾法 (4133) 、恆大 (1325) 、優盛 (4121) 、高端疫苗 (6547) 、毛寶 (1732) 、合世 (1781) 、美德醫-DR (9103) 同步亮燈漲停，瑞基 (4171) 亦搭上防疫列車連拉兩根漲停，替農科股打了一劑強心針，包括茂生 (1240) 、惠光 (6508) 、達邦蛋白 (6578) 均小跌1%內，表現相對大盤抗跌。
2020-02-24T02:56:00.000Z,盤面上仍為防疫概念股的天下，包括亞諾法 (4133) 、恆大 (1325) 、優盛 (4121) 、高端疫苗 (6547) 、毛寶 (1732) 、合世 (1781) 、美德醫-DR (9103) 同步亮燈漲停，瑞基 (4171) 亦搭上防疫列車連拉兩根漲停，替農科股打了一劑強心針，包括茂生 (1240) 、惠光 (6508) 、達邦蛋白 (6578) 均小跌1%內，表現相對大盤抗跌。
2020-02-24T02:08:00.000Z,  29.合世 (1781) ：防疫概念股續獲買盤追捧，今日拉出第二根漲停，位處相對高檔。
2020-02-25T02:12:00.000Z,  34.合世 (1781) ：肺炎疫情未見緩解，今日續獲買盤追捧，放量拉出第三根漲停，攻上逾1年半高點。
2020-05-18T07:13:17.000Z,外資續賣，加上美中貿易之爭升溫，台股權王台積電 (2330) 被迫陷入其中，華為到底是及時雨、還是致災雨，情勢混亂，衝擊今日台積電放量收低在290元、跌幅達2.68%，蘋概、華為相關概念股紛紛倒地，封測、載板股尤為傷重，拖累集中市場指數盤中最低探至10730.7點、下跌84.22點，所幸聯發科挾Q2業績看增題材一度漲停，帶領IC設計逆勢抗跌，加上網龍 (3083) 、華義 (3086) 、智冠 (3086) 等宅經濟概念股攜手合世 (1781) 、和康生 (1783) 、康那香 (9919) 等防疫概念股強勢抗空，終場大盤指數收10740.55點，跌點縮至74.37點，總成交值增至1894.50億元。
2020-06-01T01:28:44.000Z,美國總統川普宣布，為回應大陸強推港版國安法以及聯合世界衛生組織隱匿武漢肺炎疫情，美國即日起取消對香港的特殊待遇，並退出世界衛生組織；但並沒有說要退出中美貿易協議，也未祭出更多的關稅，緩解了市場的擔憂。
2020-06-01T01:28:44.000Z,美國總統川普宣布，為回應大陸強推港版國安法以及聯合世界衛生組織隱匿武漢肺炎疫情，美國即日起取消對香港的特殊待遇，並退出世界衛生組織；但並沒有說要退出中美貿易協議，也未祭出更多的關稅，緩解了市場的擔憂。
2020-06-15T03:52:39.000Z,所幸股王—大立光 (3008) 力守紅盤之上，生醫及中小型股續強，中化生 (1762) 、基亞 (3176) 、台耀 (4746) 、合世 (1781) 、優盛 (4121) 、勝一 (1773) 等盤中股價亮燈漲停，在多空激戰下，台股指數在平盤附近震盪，截至11點35分，加權股價指數11424.16點，下跌5.78點，成交量1042.15億元；OTC指數為152.97點，上漲1.11點，成交量302.64億元。
2020-06-15T03:52:39.000Z,所幸股王—大立光 (3008) 力守紅盤之上，生醫及中小型股續強，中化生 (1762) 、基亞 (3176) 、台耀 (4746) 、合世 (1781) 、優盛 (4121) 、勝一 (1773) 等盤中股價亮燈漲停，在多空激戰下，台股指數在平盤附近震盪，截至11點35分，加權股價指數11424.16點，下跌5.78點，成交量1042.15億元；OTC指數為152.97點，上漲1.11點，成交量302.64億元。
2021-02-01T07:07:00.000Z,▼（圖／翻攝自勞動部勞動基金運用局官網）而單以勞工可參與分配的新制勞退基金來看，去年全年收益數為1781.8億元、收益率為6.94％，若以可參與分配的新制勞退帳戶1205萬來估算，平均每名勞工可以分紅1萬4786元。
2021-02-01T07:07:00.000Z,▼（圖／翻攝自勞動部勞動基金運用局官網）而單以勞工可參與分配的新制勞退基金來看，去年全年收益數為1781.8億元、收益率為6.94％，若以可參與分配的新制勞退帳戶1205萬來估算，平均每名勞工可以分紅1萬4786元。
