PublishDate,Sentence
2017-04-11T01:39:00.000Z,  14.易威 (1799) ：孫公司泌尿藥物TLX-005接獲FDA通知已接受ANDA申請，並明訂最晚藥證核發時間，早盤聞訊大漲半根停板。
2017-06-22T07:03:00.000Z,傳產股方面，生醫股受到生技展即將登場，今日成為人氣指標，易威 (1799) 、佰研 (3205) 急攻漲停，帶動科妍 (1786) 、豪展 (4735) 、盛弘 (8403) 、訊聯 (1784) 等強勢大漲。
2017-06-26T07:09:00.000Z,傳產股方面，龍頭權值股統一超 (2912) 、台塑 (1301) 、台塑化 (6505) 攜手走高，生醫股因生技展即將登場提前暖身，國光生 (4142) 、承業醫 (4164) 、瑞基 (4171) 、醣聯 (4168) 、藥華藥 (6446) 、美時 (1795) 、易威 (1799) 、浩鼎 (4174) 等齊聲大漲。
2018-06-13T03:26:00.000Z,  回顧周二台股開低後在平盤附近震盪，成交金額放大至1799.27億元，電子股交投熱絡，台積電收高，台股小跌4點，收在11144.79點。
2018-10-17T01:14:00.000Z,根據台積電10月16日公告，自9月3日至10月16日共處分茂迪3萬1799張，平均交易價格為9.75元，交易金額3.1億元，此次交易呈現處分損失，對台積公司保留盈餘影響6.89億元。
2019-01-11T07:12:00.000Z,另外，上月營收表現亮眼的績優股成為鎂光燈焦點，包括易威 (1799) 、榮群 (8034) 、晶心科 (6533) 、晶彩科 (3535) 亮燈漲停，百和 (9938) 、德昌 (5511) 、漢唐 (2404) 緊跟在後。
2019-01-11T02:04:00.000Z, 16.易威 (1799) ：上月營收為0.72億元，年增230.82%，開盤後火速攻頂，躍上季線。
2019-01-14T02:01:00.000Z, 19.易威 (1799) ：上月營收年增2.3倍，早盤一度亮燈漲停，站上逾2個月高峰。
2019-01-14T01:59:00.000Z, 19.易威 (1799) ：上月營收年增2.3倍，早盤一度亮燈漲停，站上逾2個月高峰。
2019-09-11T02:17:15.000Z,"
30.易威 (1799) ：長效型抗憂鬱藥物獲美藥證，加上8月營收亮麗加持，繼昨日強攻漲停後，早盤續衝高6%，登上波段高峰。"
2019-09-11T02:17:00.000Z, 30.易威 (1799) ：長效型抗憂鬱藥物獲美藥證，加上8月營收亮麗加持，繼昨日強攻漲停後，早盤續衝高6%，登上波段高峰。
2020-02-26T02:07:00.000Z,  26.易威 (1799) ：列抗疫國家隊成員，股價自10元附近一路竄升，晨盤大漲9%，來到13.9元近1年高點。
2020-03-05T02:04:00.000Z,  39.易威 (1799) ：遭列注意股免驚，早盤急彈4%，續衝6年半高價。
2020-05-27T07:08:23.000Z,今年紅透半邊天的防疫概念股遭買盤棄守殺聲隆隆，康那香 (9919) 、國光生 (4142) 、易威 (1799) 、寶齡富錦 (1760) 、亞諾法 (4133) 摜至跌停，高端疫苗 (6547) 、中化生 (1762) 、中天 (4128) 、台康生技 (6589) 等綠光罩頂，拖累上市生醫類股大跌近3%，今非昔比淪為空頭大本營。
2021-07-13T01:25:33.000Z,（中央社記者潘智義台北2021年7月13日電）美股再創高，台股今天在台積電等電子股帶動下，早盤最高來到17999.32點，直逼萬八關卡，大漲184.99點，成交值新台幣逾400億元。
