PublishDate,Sentence
2017-12-21T07:14:00.000Z,傳產股方面，生醫股受到高價購併、擴產等題材加持，冠科-KY (6554) 續攻漲停並高掛53餘萬張排隊瘋搶及精華 (1565) 搶攻千元俱樂部激勵下，帶動隱形眼鏡概念股金可-KY (8406) 、寶利萊 (1813) 亮燈漲停，應華 (5392) 、寶島科 (5312) 跟進飆高。
2019-09-02T02:06:00.000Z, 27.寶利徠 (1813) ：早盤多頭發動急攻，差一檔攻上漲停，一舉攻克季線與半年線。
2019-09-03T06:45:42.000Z,中環 (2323) H2穩定獲利，近期外資積極買超，11:30過後交投急速升溫，終場成交量突破10萬大張、股價收漲7.05%；寶利徠 (1813) 第4季將推出變色鏡片，營運有機會更上層樓，今日飆出第二根漲停。
2019-09-03T06:45:00.000Z,中環 (2323) H2穩定獲利，近期外資積極買超，11:30過後交投急速升溫，終場成交量突破10萬大張、股價收漲7.05%；寶利徠 (1813) 第4季將推出變色鏡片，營運有機會更上層樓，今日飆出第二根漲停。
2019-09-02T02:06:00.000Z, 27.寶利徠 (1813) ：早盤多頭發動急攻，差一檔攻上漲停，一舉攻克季線與半年線。
2019-09-03T06:45:42.000Z,中環 (2323) H2穩定獲利，近期外資積極買超，11:30過後交投急速升溫，終場成交量突破10萬大張、股價收漲7.05%；寶利徠 (1813) 第4季將推出變色鏡片，營運有機會更上層樓，今日飆出第二根漲停。
2019-09-03T06:45:00.000Z,中環 (2323) H2穩定獲利，近期外資積極買超，11:30過後交投急速升溫，終場成交量突破10萬大張、股價收漲7.05%；寶利徠 (1813) 第4季將推出變色鏡片，營運有機會更上層樓，今日飆出第二根漲停。
2019-09-26T09:13:10.000Z,"
28.豐泰 (9910) ：每股成交價223.84元，成交量8萬1000股，成交金額1813萬1040元。"
2019-10-22T02:05:40.000Z,"
26.寶利徠 (1813) ：列眼球革命產業趨勢受惠股，近日獲外資偏多操作，早盤價量齊揚走高逾4%，拚返30元。"
2020-02-13T07:06:00.000Z,新冠肺炎疫情對金融市場衝擊逐漸降溫，以及美FED主席國會作證態度偏鴿，激勵周三美股再創新高，激勵台股周四開盤一舉躍過整數關卡、月線，以11813.50點上漲39.31點開出，在電子權值股續強下，指數漲幅擴大，一度衝上11854.98點，挑戰「武漢防線」11933點，惟賣壓相繼出籠，以及MSCI季度調整，MSCI全球新興市場指數中連四調降台股權重，多類股多頭氣勢退散，終場大盤小漲17.59點或0.15%，報11791.78點，成交量1398.13億元，10800和月線得而復失。
