PublishDate,Sentence
2017-08-07T02:28:00.000Z,韓媒etnews 7日報導(見此)，當前智慧機主板的主流產品為「任意層高密度連接板」(Any-layer HDI)，類載板是HDI的進階產品。
2017-08-21T07:17:00.000Z,今日外資賣超25.5009億元，投信買超0.7774億元，自營商買超5.3118億元，三大法人賣超19.41億元。
2017-11-06T02:12:00.000Z,韓媒etnews 8月7日解釋過SLP技術，類載板是「任意層高密度連接板」(HDI)的進階產品。
2018-04-03T07:24:00.000Z,  群聯表示，看好PCIe將接棒成為SSD主流規格，今年強打一系列相關控制晶片以協助客戶擴大市場版圖，最新推出的最高階PCIe SSD控制晶片PS5012-E12由於效能規格頂級，在研發階段即受到電競玩家們高度期待，而近日出爐的效能數據成果亦不負重望，尤其對獨立晶片廠最難達到的隨機讀取技術之瓶頸方面表現極佳，由於群聯導入自行研發之第二代進階協同處理器，因此PS5012-E12的IOPs可高達60萬，不但較目前市場上同等級晶片高出1倍之多，該效能表現亦優於不少NAND Flash原廠的自製控制晶片效能，此也突顯出在NAND Flash技術時序進入3D製程且快速演進的現階段，群聯與國際NAND Flash原廠之間長期策略合作，彼此透過技術高互補而達到共創新藍海商機之成果。
2018-04-03T07:24:00.000Z,  群聯表示，看好PCIe將接棒成為SSD主流規格，今年強打一系列相關控制晶片以協助客戶擴大市場版圖，最新推出的最高階PCIe SSD控制晶片PS5012-E12由於效能規格頂級，在研發階段即受到電競玩家們高度期待，而近日出爐的效能數據成果亦不負重望，尤其對獨立晶片廠最難達到的隨機讀取技術之瓶頸方面表現極佳，由於群聯導入自行研發之第二代進階協同處理器，因此PS5012-E12的IOPs可高達60萬，不但較目前市場上同等級晶片高出1倍之多，該效能表現亦優於不少NAND Flash原廠的自製控制晶片效能，此也突顯出在NAND Flash技術時序進入3D製程且快速演進的現階段，群聯與國際NAND Flash原廠之間長期策略合作，彼此透過技術高互補而達到共創新藍海商機之成果。
2019-06-19T03:12:00.000Z,此系列融合了用於嵌入式運算的新一代純量引擎、用於FPGA晶片編程的自行調適引擎及用於人工智慧（AI）推論與進階訊號處理的智慧引擎，進而在運算效能與效能功耗比上都大幅超越CPU與GPU。
2019-06-19T03:12:00.000Z,Versal AI Core平台提供高達400個已最佳化AI推論與進階訊號處理作業負載的AI引擎。
2019-07-18T10:47:00.000Z,台積電不認為短期營運可望因日韓兩國紛爭受惠客戶轉單，不過，對自家先進製程深具信心，表示下半年7奈米製程訂單將相當滿，預期今年7奈米、7奈米進階版與6奈米製程將貢獻超過25%業績。
2019-10-02T09:14:35.000Z,"
7.亞德客-KY (1590) ：每股成交價371.25元，成交量8萬4000股，成交金額3118萬5000元。"
2019-10-02T02:41:00.000Z, 中華電擴大與AWS合作，成為台灣第一家、也是同時取得AWS進階級諮詢合作夥伴(Advanced Tier Consulting Partner)及Direct Connect技術合作夥伴雙認證資格的AWS合作供應商，雙方將攜手搶攻全球雲端市場商機，昨獲外資肯定，擴大買超2272張，加上昨夜ADR逆漲0.84%，支撐今日股價守穩平盤之上。
