PublishDate,Sentence
2017-06-01T00:57:00.000Z,※未來注意事項1.週四(6/1)台股法說會：第一金 (2892) 、濟生 (4111) 、VHQ-KY (4803) 、巨路 (6192) 等。
2017-06-01T00:57:00.000Z,※未來注意事項1.週四(6/1)台股法說會：第一金 (2892) 、濟生 (4111) 、VHQ-KY (4803) 、巨路 (6192) 等。
2018-03-29T07:15:00.000Z,生醫股因法說題材加持續火熱，杏輝 (1734) 亮燈漲停領軍，健喬 (4114) 、濟生 (4111) 、懷特 (4108) 、邦特 (4107) 、葡萄王 (1707) 全面勁揚。
2018-03-29T07:15:00.000Z,生醫股因法說題材加持續火熱，杏輝 (1734) 亮燈漲停領軍，健喬 (4114) 、濟生 (4111) 、懷特 (4108) 、邦特 (4107) 、葡萄王 (1707) 全面勁揚。
2018-04-09T07:06:00.000Z,題材股的中鋼構 (2013) 、貿聯-KY (3665) 、生華科 (6492) 、濟生 (4111) 、宏捷科 (8086) 全面漲停，成為市場焦點。
2018-04-12T03:03:00.000Z,　櫃買指數重新站上各均線，今天開高走高，中小型股以中低價股為主，佳邦 (6284) 、濟生 (4111) 、美時 (1795) 、艾恩特 (3646) 等警示股維持強勢表現。
2019-03-08T06:28:00.000Z, 八大類股今跌多漲少，僅汽車、生醫等族群相對有撐，和泰車 (2207) 大漲1.8%，中華車 (2204) 也小漲0.4%；生醫股今逆勢點火，中天 (4128) 大漲逾4%，美時 (1795) 、金可-KY (8406) 、合一 (4743) 上漲約3.5%，濟生 (4111) 、健喬 (4114) 、邦特 (4107) 等也同步走強，帶動櫃買指數開低走高，終場翻紅。
2019-10-04T07:13:00.000Z,今日外資(不含外資自營商)賣超8.4111億元，投信買超3.753億元，自營商賣超23.0231億元，三大法人賣超27.68億元。
2019-10-04T07:13:00.000Z,今日外資(不含外資自營商)賣超8.4111億元，投信買超3.753億元，自營商賣超23.0231億元，三大法人賣超27.68億元。
2021-12-03T08:57:51.000Z,劉德音表示，地緣緊張局勢可能造成短期影響，不過最好的技術、製造及經濟生態運轉是半導體未來決勝因素，台灣應可帶動全球半導體邁入更精采10年。
2021-12-03T08:57:51.000Z,劉德音表示，世界對半導體需求仍會持續增長，台灣在這重要產業中占有穩固領導地位，地緣緊張局勢，可能對短期有影響，不過長遠看，最好的技術、製造及經濟生態運轉將是半導體未來決勝因素，相信台灣應可帶動全球邁入更精采的10年。
2021-12-03T07:56:12.000Z,他表示，地緣緊張局勢可能造成短期影響，不過最好的技術、製造及經濟生態運轉是半導體未來決勝因素，台灣應可帶動全球半導體邁入更精采10年。
2021-12-03T07:56:12.000Z,劉德音表示，世界對半導體需求仍會持續增長，台灣在這重要產業中占有穩固領導地位，地緣緊張局勢，可能對短期有影響，不過長遠看，最好的技術、製造及經濟生態運轉將是半導體未來決勝因素，相信台灣應可帶動全球邁入更精采的10年。
2021-12-04T06:35:57.000Z,劉德音強調，從長遠看，最好的技術製造和經濟生態，將是未來決勝因素。
2021-12-03T08:57:51.000Z,劉德音表示，地緣緊張局勢可能造成短期影響，不過最好的技術、製造及經濟生態運轉是半導體未來決勝因素，台灣應可帶動全球半導體邁入更精采10年。
2021-12-03T08:57:51.000Z,劉德音表示，世界對半導體需求仍會持續增長，台灣在這重要產業中占有穩固領導地位，地緣緊張局勢，可能對短期有影響，不過長遠看，最好的技術、製造及經濟生態運轉將是半導體未來決勝因素，相信台灣應可帶動全球邁入更精采的10年。
2021-12-03T07:56:12.000Z,他表示，地緣緊張局勢可能造成短期影響，不過最好的技術、製造及經濟生態運轉是半導體未來決勝因素，台灣應可帶動全球半導體邁入更精采10年。
2021-12-03T07:56:12.000Z,劉德音表示，世界對半導體需求仍會持續增長，台灣在這重要產業中占有穩固領導地位，地緣緊張局勢，可能對短期有影響，不過長遠看，最好的技術、製造及經濟生態運轉將是半導體未來決勝因素，相信台灣應可帶動全球邁入更精采的10年。
2021-12-04T06:35:57.000Z,劉德音強調，從長遠看，最好的技術製造和經濟生態，將是未來決勝因素。
