PublishDate,Sentence
2017-02-10T03:00:00.000Z,權值股台積電 (2330) 上漲0.54%，報185元；大立光 (3008) 續揚至4735元，漲幅2.7%；鴻海 (2317) 守在平盤之上，小漲0.67%，報89.5元。
2017-03-28T06:09:00.000Z,主要電子權值股走勢高檔震盪，股王大立光 (3008) 終場收在4735元，跌1.25%。
2017-03-30T02:56:00.000Z,主要電子權值股漲跌互見，台積電 (2330) 盤中來到192元，小漲0.2%，股王大立光 (3008) 盤中來到4735元，漲0.9%，鴻海 (2317) 盤中守平盤91.5元，聯發科 (2454) 盤中來到218.5元，跌0.2%。
2017-06-03T06:37:00.000Z,今天補上班，台股是全球唯一交易市場，不過，儘管外資放假，致使權值股如：台積電 (2330) 、大立光 (3008) 等今天多處於休息狀態，但美國股市連兩日創下歷史新高，激勵以內資買盤為主的中小型股及低價股，包括皇普 (2528) 、高野 (2736) 、森田 (8410) 、豪展 (4735) 、柏文 (8462) 、安心 (1259) 、前鼎 (4908) 、勁永 (6145) 、安可 (3615) 、寒舍 (2739) 、長天 (3431) 、新天地 (8940) 等以漲停板作收，營運看俏及買盤力挺的毅嘉 (2402) 、乙盛-KY (5243) 、義隆電 (2458) 、直得 (1597) 及松上 (6156) 等亦強勢收高，讓今天櫃買指數表現優於加權指數。
2017-06-03T06:37:00.000Z,今天補上班，台股是全球唯一交易市場，不過，儘管外資放假，致使權值股如：台積電 (2330) 、大立光 (3008) 等今天多處於休息狀態，但美國股市連兩日創下歷史新高，激勵以內資買盤為主的中小型股及低價股，包括皇普 (2528) 、高野 (2736) 、森田 (8410) 、豪展 (4735) 、柏文 (8462) 、安心 (1259) 、前鼎 (4908) 、勁永 (6145) 、安可 (3615) 、寒舍 (2739) 、長天 (3431) 、新天地 (8940) 等以漲停板作收，營運看俏及買盤力挺的毅嘉 (2402) 、乙盛-KY (5243) 、義隆電 (2458) 、直得 (1597) 及松上 (6156) 等亦強勢收高，讓今天櫃買指數表現優於加權指數。
2017-06-13T00:57:00.000Z,日期：2017年 6月13日※本日焦點股康控-KY、新日興、茂達、創意、鎧勝-KY、智寶、豪勉、東聯、新光鋼、大億科、捷波、豪展、日揚、博智、中橡、宏益、彰源※昨日盤勢解析英國大選結果各黨均未過半，英國首相梅伊宣布將組成聯合政府、留任首相；週五西歐三大指數上漲。
2017-06-22T07:03:00.000Z,傳產股方面，生醫股受到生技展即將登場，今日成為人氣指標，易威 (1799) 、佰研 (3205) 急攻漲停，帶動科妍 (1786) 、豪展 (4735) 、盛弘 (8403) 、訊聯 (1784) 等強勢大漲。
2017-10-13T09:22:00.000Z,（中央社記者張建中新竹2017年10月13日電）半導體類股本週表現強勁，類股指數大漲6.1%，據法人統計，半導體類股市值大增新台幣4735億元；其中，台積電 (2330) 本週市值增加3371億元，貢獻最大。
2017-10-24T07:12:00.000Z,傳產股方面，生醫股浩鼎 (4174) 強鎖漲停，帶動新藥族群智擎 (4162) 、中裕 (4147) 、基亞 (3176) 、台耀 (4746) 、豪展 (4735) 、佰研 (3205) 等人氣強強滾。
2017-11-30T02:02:00.000Z,  18.豪展 (4735) ：第4季歐洲標案穩定出貨、血壓計產品有機會12月出貨，法人看好今年營收、獲利可望聯袂創新高，激勵股價跳空大漲4%強過大盤。
2017-11-30T02:02:00.000Z,  18.豪展 (4735) ：第4季歐洲標案穩定出貨、血壓計產品有機會12月出貨，法人看好今年營收、獲利可望聯袂創新高，激勵股價跳空大漲4%強過大盤。
2019-03-26T07:02:00.000Z, 光電、生醫為台股攻高雙引擎，生醫股中，樂斯科 (6662) 今以每股36.8元入伍上櫃生醫族群，早盤股價大漲逾44%，蜜月行情甜滋滋，族群表現有看頭，羅麗芬-KY (6666) 強勢漲停，喬山 (1736) 、旭富 (4119) 、麗豐-KY (4137) 、佐登-KY (4190) ，以及上櫃的精華 (1565) 、友華 (4120) 、福永生技 (4183) 、豪展 (4735) 攜手齊揚。
2019-09-24T02:48:00.000Z, 羅昇 (8374) 私募引資友通，股價亮燈衝至漲停板22.15元；昇陽半 (8028) 旺季接單暢旺，法人看好今年營收可望改寫歷史新高，股價強漲逾6%；生技醫療族群以中小型個股表現較為強勢，優盛 (4121) 與盛弘攜手拚當藥局龍頭，股價鎖在漲停板11.7元，豪展 (4735) 漲幅逼近5%；PCB族群每日輪動個股不同，嘉聯益 (6153) 續強領漲，不過燿華 (2367) 及欣興 (3037) 等昨日衝高後今日遇到反壓，股價壓在平盤下方整理；生產蘋果西打汽水聞名的大飲 (1213) 停牌五個半月後，今日恢復交易實施全額交割，今日開盤跌停鎖住7.88元；宏碁 (2353) 盤中漲幅逾3.8%，帶量日K連3紅，多頭挑戰半年線；潤泰材 (8463) 挾著離岸風電商機題材，股價連拉2根漲停板。
2019-11-12T02:11:10.000Z,"
20.豪展 (4735) ：Q3每股盈餘1.52元、前3季每股賺3.23元，早盤跳空大漲逾4%，攻上1年半高點。"
2019-11-12T02:11:00.000Z, 20.豪展 (4735) ：Q3每股盈餘1.52元、前3季每股賺3.23元，早盤跳空大漲逾4%，攻上1年半高點。
