PublishDate,Sentence
2017-03-28T23:42:00.000Z,　林全強調，不只針對台積電，而是每家公司，若產業鏈繼續往下走，政府就有義務幫有意投資企業，並符合一定環評標準。
2017-04-21T04:10:00.000Z,交大前校長吳妍華於開幕當日欣慰地表示，在強調校園教育與社會責任合一的現代，很高興可以看到能與社會接軌的成果出現，希望交大能夠繼續朝向環境永續的方向，替社會構築更美好的未來。
2017-04-22T05:09:00.000Z,　交大前校長吳妍華於開幕當日表示，在強調校園教育與社會責任合一的現代，希望交大能夠繼續朝向環境永續的方向，替社會構築更美好的未來。
2017-08-31T07:05:00.000Z,櫃買市場今日相對活躍，光學族群因指標股紛紛遭到警示多數拉回整理，資金轉進生技股，指標股浩鼎 (4174) 遭MSCI剔除全球標準型指數台灣成分股，今利空出盡大漲近5%，帶動中裕 (4147) 、醣聯 (4168) 、懷特 (4108) 、佰研 (3205) 、東洋 (4105) 、合一 (4743) 等聯袂強彈，醫美族群麗豐-KY (4137) 、佐登-KY (4190) 同步攻頂，表現最為亮眼。
2017-08-31T00:02:00.000Z,他也認為，保留盈餘稅的精神，就是兩稅合一，他不反對此稅，但建議政府若要如此，可以提高公司所得稅，從現在的17%再往上調，但得取消課徵保留盈餘稅。
2017-08-31T07:05:00.000Z,櫃買市場今日相對活躍，光學族群因指標股紛紛遭到警示多數拉回整理，資金轉進生技股，指標股浩鼎 (4174) 遭MSCI剔除全球標準型指數台灣成分股，今利空出盡大漲近5%，帶動中裕 (4147) 、醣聯 (4168) 、懷特 (4108) 、佰研 (3205) 、東洋 (4105) 、合一 (4743) 等聯袂強彈，醫美族群麗豐-KY (4137) 、佐登-KY (4190) 同步攻頂，表現最為亮眼。
2017-08-31T00:02:00.000Z,他也認為，保留盈餘稅的精神，就是兩稅合一，他不反對此稅，但建議政府若要如此，可以提高公司所得稅，從現在的17%再往上調，但得取消課徵保留盈餘稅。
2017-10-16T01:58:00.000Z,新日光 (3576) 、昱晶 (3514) 及昇陽科 (3561) 三合一的大聯盟成軍，國發基金、經濟部泛公股將注資促成合併案，象徵政府支持太陽光電籌組大聯盟國家隊，政府注資規模約45～50億元，這次三合一由資本額最大的新日光出面主導，外傳新日光董座洪傳獻也是新公司董座，總經理可能由昱晶總經理潘文輝出任，一旦新日光遞件申請後，政府將加速完成審查。
2017-10-16T01:58:00.000Z,  市場認為，政府主導的3合一太陽能下游的大聯盟，也可能觸發其他中、下游廠的結盟動作，太陽能業者整併風一觸及發。
2017-10-18T07:01:00.000Z,像是三合一的昱晶 (3514) 、昇陽科 (3561) 早盤股價續強；周三也宣布結盟碩禾 (3691) 的茂迪 (6244) 今早股價亦強勢。
