PublishDate,Sentence
2017-02-23T06:27:00.000Z,  雙千金方面，股王大立光 (3008) 在外資將目標價調高至5700元激勵下，股價表現相對強勁，盤中一度達4800元，大漲120元，終場以4745元作收，上漲65元或1.38%；股后精測 (6510) 盤中買盤不墜，終場上漲40元或2.99%，以1375元作收。
2017-02-23T06:06:00.000Z,蘋果(Apple)股價走高，股王大立光 (3008) 又有外資調高目標價至5700元激勵下，盤中一度攻至4800點，終場股價上漲65元，收在4745元，不過未能帶動其他蘋概股同步走揚，台積電 (2330) 股價以平盤188.5元作收，鴻海 (2317) 收跌0.2元。
2018-01-31T02:06:00.000Z,  15.合富-KY (4745) ：今年營收、獲利可望兩位數成長，早盤逆勢走高2%，收復五日線。
2018-01-31T02:06:00.000Z,  15.合富-KY (4745) ：今年營收、獲利可望兩位數成長，早盤逆勢走高2%，收復五日線。
2018-03-26T07:16:00.000Z,由內資主導的台股今日老神在在，股王大立光 (3008) 扮演多頭主帥領漲光學股反彈，搭配生醫股上演法說暖身秀，麗豐-KY (4137) 、佰研 (3205) 、合富-KY (4745) 、美時 (1795) 等聯袂拉漲停，化解台積電 (2330) 、鴻海 (2317) 弱勢整理壓力，盤中多空多在10800點交戰，仍相對亞股強勢，尾盤大單敲進國泰金 (2882) 、新光金 (2888) 等金融股，使指數由黑翻紅，終場加權指數收在今日最高10840.05點，上漲16.72點，成交值縮小為1187.15億元。
2018-03-26T07:16:00.000Z,生醫股法說今日由麗豐-KY (4137) 、全宇生技-KY (4148) 打頭陣，股價雙雙走高，帶動佰研 (3205) 、合富-KY (4745) 、順藥 (6535) 、雙美 (4728) 、美時 (1795) 、合世 (1781) 、寶齡 (1760) 、佐登-KY (4190) 、安成藥 (4180) 等攜手漲停，旭富 (4119) 、台耀 (4746) 、科妍 (1786) 、合一 (4743) 亦跟進大漲，推升類指飆高2.8%，法說暖場秀十分火熱。
2018-04-26T02:29:00.000Z,  被動元件股今重回主流，禾伸堂 (3026) 大漲逾5.5%，國巨 (2327) 、華新科 (2492) 等漲幅亦達約3.5%；中小型個股今相對活躍，也帶動櫃買指數成功收復半年線，持續朝向季線挑戰，生醫族群扮演功臣之一，太景-KY (4157) 抗生素新藥俄國解盲成功，早盤一度漲停，美時 (1795) 大漲5.5%，登上近3年新高，商之器 (8409) 漲幅也達5%，盛弘 (8403) 、中裕 (4147) 、合富-KY (4745) 也順勢強漲。
2019-03-21T07:05:00.000Z,大立光 (3008) 因可望打入華為供應鏈而受惠，拉抬股價收紅漲1.06%至4745元。
2019-03-21T06:23:00.000Z,股王大立光 (3008) 收4745元，上漲1.06%。
2019-05-06T07:21:00.000Z,大立光4月營收登同期新高，為第二季開出紅盤下，今交投熱絡，股價盤中最高來到4900元，惟尾盤空壓增強，漲幅縮減至1.5%、收4745元。
2019-05-06T06:07:00.000Z,股王大立光 (3008) 受惠4月營收逾50億元，股價反而逆勢走揚，推升股價到4745元，漲幅1.5%。
