PublishDate,Sentence
2017-09-13T06:59:00.000Z,今日外資賣超91.3546億元，投信賣超3.6535億元，自營商賣超10.8144億元，三大法人賣超105.82億元。
2018-03-14T07:10:00.000Z,傳產股方面，生醫股獲買盤點火人氣強強滾，科妍 (1786) 、大學光 (3218) 、順藥 (6535) 亮燈漲停，浩鼎 (4174) 、鈺緯 (4153) 、安克 (4188) 、健喬 (4114) 等同步強彈；塑化股以二線族群較有表現，台苯 (1310) 、國喬 (1312) 、聯成 (1313) 攜手走揚。
2018-03-14T06:09:00.000Z,  整體而言，因台積電等電子權值股回檔，國泰金 (2882) 、富邦金 (2881) 等金控股亦熄火下，台股今在漲多後呈現整理，櫃買市場的中小型電子以及生技股仍有個股表現，今櫃買指數收盤逆勢收高，生技的大學光 (3218) 、順藥 (6535) 等收盤漲停。
2018-03-26T07:16:00.000Z,生醫股法說今日由麗豐-KY (4137) 、全宇生技-KY (4148) 打頭陣，股價雙雙走高，帶動佰研 (3205) 、合富-KY (4745) 、順藥 (6535) 、雙美 (4728) 、美時 (1795) 、合世 (1781) 、寶齡 (1760) 、佐登-KY (4190) 、安成藥 (4180) 等攜手漲停，旭富 (4119) 、台耀 (4746) 、科妍 (1786) 、合一 (4743) 亦跟進大漲，推升類指飆高2.8%，法說暖場秀十分火熱。
2018-09-13T07:06:00.000Z,傳產股仍為資金避風港，台塑集團台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 同步勁揚，成台股撐盤要角；生醫股持續反彈，順藥 (6535) 急性缺血性腦中風新藥獲台專利激勵股價鎖在漲停，逸達 (6576) 也在抗前列腺癌新劑型針劑將申請美國新藥藥證下強勢攻頂，帶動佰妍 (3205) 、東洋 (4105) 、優勝 (4121) 、智擎 (4162) 、浩鼎 (4174) 聯袂勁揚。
2018-09-13T02:45:00.000Z, 生醫股今持續強勢，順藥 (6535) 急性缺血性腦中風新藥獲台專利，股價急拉漲停，逸達也因抗前列腺癌新劑型針劑50mg劑新藥FP001，將申請美國新藥藥證，站上漲停鎖住，中化 (1701) 、合一 (4743) 、佰妍 (3205) 、東洋 (4105) 、優勝 (4121) 、智擎 (4162) 、浩鼎 (4174) 等也強勢走揚。
2019-01-08T07:21:00.000Z,傳產股成資金避風港，塑化股在台塑 (1301) 、台化 (1326) 、華夏 (1305) 、聯成 (1313) 聯手點火下強強滾，生醫股台微體 (4152) 、寶齡 (1760) 、基亞 (3176) 、訊聯 (1784) 、順藥 (6535) 獲買盤進駐熱鬧開趴。
2019-01-24T07:08:00.000Z,生技股成資金避風港人氣強強滾，寶齡 (1760) 亮燈漲停重返百元俱樂部，美時 (1795) 、浩鼎 (4174) 、奈米醫材 (6612) 、順藥 (6535) 、亞獅康-KY (6497) 跟進大漲。
2019-07-01T02:20:00.000Z, 35.順藥 (6535) ：止痛劑進軍海外，市場偏多看待，早盤股價聞訊走揚逾2%，力拚半年線。
2019-07-01T02:20:00.000Z, 35.順藥 (6535) ：止痛劑進軍海外，市場偏多看待，早盤股價聞訊走揚逾2%，力拚半年線。
2019-11-04T05:59:47.000Z,"
台積電 (2330) 釋出未來營運展望樂觀看法，不僅攻克300元關卡，股價漲幅高達3%，搭配鴻海 (2317) 及大立光 (3008) 同步走高，讓今天台股指數勢如破竹，指數跳空開高後一路走高，台積等權值股掌帥旗強攻，績優中小型股也跟進走高，新鼎 (5209) 、台生材 (6649) 、矽瑪 (3511) 、順藥 (6535) 、宇瞻 (8271) 、迅德 (6292) 、益安 (6499) 、地心引力 (3629) 、建準 (2421) 、新至陞 (3679) 、國產 (2504) 及訊連 (5203) 強攻漲停板作收，在台積領軍下，台股指數大漲157點，連過11400點及11500點兩關卡，再創29年半以來新高，終場加權股價指數為11556.85點，上漲157.32點，成交量1566.05億元；OTC指數為145.99點，上漲0.87點，成交量354.87億元。"
2019-11-04T05:59:00.000Z,　台積電 (2330) 釋出未來營運展望樂觀看法，不僅攻克300元關卡，股價漲幅高達3%，搭配鴻海 (2317) 及大立光 (3008) 同步走高，讓今天台股指數勢如破竹，指數跳空開高後一路走高，台積等權值股掌帥旗強攻，績優中小型股也跟進走高，新鼎 (5209) 、台生材 (6649) 、矽瑪 (3511) 、順藥 (6535) 、宇瞻 (8271) 、迅德 (6292) 、益安 (6499) 、地心引力 (3629) 、建準 (2421) 、新至陞 (3679) 、國產 (2504) 及訊連 (5203) 強攻漲停板作收，在台積領軍下，台股指數大漲157點，連過11400點及11500點兩關卡，再創29年半以來新高，終場加權股價指數為11556.85點，上漲157.32點，成交量1566.05億元；OTC指數為145.99點，上漲0.87點，成交量354.87億元。
2019-11-04T05:59:47.000Z,"
台積電 (2330) 釋出未來營運展望樂觀看法，不僅攻克300元關卡，股價漲幅高達3%，搭配鴻海 (2317) 及大立光 (3008) 同步走高，讓今天台股指數勢如破竹，指數跳空開高後一路走高，台積等權值股掌帥旗強攻，績優中小型股也跟進走高，新鼎 (5209) 、台生材 (6649) 、矽瑪 (3511) 、順藥 (6535) 、宇瞻 (8271) 、迅德 (6292) 、益安 (6499) 、地心引力 (3629) 、建準 (2421) 、新至陞 (3679) 、國產 (2504) 及訊連 (5203) 強攻漲停板作收，在台積領軍下，台股指數大漲157點，連過11400點及11500點兩關卡，再創29年半以來新高，終場加權股價指數為11556.85點，上漲157.32點，成交量1566.05億元；OTC指數為145.99點，上漲0.87點，成交量354.87億元。"
