PublishDate,Sentence
2018-06-25T05:40:00.000Z,近期生技股有兩大題材護身，首先是近期生技股掀起掛牌熱，逸達 (6576) 將在29日率先掛牌上櫃，包括達邦 (6578) 、奈米醫 (6612) 、皇將 (4744) 和茂生 (1240) 等4家公司也可望在第3季陸續掛牌，還有瑩碩生技 (6677) 將要在本週登錄興櫃，使得生技股題材豐富。
2018-09-13T07:06:00.000Z,傳產股仍為資金避風港，台塑集團台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 同步勁揚，成台股撐盤要角；生醫股持續反彈，順藥 (6535) 急性缺血性腦中風新藥獲台專利激勵股價鎖在漲停，逸達 (6576) 也在抗前列腺癌新劑型針劑將申請美國新藥藥證下強勢攻頂，帶動佰妍 (3205) 、東洋 (4105) 、優勝 (4121) 、智擎 (4162) 、浩鼎 (4174) 聯袂勁揚。
2018-09-13T02:45:00.000Z, 生醫股今持續強勢，順藥 (6535) 急性缺血性腦中風新藥獲台專利，股價急拉漲停，逸達也因抗前列腺癌新劑型針劑50mg劑新藥FP001，將申請美國新藥藥證，站上漲停鎖住，中化 (1701) 、合一 (4743) 、佰妍 (3205) 、東洋 (4105) 、優勝 (4121) 、智擎 (4162) 、浩鼎 (4174) 等也強勢走揚。
2019-01-10T07:26:00.000Z,生技股各擁題材接棒演出，全宇-KY (4148) 、泰福-KY (6541) 、康樂-KY (4154) 、逸達 (6576) 強強滾。
2019-02-12T07:05:00.000Z,傳產股由台塑四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 掌多頭大旗，生醫股攻勢不間斷，美時 (1795) 、喬山 (1736) 、鐿鈦 (4163) 、逸達 (6576) 強強滾。
2019-02-12T02:09:00.000Z, 24.逸達 (6576) ：前列腺癌藥FP-001授權案報喜！
2019-02-13T02:00:00.000Z, 21.逸達 (6576) ：新藥8600萬美元授權Accord利多持續發酵，激勵股價連兩日跳空漲停鎖死，今日登上80元大關，委買仍掛1.9萬張。
2019-07-02T02:17:00.000Z, 28.逸達 (6576) ：法人正面看待生技股下半年表現，獲統一投顧目標價看128元，早盤急拉大漲8%，一舉攻上80元及季線與半年線。
2019-07-02T02:17:00.000Z, 28.逸達 (6576) ：法人正面看待生技股下半年表現，獲統一投顧目標價看128元，早盤急拉大漲8%，一舉攻上80元及季線與半年線。
2019-07-17T07:07:00.000Z,傳產股以觀光、營建、汽車、航運等表現較強，生技股在選舉行情、生技展及多家藥證到位利多催化下，包括逸達 (6576) 、藥華藥 (6446) 、太醫 (4126) 、佰研 (3205) 、晟德 (4123) 等逆勢勁揚。
2019-08-23T02:09:16.000Z,"
27.逸達 (6576) ：獲美FDA針對FP-001 50毫克新藥藥證申請Type A Meeting會議，早盤聞訊走高5%，重返月線。"
2019-08-23T02:09:00.000Z, 27.逸達 (6576) ：獲美FDA針對FP-001 50毫克新藥藥證申請Type A Meeting會議，早盤聞訊走高5%，重返月線。
2020-01-13T02:06:00.000Z,  33.逸達 (6576) ：海外新藥證申請，營運可望添翼，早盤聞訊大漲8%，收復五日線。
2020-03-09T06:45:00.000Z,全球最大石油生產國之間的全面價格戰及歐美新冠肺炎疫情延燒，重創國際油價及全球股市，今日國際油價開盤一度狂潟超過30%，全球股市也同步大地震，美股盤前期指重挫逾千點，亞股及台股開盤後就湧現龐大賣壓，台積電 (2330) 、大立光 (3008) 、台塑化 (6505) 、台塑 (1301) 、和泰車 (2207) 、信驊 (5274) 、鴻海 (2317) 、儒鴻 (1476) 、亞德客-KY (1590) 及台達電 (2308) 等各產業龍頭權值股均同步重挫收低，資金持續集中在中小型個股，包括：永光 (1711) 、神隆 (1789) 、進階 (3118) 、逸達 (6576) 、台耀 (4746) 、九齊 (6494) 及台康生技 (6589) 等逆勢強攻漲停板作收。
2020-03-13T07:08:46.000Z,外資(不含外資自營商)賣超302.3231億元，投信賣超14.5816億元，自營商買超23.6576億元，三大法人賣超293.24億元。
2020-04-06T09:14:29.000Z,"
25.旭隼 (6409) ：每股成交價642.5元，成交量25萬8000股，成交金額1億6576萬5000元。"
2020-06-29T23:41:05.000Z,"
◆逸達治癌新藥，7月向FDA送件。"
2020-06-29T23:41:05.000Z,"
◆逸達治癌新藥，7月向FDA送件。"
2020-12-08T06:17:21.000Z,台積電零股股東人數也不斷增加，達26萬8714人，近一週增6576人。
2020-12-08T06:17:21.000Z,隨著股價攀高，台積電零股股東也不斷增加，據統計，至12月4日，台積電零股股東人數達26萬8714人，近一週增加6576人。
