PublishDate,Sentence
2017-06-22T07:03:00.000Z,傳產股方面，生醫股受到生技展即將登場，今日成為人氣指標，易威 (1799) 、佰研 (3205) 急攻漲停，帶動科妍 (1786) 、豪展 (4735) 、盛弘 (8403) 、訊聯 (1784) 等強勢大漲。
2018-04-26T02:29:00.000Z,  被動元件股今重回主流，禾伸堂 (3026) 大漲逾5.5%，國巨 (2327) 、華新科 (2492) 等漲幅亦達約3.5%；中小型個股今相對活躍，也帶動櫃買指數成功收復半年線，持續朝向季線挑戰，生醫族群扮演功臣之一，太景-KY (4157) 抗生素新藥俄國解盲成功，早盤一度漲停，美時 (1795) 大漲5.5%，登上近3年新高，商之器 (8409) 漲幅也達5%，盛弘 (8403) 、中裕 (4147) 、合富-KY (4745) 也順勢強漲。
2018-10-01T06:36:00.000Z, 中小型股—環科 (2412) 、橙的 (4554) 、盛弘 (8403) 、易華電 (6552) 、永昕 (4726) 、國光生 (4142) 及達邦蛋白 (6578) 均以漲停作收，搭配台積電及鴻海 (2317) 穩盤，電子類族重掌多頭大旗，帶動台股指數開高走高，尾盤雖然小幅拉回，但仍順利站上11050點，不過市場追價意願不足，成交量呈現萎縮，未達千億元水準，終場加權股價指數為11051.8點，上漲45.46點，成交量為928.65億元；OTC指數為134.81點，上漲1.23點，成交量為193.64億元。
2018-10-01T06:36:00.000Z, 中小型股—環科 (2412) 、橙的 (4554) 、盛弘 (8403) 、易華電 (6552) 、永昕 (4726) 、國光生 (4142) 及達邦蛋白 (6578) 均以漲停作收，搭配台積電及鴻海 (2317) 穩盤，電子類族重掌多頭大旗，帶動台股指數開高走高，尾盤雖然小幅拉回，但仍順利站上11050點，不過市場追價意願不足，成交量呈現萎縮，未達千億元水準，終場加權股價指數為11051.8點，上漲45.46點，成交量為928.65億元；OTC指數為134.81點，上漲1.23點，成交量為193.64億元。
2019-09-24T02:48:00.000Z, 羅昇 (8374) 私募引資友通，股價亮燈衝至漲停板22.15元；昇陽半 (8028) 旺季接單暢旺，法人看好今年營收可望改寫歷史新高，股價強漲逾6%；生技醫療族群以中小型個股表現較為強勢，優盛 (4121) 與盛弘攜手拚當藥局龍頭，股價鎖在漲停板11.7元，豪展 (4735) 漲幅逼近5%；PCB族群每日輪動個股不同，嘉聯益 (6153) 續強領漲，不過燿華 (2367) 及欣興 (3037) 等昨日衝高後今日遇到反壓，股價壓在平盤下方整理；生產蘋果西打汽水聞名的大飲 (1213) 停牌五個半月後，今日恢復交易實施全額交割，今日開盤跌停鎖住7.88元；宏碁 (2353) 盤中漲幅逾3.8%，帶量日K連3紅，多頭挑戰半年線；潤泰材 (8463) 挾著離岸風電商機題材，股價連拉2根漲停板。
2019-09-25T02:06:01.000Z,"
14.優盛 (4121) ：盛弘併購案雖獲公司澄清為媒體臆測，早盤仍在買盤簇擁下跳空大漲8%，攻上今年最高。"
2019-09-25T02:06:00.000Z, 14.優盛 (4121) ：盛弘併購案雖獲公司澄清為媒體臆測，早盤仍在買盤簇擁下跳空大漲8%，攻上今年最高。
2019-11-12T02:11:10.000Z,"
22.盛弘 (8403) ：前3季毛利率21%創新高，EPS 1.62元，表現勝去年同期，早盤跳漲3%，登上2個月高點。"
2019-11-12T02:11:00.000Z, 22.盛弘 (8403) ：前3季毛利率21%創新高，EPS 1.62元，表現勝去年同期，早盤跳漲3%，登上2個月高點。
2020-02-10T02:09:00.000Z,  30.盛弘 (8403) ：轉投資敏成24小時不停機生產醫療用口罩濾材，訂單已排程到5月，晨盤吸引買盤追捧，股價放量衝高近5%，站上逾1年高價。
2020-03-04T02:08:20.000Z,"
35.盛弘 (8403) ：旗下小金雞敏成敏成產能全開，支應500萬片口罩，晨盤強彈7%，跳上月線。"
2020-03-04T02:08:00.000Z,  35.盛弘 (8403) ：旗下小金雞敏成敏成產能全開，支應500萬片口罩，晨盤強彈7%，跳上月線。
2020-03-04T02:08:20.000Z,"
35.盛弘 (8403) ：旗下小金雞敏成敏成產能全開，支應500萬片口罩，晨盤強彈7%，跳上月線。"
2020-03-04T02:08:00.000Z,  35.盛弘 (8403) ：旗下小金雞敏成敏成產能全開，支應500萬片口罩，晨盤強彈7%，跳上月線。
2020-03-06T06:00:00.000Z,  防疫股依舊為資金避風港，原料藥族群永日 (4102) 、中化生 (1762) 亮燈漲停，帶動台康生技 (6589) 、盛弘 (8403) 、豪展 (4735) 、神隆 (1789) 、展旺 (4167) 、生泰 (1777) 、雃博 (4106) 、國光生 (4142) 、華廣 (4737) 等全數勁揚。
2020-03-06T02:01:00.000Z,  30.盛弘 (8403) ：防疫題材續熱，晨盤放量飆高6%，強登逾1年半高峰。
2020-05-20T07:13:30.000Z,防疫股交投熱絡，生華科、康那香 (9919) 、熱映、寶齡富錦 (1760) 、泰福-KY (6541) 、盛弘漲停、中天 (4128) 觸及漲停、震盪中收紅，國光生 (4142) 、邦特、亞諾法 (4133) 、台康生技、晟德、泰博、豪展、台康生技等也滿面笑容，生醫類指成為上市漲幅第四。
2020-05-20T23:50:07.000Z,"
民生必備戰略物資，如口罩、防護衣、呼吸器，這次因疫情出現的搶購衛生紙、米、泡麵等，未來也必須維持自給自足，正隆、永豐、統一、台肥及防疫國家隊恆大、康那香、南六、盛弘、敏成等，長線獲法人看好。"
