PublishDate,Sentence,Score
2018-12-19T08:23:00.000Z,"台積電 (2330) 預計在南科台南園區進行6,000億元3奈米建廠投資計畫，環保署環評大會今（19）日續審南科基地變更環差報告，針對用水、用電部分，分別請台電、水利署進行報告，在完成近2小時的說明後，環評委員同意通過。",6
2018-12-20T01:41:00.000Z,台積電 (2330) 在台南的3奈米新廠甫通過環差（環境影響差異分析），預計2020年開始動工。,0
2018-12-20T01:41:00.000Z,　台積電今年上半年已著手5奈米新廠的擴建，加上房地產回溫，帶動上半年鋼筋需求；台積公司位於台南的3奈米新廠預計於2020年開始動工建置，中鋼構有機會持續搶攻台積電的鋼構建材大單。,4
2018-12-20T00:03:00.000Z,台積電 (2330) 在台南的3奈米新廠甫通過環差（環境影響差異分析），但全台的鋼骨建材就已被訂購一空、據悉背後買家就是台積電，近期不少中大型建案也因此受到影響，為等鋼骨建材到貨，手上工程進度至少延緩1季左右的進度。,-1
2018-12-20T00:03:00.000Z,　據了解，台積電位於台南的3奈米新廠預計於2020年開始動工建置，但今年上半年就已著手5奈米新廠的擴建，也因此中鋼構有不少鋼構建材都出貨給台積電，粗估光台南新廠所需的鋼構建材規模就高達2萬公噸。,1
2018-12-19T23:49:00.000Z,　環保署環評大會昨（19）日審查南科台南基地變更環差報告，在台電、水利署進行用電、用水報告，全力擔保供應無虞後，全案修正通過。,4
2018-12-19T23:49:00.000Z,　環評大會昨天進行討論時，經濟部次長曾文生、水利署長賴建信等官員親自出席，在閉門會議討論時，針對用水疑慮，水利署解釋，台南地區目前一日平均供水量為93萬噸，以現況來說，供水跟需水量已達平衡，但若看未來長期發展，納入南科案或是台南地區人口增加等原因，研判至2031年，每日用水需求會再增加28萬噸。,3
2018-12-19T23:49:00.000Z,　此外，台積電承諾將在量產後，再生能源市場機制完善下，逐年取得用電量20％的再生能源，因此環評委員結論中也要求，經濟部、台南市政府推估配合此案量產用電時程，協助優先滿足本案的再生能源發電。,4
2018-12-19T23:49:00.000Z,能源局強調，台南太陽光電到2020年就有1GW（10億瓦）裝置容量，可符合台積電需求。,1
2018-12-06T08:25:00.000Z,5奈米方面，明年第二季風險試產，一年後，即將會在2020年量產，主要廠區在台南，已經開始逐步移入機台。,0
2018-12-06T08:25:00.000Z, 台積公司總裁魏哲家今日首度透露，在台南六廠的廠區，正建置另外新的一期8吋廠的特殊製程，這也是台積電十多年以來，再度重啟布局供需吃緊的8吋製程。,-1
2018-12-06T07:41:00.000Z,台積電(2330)今日舉行供應鏈管理大會，總裁魏哲家在開場致詞時提到，5奈米明年第二季開始風險試產，廠區也開始逐步移入機台，規格已定，希望供應商配合，達到綠色製造的目標；也提及3奈米會成為推動產業繼續成長的動能，並透露，正在台南六廠區興建新一期特殊8吋製程廠房。,6
2018-12-06T07:41:00.000Z,　　而製程部分，魏哲家提到，7奈米是今年重點，廠區在台中，明年繼續建置，至於5奈米方面，明年第二季風險試產，一年後，就是會在2020年量產，主要廠區在台南，為FAB18，已經就位開始逐步移入機台；至於更先進的3奈米，現階段廠區已經進入環評階段，也預期，3奈米將會繼續成為推動產業成長的動力。,2
2018-12-06T07:41:00.000Z,　　另外魏哲家也補充，台積電會繼續建置後段廠區與廠產能，更首度透露，在台南六廠的廠區，正建置另外新的一期8吋廠的特殊製程。,-1
2018-12-07T04:18:00.000Z,台積電 (2330) 昨(6)日透露將於台南廠區新建8吋晶圓廠，為睽違15年首次。,-1
