PublishDate,Sentence
2017-04-10T09:12:00.000Z,證交所公告今日單一證券鉅額成交，股票名稱：  1.東和鋼鐵 (2006) ：每股成交價23.4元，成交量2560萬股，成交金額5億9904萬元。
2017-04-20T00:59:00.000Z,2.鋼鐵拉回修正，東和鋼鐵 (2006) 、燁輝 (2023) 、大成鋼 (2027) 、中鴻 (2014) 等下跌。
2017-06-01T07:41:00.000Z,Android將在中東和非洲地區快速成長，2018年兩地區的Android出貨量將大增10%。
2017-06-02T00:59:00.000Z,※弱勢股：以個別修正或漲多拉回為主，諸如台塑化 (6505) 、國巨 (2327) 、矽力-KY (6415) 、中裕 (4147) 、浩鼎 (4174) 、潤泰全 (2915) 、裕民 (2606) 、東和鋼鐵 (2006) 、智擎 (4162) 等。
2017-06-01T07:41:00.000Z,Android將在中東和非洲地區快速成長，2018年兩地區的Android出貨量將大增10%。
2017-06-02T00:59:00.000Z,※弱勢股：以個別修正或漲多拉回為主，諸如台塑化 (6505) 、國巨 (2327) 、矽力-KY (6415) 、中裕 (4147) 、浩鼎 (4174) 、潤泰全 (2915) 、裕民 (2606) 、東和鋼鐵 (2006) 、智擎 (4162) 等。
2017-10-10T01:37:00.000Z,  據估計，台積電此次邀請客戶、設備和材料供應商、政府官員、台積電大股東和媒體，將近600位人士參與盛會，台積電自6月起就展開邀請事宜，並以兩位共同執行長暨總經理劉德音和魏哲家具名的邀請函，盛情邀約相關供應鏈和客戶。
2017-12-25T08:52:00.000Z,證交所表示，外資上週賣超67.49億元，累計今年至12月22日止，買超1414.53億元，外資總持股市值12兆9642.86億元，占全體上市股票市值41.24%，較12月15日增加180.66億元。
2017-12-27T06:16:00.000Z,  在聖誕假期後，美股周二呈現整理，科技股仍相對偏弱；但今日台股在台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 等蘋果三巨頭早盤回穩，可成 (2474) 、台郡 (6269) 等蘋概股止跌，以及強勢的被動元件國巨 (2327) 領軍，禾伸堂 (3026) 、奇力新 (2456) 、大毅 (2478) 等續漲；印刷電路板由華通 (2313) 強攻表態；由於國際油價強勢上漲，台塑 (1301) 走穩上揚，塑化股包括國喬 (1312) 、中石化 (1314) 、台苯 (1310) 均帶量衝高；以及鋼價穩健上揚，中鋼 (2002) 走穩，中鴻 (2014) 隨著元月報價調漲強攻，東和鋼鐵 (2006) 在法人拉抬下續攻。
2017-12-27T02:21:00.000Z,  在聖誕假期後，美股呈現整理，科技股仍相對偏弱，美股周二收低；但台股在台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 等蘋果三巨頭早盤回穩，可成 (2474) 、台郡 (6269) 等蘋概股止跌，以及強勢的被動元件國巨 (2327) 領軍，禾伸堂 (3026) 、華新科 (2492) 續漲；印刷電路板由華通 (2313) 強攻表態；由於國際油價強勢上漲，台塑 (1301) 走穩上揚，塑化包括國喬 (1312) 、中石化 (1314) 、台苯 (1310) 均帶量衝高；以及鋼價穩健上揚，中鋼 (2002) 走穩，東和鋼鐵 (2006) 在法人拉抬下續攻。
2018-01-10T06:51:00.000Z,台泥 (1101) 領軍水泥股續強，台玻 (1802) 走揚，以及低價的東和 (1414) 、力麗 (1444) 等紡織股強勢。
2018-04-10T06:51:00.000Z,中美貿易緊張稍有緩解，昨夜美股溫和上漲，台股受惠當沖證交稅率減半措施再延44個月消息助攻，今日指數開低後走高，盤中在大立光 (3008) 、台積電 (2330) 、玉晶光 (3406) 、國巨 (2327) 、上銀 (2049) 等權值大軍奮起下，大盤指數一度突破月線，來到10975.67點，終場上漲33.65點，為10927.18點，成功收復季線，成交值增至1414.33億元；店頭市場則下跌1.23點，收153.42點，成交值415.95億元。
2018-04-10T06:05:00.000Z,台股加權股價指數終場收在10927.18點，上漲33.65點，漲幅0.31%，成交值新台幣1414.34億元，電子股漲0.32%，金融股漲0.8%。
2018-07-13T06:54:00.000Z,受惠美股收紅以及中美貿易戰情緒趨緩，加上股王大立光 (3008) 法說報喜，股價重返5000元大關，伴隨台積電 (2330) 、鴻海 (2317) 穩盤，增添市場信心，在台塑 (1301) 四寶、機電族群等帶頭上攻之下，指數終場上漲126.16點，收在10864.54點，一舉收復月線以及季線，成交量來到1414億元。
2018-12-04T07:15:00.000Z,鋼價止跌在望，今日由中鋼 (2002) 人氣擁簇領鋼鐵股上揚，該族群的勤美 (1532) 、豐興 (2015) 、世紀鋼 (9958) 、新鋼 (2032) 、燁輝 (2023) 、燁興 (2007) 、東和鋼鐵 (2006) 均守穩紅盤上。
2018-12-04T07:15:00.000Z,鋼價止跌在望，今日由中鋼 (2002) 人氣擁簇領鋼鐵股上揚，該族群的勤美 (1532) 、豐興 (2015) 、世紀鋼 (9958) 、新鋼 (2032) 、燁輝 (2023) 、燁興 (2007) 、東和鋼鐵 (2006) 均守穩紅盤上。
2018-12-20T01:41:00.000Z,台積電今年上半年就已著手5奈米新廠的擴建，加上公共建設明年看增以及台商回流的預期，有利於中鋼構 (2013) 、東和鋼鐵 (2006) 、豐興鋼鐵 (2015) 等鋼構及鋼筋廠明年需求續穩增。
2020-03-02T02:23:09.000Z,"
6.東和鋼鐵 (2006) ：去年EPS 1.56元，大幅優於107年的0.88元，擬配息1.35元，早盤股價逆勢小漲。"
2020-03-02T02:23:00.000Z,  6.東和鋼鐵 (2006) ：去年EPS 1.56元，大幅優於107年的0.88元，擬配息1.35元，早盤股價逆勢小漲。
2020-03-04T02:08:20.000Z,"
5.東和鋼鐵 (2006) ：擬配息1.35元，三大法人連兩日聯手買超計1236張，早盤挾量續漲逾2%，衝7餘月波段高價。"
