PublishDate,Sentence
2017-02-02T07:14:00.000Z,傳產方面，機場捷運今天起開放試營運，帶動資產概念股飆升，紡織股新纖 (1409) 、東華 (1418) 、中和 (1439) 、佳和 (1449) 等均收漲停價位；然而UA去年Q4財報衰，儒鴻 (2321) 股價跌停躺平、聚陽 (1477) 重挫，紡織個股呈現兩樣情。
2017-02-02T07:14:00.000Z,傳產方面，機場捷運今天起開放試營運，帶動資產概念股飆升，紡織股新纖 (1409) 、東華 (1418) 、中和 (1439) 、佳和 (1449) 等均收漲停價位；然而UA去年Q4財報衰，儒鴻 (2321) 股價跌停躺平、聚陽 (1477) 重挫，紡織個股呈現兩樣情。
2017-07-03T07:00:00.000Z,　美國科技類股震盪劇烈，台積電 (2330) 等填息行情不如預期，且大立光 (3008) 無力守穩5000元大關連番走跌，鴻海 (2317) 家族漲多後歇兵，讓上周指數一度創下27年新高、周線連6紅、月線連7紅的台股多頭攻勢受挫，資金亦轉向傳產及中小型股，大魯閣 (1432) 、東華 (1418) 、銘鈺 (4545) 、昶洧 (4529) 、大甲 (2221) 及晶焱 (6411) 攻上漲停作收，豐泰 (9910) 盤中亦漲停，長榮 (2603) 、陽明 (2609) 及中鋼 (2002) 等傳產龍頭股擺尾走高，敦泰 (3545) 、金居 (8358) 、聯發科 (2454) 、撼訊 (6150) 、台燿 (6274) 、和碩 (4938) 及英業達 (2356) 等適時挺身穩住人氣，在傳產類股出頭下，全場走弱的台股在收盤前擺尾收高，終場加權股價指數為10412.79點，上漲17.72點，成交量為831.94億元；OTC指數為135.49點，下跌0.21點，成交量為206.82億元。
2017-07-03T07:00:00.000Z,　美國科技類股震盪劇烈，台積電 (2330) 等填息行情不如預期，且大立光 (3008) 無力守穩5000元大關連番走跌，鴻海 (2317) 家族漲多後歇兵，讓上周指數一度創下27年新高、周線連6紅、月線連7紅的台股多頭攻勢受挫，資金亦轉向傳產及中小型股，大魯閣 (1432) 、東華 (1418) 、銘鈺 (4545) 、昶洧 (4529) 、大甲 (2221) 及晶焱 (6411) 攻上漲停作收，豐泰 (9910) 盤中亦漲停，長榮 (2603) 、陽明 (2609) 及中鋼 (2002) 等傳產龍頭股擺尾走高，敦泰 (3545) 、金居 (8358) 、聯發科 (2454) 、撼訊 (6150) 、台燿 (6274) 、和碩 (4938) 及英業達 (2356) 等適時挺身穩住人氣，在傳產類股出頭下，全場走弱的台股在收盤前擺尾收高，終場加權股價指數為10412.79點，上漲17.72點，成交量為831.94億元；OTC指數為135.49點，下跌0.21點，成交量為206.82億元。
2017-11-08T07:03:00.000Z,今日外資賣超33.1418億元，投信買超0.1719億元，自營商買超4.2467億元，三大法人賣超28.72億元。
2017-11-08T07:03:00.000Z,　今日外資賣超33.1418億元，5日RSI為63，10日RSI為64.67，9日K值為71.5，9日D值為66.12，20日乖離率為0.54。
2017-12-25T07:06:00.000Z,傳產股方面，輪胎廠華豐 (2109) 因健信以東華企業名義取得2席法人董事，激勵股價爆量攻頂，成為橡膠股領先指標。
2019-03-15T07:09:00.000Z,成衣雙雄儒鴻 (1476) 、聚陽 (1477) 亦齊步走揚逾4%，東華 (1418) 、怡華 (1456) 、利勤 (4426) 等紡織股均沾光。
2019-03-28T06:59:00.000Z,傳產中紡織股迎旺季，成衣三雄儒鴻 (1476) 、聚陽 (1477) 、廣越 (4438) 股價熱烘烘，擁減資題材的嘉裕 (1417) 以及東華 (1418) 、中和 (1439) 今更是高收漲停板，其他個股如福懋 (1434) 、新纖 (1409) 、三洋紡 (1472) 、本盟 (1475) 也齊聚開趴。
2019-03-28T06:59:00.000Z,傳產中紡織股迎旺季，成衣三雄儒鴻 (1476) 、聚陽 (1477) 、廣越 (4438) 股價熱烘烘，擁減資題材的嘉裕 (1417) 以及東華 (1418) 、中和 (1439) 今更是高收漲停板，其他個股如福懋 (1434) 、新纖 (1409) 、三洋紡 (1472) 、本盟 (1475) 也齊聚開趴。
2019-08-26T07:24:56.000Z,"
今日集中市場十大漲幅個股為：FB VIX (00677U) 漲10.37%、立萬利 (3054) 漲9.82%、美債正 (00688L) 漲7.29%、大洋 (1321) 漲6.69%、美債正 (00680L) 漲6.58%、S&amp;P金2 (00708L) 漲6.23%、佳龍 (9955) 漲6.22%、喬山 (1736) 漲6.13%、東華 (1418) 漲6.08%、波力-KY (8467) 漲5.53%。"
2019-08-26T07:24:00.000Z, 今日集中市場十大漲幅個股為：FB VIX (00677U) 漲10.37%、立萬利 (3054) 漲9.82%、美債正 (00688L) 漲7.29%、大洋 (1321) 漲6.69%、美債正 (00680L) 漲6.58%、S&P金2 (00708L) 漲6.23%、佳龍 (9955) 漲6.22%、喬山 (1736) 漲6.13%、東華 (1418) 漲6.08%、波力-KY (8467) 漲5.53%。
2020-04-09T11:04:24.000Z,"
2.交易日期:109/4/9~109/4/9
3.交易數量、每單位價格及交易總金額:
31418DKT8：94,801 單位；每單位US$105.36；總金額US$10 佰萬元。"
2020-04-09T11:04:24.000Z,"
6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
31418DKT8：94,801 單位；US$10 佰萬元；持股比例：不適用；受限情形：無。"
2020-05-05T09:23:16.000Z,"
2.交易日期:109/5/5~109/5/5
3.交易數量、每單位價格及交易總金額:
31418DPD8：169,370 單位；每單位US$104.09；總金額US$17.6 佰萬元。"
2020-05-05T09:23:16.000Z,"
6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
31418DPD8：261,470 單位；US$27.2 佰萬元；持股比例：不適用；受限情形：無。"
2020-05-11T11:08:26.000Z,"
2.交易日期:109/5/11~109/5/11
3.交易數量、每單位價格及交易總金額:
31418DPE6：121,570 單位；每單位US$105.38；總金額US$12.8 佰萬元。"
