PublishDate,Sentence
2019-07-08T06:37:00.000Z,股王大立光 (3008) 將於11日舉行法說會，法人表示，台灣電子股受美中貿易戰影響最大，如今兩國釋出和解氣氛，有利華為供應鏈後續表現，大立光股價開高震盪走揚，終場收4115元，漲幅4.18%。
2019-07-08T03:49:00.000Z,股王大立光 (3008) 將於11日舉行法人說明會，法人表示，台灣電子股受美中貿易戰影響最大，如今兩國釋出和解氣氛，有利華為供應鏈後續表現，大立光股價最高來到4090元、漲幅逾3%。
2019-08-26T09:17:19.000Z,"
3.利華 (1423) ：每股成交價10.3元，成交量680萬2600股，成交金額7006萬6780元。"
2019-09-02T09:20:10.000Z,"
3.利華 (1423) ：每股成交價10.3元，成交量100萬股，成交金額1030萬元。"
2019-09-02T09:20:10.000Z,"
3.利華 (1423) ：每股成交價10.3元，成交量100萬股，成交金額1030萬元。"
2019-10-21T09:13:54.000Z,"
3.利華 (1423) ：每股成交價10.5元，成交量56萬7200股，成交金額595萬5600元。"
2020-01-13T07:15:19.000Z,投資人看好美中本周將簽署首階段貿易協議，加上總統蔡英文高票連任，台股上演謝票行情，今日集中市場各大類股幾乎一片漲聲，其中又以風電、汽車、水泥等表現最為搶眼，惟觀光類股恐受兩岸關係衝擊影響大跌2.69%，表現墊底，臨收台積電 (2330) 、鴻海 (2317) 攜手放量拉高，推升集中市場收12113.42點，上漲88.77點，總成交值放大至1423.22億元。
2020-01-13T07:15:00.000Z,投資人看好美中本周將簽署首階段貿易協議，加上總統蔡英文高票連任，台股上演謝票行情，今日集中市場各大類股幾乎一片漲聲，其中又以風電、汽車、水泥等表現最為搶眼，惟觀光類股恐受兩岸關係衝擊影響大跌2.69%，表現墊底，臨收台積電 (2330) 、鴻海 (2317) 攜手放量拉高，推升集中市場收12113.42點，上漲88.77點，總成交值放大至1423.22億元。
2020-01-13T06:14:00.000Z,　加權指數開盤上漲44.96點，終場上漲88.77點或0.74％、收於全日最高點12113.42點，成交量放大至1423.22億元。
2020-02-10T07:15:00.000Z,大陸新冠疫情仍未有緩解跡象，加上指標電子股大陸廠復工延後，台股周一開跌98.09點至11514.72點，隨後更下挫逼近190點，至11423.34點，蘋概三雄台積電、大立光、鴻海皆疲弱下跌。
2020-02-10T07:15:00.000Z,大陸新冠疫情仍未有緩解跡象，加上指標電子股大陸廠復工延後，台股周一開跌98.09點至11514.72點，隨後更下挫逼近190點，至11423.34點，蘋概三雄台積電、大立光、鴻海皆疲弱下跌。
