PublishDate,Sentence
2017-02-02T07:14:00.000Z,傳產方面，機場捷運今天起開放試營運，帶動資產概念股飆升，紡織股新纖 (1409) 、東華 (1418) 、中和 (1439) 、佳和 (1449) 等均收漲停價位；然而UA去年Q4財報衰，儒鴻 (2321) 股價跌停躺平、聚陽 (1477) 重挫，紡織個股呈現兩樣情。
2017-02-02T07:14:00.000Z,傳產方面，機場捷運今天起開放試營運，帶動資產概念股飆升，紡織股新纖 (1409) 、東華 (1418) 、中和 (1439) 、佳和 (1449) 等均收漲停價位；然而UA去年Q4財報衰，儒鴻 (2321) 股價跌停躺平、聚陽 (1477) 重挫，紡織個股呈現兩樣情。
2017-05-22T06:47:00.000Z,　台股今天隨全球股市擺脫川普政治風暴，由Tesla概念股及車用零組件個股領軍，江申 (1525) 率先強攻漲停板，貿聯-KY (3665) 、和大 (1536) 、健和興 (3003) 、順德 (2351) 等Tesla供應商，以及胡連 (6279) 等同步收高，讓市場多頭再起，中場過後，績優及具題材的中小型股裕融 (9941) 、晶達 (4995) 、岳豐 (6220) 、華擎 (3515) 、中和 (1439) 、康樂-KY (4154) 、京晨科 (6419) 及新鉅科 (3630) 等強攻漲停板作收，台積電 (2330) 、大立光 (3008) 及台塑化 (6505) 亦在尾盤強勢收高，讓台股指數以今天最高點作收，順利站回5日線，逼近萬點關卡，惟美中不足是今天成交量仍是不足，僅700多億元，終場加權股價指數為9997.26點，上漲49.64點，成交量為701.72億元；OTC指數收盤為132.93點，上漲0.4點，成交量為238.24億元。
2017-10-09T08:22:00.000Z,（中央社台北2017年10月9日電）台積電董事長張忠謀接受彭博專訪時指出，未來台積電的擴張仍將以台灣為主，「台灣仍是我們的根據地，光以經濟考量來說，我們在台灣有新竹、台中和台南三個據點，規模很大」。
2017-10-09T08:22:00.000Z,張忠謀說，台積電 (2330) 在台灣有新竹、台中和台南三個據點，規模很大，這幾個廠區都在通勤距離內，方便員工和工程師移動，創造了經濟規模，「我們在南京或中國大陸的其他城市不會有這樣的優勢」。
2017-12-07T02:21:00.000Z,  16.中連貨 (5604) ：處分新北市中和區土地及地上物，預估獲利約3.74億元，激勵股價登30元關卡。
2017-12-12T00:43:00.000Z,（中央社記者韋樞台北12日電）中鋼公司 (2002) 第4季趁台積電 (2330) 站上高價時出脫持股，包括10月中和11日兩次公告處分台積電，共獲利新台幣6.59億元，將挹注第4季業外收益，中鋼手中還有520張台積電股票。
2018-08-07T02:28:00.000Z,強勁的企業獲利鈍化市場對美中和美伊緊張局勢的擔憂，周一美股三大指數收高，帶動台股8月台指期及金融期早盤開高，集中市場開盤雖小漲0.87點、為11024.97點，惟昨日台積電 (2330) 說明中毒事件後，早盤仍持續疲弱，加上大立光 (3008) 開高走低、台塑四寶壓低整理，大盤指數再陷萬一關攻防戰。
2018-10-17T07:09:00.000Z,紡織股在台北紡織展題材助攻下表現搶眼，包括如興 (4414) 、中和 (1439) 、遠東新 (1402) 買氣強強滾。
2018-10-17T02:02:00.000Z, 18.中和 (1439) ：業績助攻，早盤飆高6%，拉出日K連5紅，飛越半年線。
2018-11-26T02:07:00.000Z, 22.中和 (1439) ：資產股獲買盤青睞，早盤帶量強彈6%，收復五日線。
2019-01-18T02:00:00.000Z, 16.中和 (1439) ：外資近五日天天買超，今日拉出長紅棒大漲逾4%，一舉躍上各短均線。
2019-03-28T06:59:00.000Z,傳產中紡織股迎旺季，成衣三雄儒鴻 (1476) 、聚陽 (1477) 、廣越 (4438) 股價熱烘烘，擁減資題材的嘉裕 (1417) 以及東華 (1418) 、中和 (1439) 今更是高收漲停板，其他個股如福懋 (1434) 、新纖 (1409) 、三洋紡 (1472) 、本盟 (1475) 也齊聚開趴。
2019-03-28T06:59:00.000Z,傳產中紡織股迎旺季，成衣三雄儒鴻 (1476) 、聚陽 (1477) 、廣越 (4438) 股價熱烘烘，擁減資題材的嘉裕 (1417) 以及東華 (1418) 、中和 (1439) 今更是高收漲停板，其他個股如福懋 (1434) 、新纖 (1409) 、三洋紡 (1472) 、本盟 (1475) 也齊聚開趴。
2019-04-16T07:02:00.000Z,2019年台北國際電腦展(COMPUTEX 2019)今年將以5G、AI、IoT、電競與XR、智慧零售、區塊鏈等數位經濟趨勢作為六大展覽主題，電腦設備股受買盤擁護，其中和碩 (4938) 因首季業績利多並看好新品挹注營收，一度登上漲停板；緯創 (3231) 、宏碁 (2353) 、華碩 (2357) 、倫飛 (2364) 、技嘉 (2376) 等攜手走高，類股漲幅第一。
2019-04-25T07:12:00.000Z,中和 (1439) 強勢翻紅，收漲7.19%至34.3元。
2019-04-26T02:06:00.000Z, 22.中和 (1439) ：受惠奧運商機，股價自30元附近一路上衝，早盤無懼大盤重挫，仍向上攀升2%，站上今年最高。
2019-08-13T06:50:24.000Z,"
今八大類股全數走跌，水泥股因台泥除權息，類股下跌逾5.6%，跌幅最劇，目前7月營收公布告一段落，第二季財報也陸續公布，今日盤面也有零星業績財報資優生點火，美隆電 (2477) 上半年每股賺達0.87元，今日漲停順利填息，敦南 (5305) 風光出嫁美商子公司，股價連兩日跳空漲停，智伸科 (4551) 也受惠上半年獲利年增逾3成，今股價走揚，除電子股外，中和 (1439) 第二季財報，因認列獲利處分七堵土地的款項，單季稅後盈餘大爆衝，今衝上漲停。"
2019-08-13T06:50:00.000Z, 今八大類股全數走跌，水泥股因台泥除權息，類股下跌逾5.6%，跌幅最劇，目前7月營收公布告一段落，第二季財報也陸續公布，今日盤面也有零星業績財報資優生點火，美隆電 (2477) 上半年每股賺達0.87元，今日漲停順利填息，敦南 (5305) 風光出嫁美商子公司，股價連兩日跳空漲停，智伸科 (4551) 也受惠上半年獲利年增逾3成，今股價走揚，除電子股外，中和 (1439) 第二季財報，因認列獲利處分七堵土地的款項，單季稅後盈餘大爆衝，今衝上漲停。
