PublishDate,Sentence
2018-02-21T06:23:00.000Z,成交量增加至1451.28億元。
2018-04-18T07:24:00.000Z,台股早盤由台積電 (2330) 、聯發科 (2454) 、南亞科 (2408) 等權值股領軍，加上缺貨題材的被動元件族群國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 及印刷電路板股燿華 (2367) 等聯手點火，指數一度漲百點突破10900點，惟上攻月季線仍有壓，蘋果三天王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 盤中同步走弱，使多頭氣勢為之受挫，終場加權指數上漲37.44點為10847.89點，10900點及月季線得而復失，成交值縮為1451.43億元。
2018-04-18T06:34:00.000Z,但權值最高的台積電 (2330) 、股王大立光 (3008) 開高後壓回，台股由早盤大漲百點變成盤中趨近平盤，尾盤在台積電重回平盤以及金融股支撐，台股收盤漲37點至10847點，成交值1451億元。
2018-04-18T06:31:00.000Z,台股終場上漲37.44點，以10847.89點收盤，成交值新台幣1451.43億元。
2019-10-01T09:14:06.000Z,"
28.兆豐金 (2886) ：每股成交價28.85元，成交量50萬3000股，成交金額1451萬1550元。"
2019-10-01T09:14:06.000Z,"
28.兆豐金 (2886) ：每股成交價28.85元，成交量50萬3000股，成交金額1451萬1550元。"
2019-11-11T07:00:14.000Z,"
分析師認為，台股短線在技術面及籌碼面均面臨拉回修正壓力，櫃買指數率先跌破月線，加權指數則回測上周多方缺口11399～11451點，後市須關注外資動向是否轉變，月線約11360點能否守穩，短線不宜過度追高。"
2019-11-11T07:00:00.000Z,　分析師認為，台股短線在技術面及籌碼面均面臨拉回修正壓力，櫃買指數率先跌破月線，加權指數則回測上周多方缺口11399～11451點，後市須關注外資動向是否轉變，月線約11360點能否守穩，短線不宜過度追高。
2019-11-11T03:18:00.000Z,　分析師認為，台股籌碼面及技術面仍偏多，但短線面臨拉回修正整理壓力，櫃買指數已率先跌破月線，加權指數可能回測上周多方缺口11399～11451點，後市須關注能否守住月線11362點，短線不宜過度追高。
2019-11-15T06:19:00.000Z,台股短線在技術面及籌碼面仍面臨拉回修正壓力，不過加權指數本周回補多方缺口11399～11451點，月線也有效守穩，偏多格局並未破壞。
2020-04-08T07:10:14.000Z,"
以下為信驊董事長林鴻明接受專訪的內容:
問:信驊成立於2004年、2012年興櫃、2013年正式上櫃，2019年底股價更正式叩關千元，目前為全球市佔率最大的伺服器管理晶片供應商，對於信驊未來還有何期許？
答:信驊一路走來到現在，最關鍵的元素不外乎「努力」+「幸運」，信驊正處於產業長期成長的軌道中，當然光是努力還是不夠，時機、題材也缺一不可，所以也很感謝老天的幫忙，信驊現階段偏重於利基型的晶片供應商，長期的目標期望可以在15年後，成為「世界級」的晶片供應商，目前信驊最主要營收貢獻來自於BMC，但若要躍升世界舞台，光是BMC一隻腳是不夠的，所以信驊也會持續瞄準非BMC業務，培養出第二隻甚至第三隻腳。"
2020-05-12T23:40:32.000Z,"
◆年興上季每股損益-1.17元，Q2恐更慘。"
2020-05-18T05:43:10.000Z,"
據業界表示，華為於去年5月遭美國禁制令後，近一年的業務進展速度放緩，中興通訊、大唐、Ericsson及Nokia等大廠急起直追，刮分華為市佔率，去年華為約佔聯茂及台燿營收比重均在低個位數，今年以來，聯茂及台燿來自於其他設備廠的訂單大增，預估華為今年在兩家公司佔比仍是低個位數；由於大陸規劃2020年興建50萬到60萬座基地台，在總量不變，其他設備廠訂單快速成長下，可望彌補兩家公司華為業績缺口。"
2020-11-25T06:37:12.000Z,台積電在南科設有全球最大單一的8吋廠Fab 6，12吋廠Fab 14A及Fab 14B，以及這2年興建的Fab 18。
2020-11-29T00:59:51.000Z,劉德音表示，台積電在南科陸續興建了8吋廠Fab 6、12吋廠Fab 14、以及這兩年興建的Fab 18。
2020-11-29T00:59:51.000Z,劉德音表示，台積電在南科陸續興建了8吋廠Fab 6、12吋廠Fab 14、以及這兩年興建的Fab 18。
2021-12-14T23:46:02.000Z,8.友達與佳世達轉投資的顯示器驅動IC廠瑞鼎（3592）擬於17日起辦理IPO競拍、27日起公開申購，競拍底價與承銷價分別訂為275元與308元，與14日興櫃均價558.81元相較，抽中一張價差高達25萬，有望挑戰今年興櫃股掛牌最大價差。
