PublishDate,Sentence
2017-02-08T07:04:00.000Z,傳產股方面，玻陶股由台玻 (1802) 領頭上攻，和成 (1810) 、冠軍 (1806) 緊跟在後，成盤面強勢焦點；紡織股南向題材蓋過UA利空，儒鴻 (1476) 守紅盤、得力 (1464) 大漲，加工絲族群宏益 (1452) 飆漲停，宜進 (1457) 、聯發 (1459) 、集盛 (1455) 暖烘烘。
2017-03-07T06:59:00.000Z,　國際原物料漲勢未歇，造紙業紛紛調漲紙張價格，今日在華紙 (1905) 、台紙 (1902) 、永豐餘 (1907) 領軍下，帶動類指強彈近3%，盤面最火紅；玻陶股也在台玻 (1802) 、冠軍 (1809) 喊漲下勁彈；中裕 (4147) 挾愛滋新藥打進歐盟強鎖漲停，台微體 (4152) 及健亞 (4130) 等新藥族群同步上揚，帶動生醫股活蹦亂跳；加工絲廠醞釀調整價格，集盛 (1455) 、聯發 (1459) 、宜進 (1457) 可望受惠，股價暖洋洋。
2017-06-30T01:49:00.000Z,  5.宜進 (1457) ：業內外皆美，全年獲利攀高，早盤交投增溫力守平盤。
2017-07-03T07:04:00.000Z,傳產股方面，以運輸、紡纖、鋼鐵股相對強勢；紡纖股持續展開補漲行情，宏洲 (1413) 亮燈漲停，遠東新 (1402) 、宜進 (1457) 、南紡 (1440) 、宏益 (1452) 齊聲走揚；航運股受惠貨櫃航運露曙光，貨櫃三雄長榮 (2603) 、萬海 (2615) 、陽明 (2609) 攜手大漲；鋼鐵股紅光滿面，中鋼 (2002) 、千興 (2025) 、盛餘 (2029) 強彈2%。
2017-06-30T01:49:00.000Z,  5.宜進 (1457) ：業內外皆美，全年獲利攀高，早盤交投增溫力守平盤。
2017-07-03T07:04:00.000Z,傳產股方面，以運輸、紡纖、鋼鐵股相對強勢；紡纖股持續展開補漲行情，宏洲 (1413) 亮燈漲停，遠東新 (1402) 、宜進 (1457) 、南紡 (1440) 、宏益 (1452) 齊聲走揚；航運股受惠貨櫃航運露曙光，貨櫃三雄長榮 (2603) 、萬海 (2615) 、陽明 (2609) 攜手大漲；鋼鐵股紅光滿面，中鋼 (2002) 、千興 (2025) 、盛餘 (2029) 強彈2%。
2017-07-12T06:52:00.000Z,紡織股因券商權證造市，有品牌客戶回補庫存，成衣大廠聚陽 (1477) 、儒鴻 (1476) 及福懋 (1434) 翻紅上漲，加工絲族群由力麗 (1444) 領軍，集盛 (1455) 、宜進 (1457) 、聯發紡織 (1459) 力穩紅盤。
2017-10-16T06:53:00.000Z,「台北紡織展-TITAS」今日登場，市場題材帶動下，高價股儒鴻 (1476) 、聚陽 (1477) 雙強，力麗 (1444) 、宜進 (1457) 、大漲領軍，類股指漲收漲1.02%。
2017-10-18T06:55:00.000Z,傳產股以搭上紡織展列車的紡纖股最為亮眼，今日由加工絲族群宜進 (1457) 、集盛 (1455) 盤中漲停領攻，南緯 (1467) 、力麗 (1444) 、得力 (1464) 和儒鴻 (1476) 同步勁彈。
2017-12-04T06:32:00.000Z,分析師表示，台股在1日回測半年線10538點支撐後，今天多頭力圖反攻，除了台積電、金控股表現起帶頭作用外，國際油價回到每桶60美元大關，帶動二線塑化、紡織股吹起進攻號角，台聚 (1304) 、亞聚 (1308) 、台達化 (1309) 、國喬 (1312) 攀高，新纖 (1409) 、集盛 (1455) 、宜進 (1457) 也跟進走揚。
