PublishDate,Sentence
2017-01-25T06:47:00.000Z,台南科學園區今日上午傳出跳電事件，台積電 (2330) 表示，上午南科全區出現電壓下降（壓降）的情況，但並沒有出現跳電或者停電，對於台積公司的生產也無造成影響。
2017-01-25T06:47:00.000Z,  台電的台南科學園區變電所今日上午8點21分輸電出現異常，緊急處理後，低壓輸電在8點29分全面恢復，高壓輸電則於12點2分全面恢復正常，對絕大多數半導體廠的營運並未造成影響。
2017-01-25T06:47:00.000Z,台南科學園區今日上午傳出跳電事件，台積電 (2330) 表示，上午南科全區出現電壓下降（壓降）的情況，但並沒有出現跳電或者停電，對於台積公司的生產也無造成影響。
2017-01-25T06:47:00.000Z,  台電的台南科學園區變電所今日上午8點21分輸電出現異常，緊急處理後，低壓輸電在8點29分全面恢復，高壓輸電則於12點2分全面恢復正常，對絕大多數半導體廠的營運並未造成影響。
2017-02-08T02:11:00.000Z,"MoneyDJ新聞 2017-02-08 10:11:19 記者 蔡承啟 報導全球再生晶圓大廠RS Technologies 7日於日股盤後發布新聞稿宣布，因台灣子公司「RSTEC Semiconductor Taiwan Co., LTD.(艾爾斯半導體股份有限公司、見附圖)」台南工廠以及日本三本木工廠稼動率(產能利用率)走升，加上受惠日圓走貶，故2016年度(2016年1-12月)合併營收目標自原先預估的77.4億日圓上修至88.49億日圓(將年增60%)、合併營益目標自15.31億日圓上修至15.57億日圓(將年增44%)、合併純益目標也自7.42億日圓上修至8.69億日圓(將年增186%)。"
2017-02-08T02:11:00.000Z,RS當時指出，台灣台南工廠稼動率已超過80%，在全球12吋再生晶圓市場上，台南工廠和三本木工廠的合計市佔率超過30%。
2017-02-11T02:47:00.000Z,（中央社記者江明晏台北2017年2月11日電）台南今天凌晨近海發生強震，台積電 (2330) 說南科影響不大，預估所有機台1天內恢復正常、對晶圓影響預估在1天左右恢復，相信很快可把進度追趕回來，不影響第1季出貨。
2017-02-11T02:47:00.000Z,今天凌晨1時12分，台南近海發生芮氏規模5.6地震，台南最大震度6級，高雄、屏東、嘉義、雲林和彰化也有4級震度。
2017-02-11T01:36:00.000Z,（中央社記者江明晏台北2017年2月11日電）台南外海今天凌晨1時12分發生規模5.6地震，台南最大震度6級，位於南科的台積電 (2330) 與聯電 (2303) 均表示，對營運影響不大。
2017-02-11T01:36:00.000Z,台南外海今天凌晨1時12分發生規模5.6地震，台南最大震度6級，許多民眾被搖醒，台灣電力股份有限公司變電所變壓器一度跳脫，造成5萬多戶短暫停電。
2017-02-15T01:08:00.000Z,MoneyDJ新聞 2017-02-15 09:08:42 記者 蔡承啟 報導全球再生晶圓大廠RS Technologies 14日於日股盤後公布上年度(2016年1-12月)財報：因12吋/8吋晶圓供需緊繃，台灣台南工廠於上季進入產能全開狀態，提振合併營收年增59.6%至88.49億日圓、合併營益大增44.1%至15.57億日圓、經常利益(本業獲利+業外獲利)大增54.7%至歷史新高的14.5億日圓。
2017-02-15T01:08:00.000Z,RS指出，上述今年度財測預估是以日本三本木工廠月產20萬片、台南工廠月產10萬片、1美元兌107日圓為前提的試算值。
2017-02-22T10:35:00.000Z,台積電位於南科的十四A廠在去年台南強震中受創，在員工搶修下復工進度優於預期，南科十四A廠訂了一批tsmc（台積電簡寫）聯名版綠乖乖，做為嘉勉員工的小禮物，也希望機台「乖乖不出包」，當時引發網友熱烈討論。
2017-04-24T02:47:00.000Z,繼台南永康廠追加6.3億元設備採購金額之後，可成再公布設備採購進度，累計去年4月6日至今年4月7日為止，宿遷、泰州等四大廠區總計採購35.8億元設備。
2017-05-16T02:04:00.000Z,上述今年度財測預估是以日本三本木工廠月產20萬片、台灣台南工廠月產10萬片、1美元兌107日圓為前提的試算值。
2017-05-26T09:05:00.000Z,(依上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:台達電子工業股份有限公司台南分公司；與公司關係：無。
2017-05-30T02:47:00.000Z,台積電還於新竹及台南有 3個廠區設立附設托兒所，配合員工工作時間，顧及員工托兒需求。
2017-06-20T00:23:00.000Z,　繼5奈米先進製程建廠用地確定在台南科學園區後，台積電的3奈米製程仍以台灣為主。
2017-08-14T03:52:00.000Z,RS表示，艾爾斯半導體台南工廠目前12吋再生晶圓月生產/出貨量維持在10萬片以上水準。
2017-08-23T01:41:00.000Z,因應客戶強勁需求，創意電子積極擴充規模，除配合合作夥伴台積電 (2330) 前往中國大陸南京設立12吋晶圓廠，跟進在南京設立子公司，創意並計劃下半年在台南設立辦公室。
2017-09-29T13:12:00.000Z,（中央社記者潘智義台北2017年9月29日電）晶圓代工龍頭台積電 (2330) 宣布，3奈米製程新廠落腳南部科學園區台南園區。
2017-09-29T13:06:00.000Z,（中央社記者張建中新竹2017年9月29日電）台積電 (2330) 3奈米製程新廠確定落腳南科台南園區，產業專家認為，政府應可趁機吸引國際一線半導體產業生態系業者朝台灣挪移。
2017-09-29T13:06:00.000Z,台積電3奈米製程新廠設廠地點拍板定案，擇定於南部科學工業園區台南園區，投資金額將達新台幣5000億元，預計2022年量產。
2017-09-29T11:14:00.000Z,（中央社記者張建中新竹2017年9月29日電）台積電 (2330) 3奈米製程新廠確定落腳南科台南園區，3奈米製程技術預計2022年量產，成為全球首家公開宣布投資3奈米的半導體廠，全球晶圓代工龍頭地位料將更加穩固。
2017-09-29T10:25:00.000Z,晶圓代工廠台積電3奈米製程新廠確定留在台灣，落腳南部科學工業園區台南園區，這樁投資案也是全球第一宗宣布的3奈米投資規畫，領先競爭對手韓國三星與美國英特爾。
2017-09-29T09:08:00.000Z,（中央社記者張建中新竹2017年9月29日電）晶圓代工廠台積電 (2330) 3奈米製程新廠確定留在台灣，落腳南部科學工業園區台南園區，這樁投資案也是全球第一宗宣布的3奈米投資規畫，領先競爭對手韓國三星與美國英特爾。
2017-09-29T09:08:00.000Z,眾所關注的台積電3奈米製程新廠設廠地點正式拍板定案，台積電今天宣布，經審慎評估後，擬投資興建的3奈米製程新廠，將擇定於南部科學工業園區台南園區，南科也可望因此案成為全球半導體先進製程的重鎮。
2017-09-29T09:08:00.000Z,台積電指出，在南科台南園區興建3奈米製程新廠，將可充分發揮在該園區既有的完整聚落與供應鏈優勢；除3奈米新廠，台積電目前晶圓6廠與14廠也都位於南科。
2017-09-29T09:03:00.000Z,至於台積電的部份，則在今日公開表示，經審慎評估後，擬投資興建的三奈米先進製程新廠，確定落腳南部科學工業園區台南園區，同時台積電官方也對於政府明確承諾解決包含土地、用水、供電、環保等相關議題，公開表示肯定與感謝。
2017-09-29T08:48:00.000Z,台積電 (2330) 持續積極推進先進製程，正式宣布3奈米製程新廠將設於南部科學工業園區台南園區，以持續發揮公司在該園區的完整聚落優勢。
2017-09-29T08:48:00.000Z,  台積公司今（29）日表示，經審慎評估後，擬投資興建的3奈米先進製程新廠，將擇定於南部科學工業園區台南園區，以持續充分發揮公司在該園區既有的完整聚落與供應鏈優勢。
2017-09-29T08:29:00.000Z,公開資訊觀測站重大訊息公告(2330)台積電-台積公司三奈米製程新廠將設於南部科學工業園區台南園區1.事實發生日:106/09/292.公司名稱:台灣積體電路製造股份有限公司。
2017-09-29T08:29:00.000Z,7.其他應敘明事項:台積公司今（29）日表示，經審慎評估後，本公司擬投資興建的三奈米先進製程新廠，將擇定於南部科學工業園區台南園區，以持續充分發揮本公司在該園區既有的完整聚落與供應鏈優勢。
2017-09-29T08:25:00.000Z,（中央社記者張建中新竹2017年9月29日電）晶圓代工廠台積電 (2330) 3奈米製程新廠設廠地點正式拍板定案，將落腳南科台南園區。
2017-09-29T08:25:00.000Z,台積電今天表示，經審慎評估後，擬投資興建的3奈米製程新廠，將擇定於南部科學工業園區台南園區。
2017-09-29T08:25:00.000Z,台積電指出，在南科台南園區興建3奈米製程新廠，將可充分發揮在該園區既有的完整聚落與供應鏈優勢。
2017-09-29T08:23:00.000Z,台積電 (2330) 今（29）日表示，經審慎評估後，擬投資興建的三奈米先進製程新廠，將擇定於南部科學工業園區台南園區，以持續充分發揮在該園區既有的完整聚落與供應鏈優勢。
2017-09-29T08:16:00.000Z,台積公司三奈米製程新廠將設於南部科學工業園區台南園區1.事實發生日:106/09/292.公司名稱:台灣積體電路製造股份有限公司。
2017-09-29T08:16:00.000Z,7.其他應敘明事項:台積公司今（29）日表示，經審慎評估後，本公司擬投資興建的三奈米先進製程新廠，將擇定於南部科學工業園區台南園區，以持續充分發揮本公司在該園區既有的完整聚落與供應鏈優勢。
2017-09-30T07:09:00.000Z,　台積電 (2330) 宣布先進製程3奈米新廠將落腳南科台南園區，今日股價開高一度觸及月線，帶動供應鏈家登 (3680) 、辛耘 (3583) 聞訊大漲；其餘蘋果鏈大立光 (3008) 、鴻海 (2317) 及可成 (2474) 同步轉強，帶動玉晶光 (3406) 、佳凌 (4976) 及亞光 (3008) 等光學元件股止跌反彈；MOSFET恐缺到2018年，概念股尼克森 (3317) 、富鼎 (8261) 雙雙走揚，成IC設計族群強勢指標；光通訊族群受惠陸GPON市場Q3急速加溫，華星光 (4979) 、光環 (3234) 、波若威 (3163) 漲聲響起。
2017-09-30T06:13:00.000Z,台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，台積電股價開高，達218元，漲1.5元，因外資休假影響，終場以平盤作收。
2017-09-30T03:15:00.000Z,台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，化解國內產業出走疑慮，還可望促進產業投資，台積電今天股價走揚，一度達218.5元，並帶動漢唐 (2404) 等無塵室與半導體設備廠股價連袂走高。
2017-09-30T01:45:00.000Z,台積電 (2330) 宣布先進製程3奈米新廠將落腳南科台南園區，股價開高1.5元為218元。
2017-09-30T01:45:00.000Z,  台積電持續積極推進先進製程，周五下午正式宣布3奈米製程新廠將設於南部科學工業園區台南園區，以持續發揮公司在該園區的完整聚落與供應鏈優勢。
2017-09-30T01:45:00.000Z,  台積電今年下半年大量產出10奈米，預計明年開始量產7奈米，生產重心均放在中科園區；下世代製程的5奈米預計2019年試產，2020年量產，5奈米已確定將在南科台南園區建廠生產。
2017-09-30T01:45:00.000Z,3奈米製程新廠也將設在南科台南園區，為最早宣布3奈米投資規畫的半導體大廠，預計量產時間點大致在2022年。
2017-09-30T01:22:00.000Z,（中央社記者張建中新竹2017年9月30日電）台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，今天股價開盤跳空漲新台幣1.5元，漢唐 (2404) 與京鼎 (3413) 等無塵室與半導體設備廠股價也同步走高。
2017-09-30T01:22:00.000Z,台積電決定在南科台南園區投資3奈米製程新廠，投資金額將達5000億元，預計2022年量產。
2017-09-30T00:12:00.000Z,除美光等半導體股股價不斷攀高，晶圓代工龍頭廠台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，市場看好，包括漢唐 (2404) 、盟立 (2464) 、京鼎 (3413) 與創意 (3443) 可望受惠。
2017-10-02T14:14:00.000Z,3奈米新廠投資金額高達新台幣5000億元，可說是台積電未來5年至10年投資金額最大、也是最重要的投資案，張忠謀在退休前，敲定3奈米新廠落腳南部科學工業園區台南園區，後續應以執行為主。
2017-10-03T04:24:00.000Z,台積電目前已規劃好製程技術發展藍圖，7奈米製程將於2018年量產，增強版7奈米製程將於2019年量產，5奈米製程將緊接著於2020年量產，3奈米新廠也確定落腳南部科學工業園區台南園區。
2017-09-30T07:09:00.000Z,　台積電 (2330) 宣布先進製程3奈米新廠將落腳南科台南園區，今日股價開高一度觸及月線，帶動供應鏈家登 (3680) 、辛耘 (3583) 聞訊大漲；其餘蘋果鏈大立光 (3008) 、鴻海 (2317) 及可成 (2474) 同步轉強，帶動玉晶光 (3406) 、佳凌 (4976) 及亞光 (3008) 等光學元件股止跌反彈；MOSFET恐缺到2018年，概念股尼克森 (3317) 、富鼎 (8261) 雙雙走揚，成IC設計族群強勢指標；光通訊族群受惠陸GPON市場Q3急速加溫，華星光 (4979) 、光環 (3234) 、波若威 (3163) 漲聲響起。
2017-09-30T06:13:00.000Z,台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，台積電股價開高，達218元，漲1.5元，因外資休假影響，終場以平盤作收。
2017-09-30T03:15:00.000Z,台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，化解國內產業出走疑慮，還可望促進產業投資，台積電今天股價走揚，一度達218.5元，並帶動漢唐 (2404) 等無塵室與半導體設備廠股價連袂走高。
2017-09-30T01:45:00.000Z,台積電 (2330) 宣布先進製程3奈米新廠將落腳南科台南園區，股價開高1.5元為218元。
2017-09-30T01:45:00.000Z,  台積電持續積極推進先進製程，周五下午正式宣布3奈米製程新廠將設於南部科學工業園區台南園區，以持續發揮公司在該園區的完整聚落與供應鏈優勢。
2017-09-30T01:45:00.000Z,  台積電今年下半年大量產出10奈米，預計明年開始量產7奈米，生產重心均放在中科園區；下世代製程的5奈米預計2019年試產，2020年量產，5奈米已確定將在南科台南園區建廠生產。
2017-09-30T01:45:00.000Z,3奈米製程新廠也將設在南科台南園區，為最早宣布3奈米投資規畫的半導體大廠，預計量產時間點大致在2022年。
2017-09-30T01:22:00.000Z,（中央社記者張建中新竹2017年9月30日電）台積電 (2330) 3奈米新廠確定落腳南部科學工業園區台南園區，今天股價開盤跳空漲新台幣1.5元，漢唐 (2404) 與京鼎 (3413) 等無塵室與半導體設備廠股價也同步走高。
2017-09-30T01:22:00.000Z,台積電決定在南科台南園區投資3奈米製程新廠，投資金額將達5000億元，預計2022年量產。
