PublishDate,Sentence
2019-11-21T07:13:37.000Z,來看紡織股后之爭，廣越 (4438) 一度反超，收盤聚陽 (1477) 、廣越均在144.5元，共坐后位，而冠星-KY黃雀在後，12月5日將以158元上市，以黑馬之姿加入類股后位之爭。
2019-11-21T07:13:00.000Z,來看紡織股后之爭，廣越 (4438) 一度反超，收盤聚陽 (1477) 、廣越均在144.5元，共坐后位，而冠星-KY黃雀在後，12月5日將以158元上市，以黑馬之姿加入類股后位之爭。
2019-12-05T07:08:05.000Z,紡織股的冠星-KY (4439) 蜜月飆漲近3成，擠下聚陽 (1477) 、奪類股股后。
2019-12-05T07:08:00.000Z,紡織股的冠星-KY (4439) 蜜月飆漲近3成，擠下聚陽 (1477) 、奪類股股后。
2019-12-05T06:37:00.000Z,今天掛牌上市的紡織股冠星-KY (4439) 因無漲跌幅限制，收在203元，大漲28.48%。
2019-12-06T03:43:02.000Z,在食品股方面，今天由統一 (1216) 、佳格 (1227) 領漲，紡織股新掛牌冠星KY (4439) 蜜月行情不墜，造紙則有寶隆 (1906) 和榮成 (1909) 領攻。
2019-12-06T03:43:00.000Z,在食品股方面，今天由統一 (1216) 、佳格 (1227) 領漲，紡織股新掛牌冠星KY (4439) 蜜月行情不墜，造紙則有寶隆 (1906) 和榮成 (1909) 領攻。
2020-01-17T09:11:24.000Z,"
27.冠星-KY (4439) ：每股成交價175元，成交量35萬6000股，成交金額6230萬元。"
2020-03-04T07:08:00.000Z,紡織雙雄儒鴻 (1476) 和聚陽 (1477) 因大部分生產線在東南亞，此波受到新冠疫情大陸停工和物流等衝擊較小，加上擁高殖息題材加持，今雙雙發動攻勢，帶動佳和 (1449) 亮燈漲停，冠星-KY (4439) 同步勁揚。
2020-03-04T07:08:00.000Z,紡織雙雄儒鴻 (1476) 和聚陽 (1477) 因大部分生產線在東南亞，此波受到新冠疫情大陸停工和物流等衝擊較小，加上擁高殖息題材加持，今雙雙發動攻勢，帶動佳和 (1449) 亮燈漲停，冠星-KY (4439) 同步勁揚。
2020-03-05T07:13:00.000Z,紡織股中，宏益 (1452) 、新纖 (1409) 、力麗 (1444) 等的國內紗線廠因轉單效應，2月營收逆勢走揚，股價水漲船高，紡織股王儒鴻 (1476) 也吹起反攻號角，帶動佳和 (1449) 、宏和 (1446) 、利勤 (4426) 、冠星-KY (4439) 、廣越 (4438) 等聯袂勁彈。
2020-03-05T04:22:46.000Z,紡織股受到東京奧運如期舉行鼓舞，今日續由股王儒鴻 (1476) 吹起反攻號角，帶動力麗 (1444) 、佳和 (1449) 、宏和 (1446) 、利勤 (4426) 、冠星-KY (4439) 、廣越 (4438) 等聯袂勁彈，聚陽 (1477) 因2月營收欠佳致今日股價承壓，表現相對黯淡。
2020-03-05T04:22:00.000Z,紡織股受到東京奧運如期舉行鼓舞，今日續由股王儒鴻 (1476) 吹起反攻號角，帶動力麗 (1444) 、佳和 (1449) 、宏和 (1446) 、利勤 (4426) 、冠星-KY (4439) 、廣越 (4438) 等聯袂勁彈，聚陽 (1477) 因2月營收欠佳致今日股價承壓，表現相對黯淡。
2020-03-26T06:19:25.000Z,"
紡織股當中，怡華 (1456) 收在7.23元漲停價，冠星-KY (4439) 也收在漲停價123.5元。"
