PublishDate,Sentence,Score
2018-10-02T23:47:00.000Z,台股昨（2）日重挫百點，失守萬一大關，台灣50成分股幾近全黑，龍頭台積電 （2330） 摔落月線，專家指出，資金挪移是其中關鍵；美元轉強衝擊亞幣貶值，且港股重挫、陸資休市及貿易戰恐擴大等，引新興市場疑慮，外資賣超高達百億元，台權值股首當其衝。,-2
2018-10-02T23:47:00.000Z,"　台股昨在權值股賣壓下，終場下跌132點，以10,919點做收，歸咎4大主因：（1）港股大跌6百餘點，而包括韓股、巴西、印尼等新興市場也走疲，台股無法倖免；（2）美元轉強，新興市場貨幣再現貶值潮，印尼盾匯率創亞洲金融風暴新低，熱錢撤出亞股，外資對台股大賣122.3億元，權值龍頭台積電首當其衝，台灣50成分股也幾近全黑，僅遠東新與大立光力撐紅盤。",-6
2018-10-02T23:47:00.000Z,　第一金投顧董事長陳奕光指出，台股10月開盤首日正逢大陸十一長假，陸股休市，致台股成交量大縮，「指數高檔卻現新低量不是好事」，在價量背離下，技術指標不樂觀；而美元轉強且美債殖利率穩居3％之上，引爆新興市場對資金回流的疑慮，避險需求也升高，資金或轉向日本市場停泊。,2
2018-10-04T03:06:00.000Z,分析師王兆立指出，美元指數一度攀高至96.12，朝前波高點96.98邁進，對新興市場是一大利空，市場資金恐將回流美國，預料外資今天可能賣超台股。,-1
2018-10-19T07:04:00.000Z,中華經濟研究院則表示，10月初美股、陸股大跌引發亞洲與新興金融市場波動，市場氛圍轉為風險趨避，該院代理院長王健全也表示，股市走跌提前反應經濟前景不明，投資人心理因素干擾投資意願，且會相互感染所致。,-4
2018-10-19T03:27:00.000Z,統一證券指出，今晨美股指數重挫、外資期貨現貨持續偏空，加上台股技術面弱勢，新台幣延續走貶、且陸股接連破底，均不利新興市場投資情緒，投資人宜保守以對。,-7
2018-10-19T02:35:00.000Z, 分析師表示，新台幣自10月以來大幅貶值，引導資金流出，導致外資在台股操作持續偏向保守，雖貶多之後有出現反彈，但國際資金持續由新興市場回流發達國家，整體而言台幣仍維持偏弱格局不變，預期外資短線操作將維持保守，在資金流未出現反轉下，台股上檔仍有壓力。,-2
2018-10-19T02:35:00.000Z, 另外，分析師也說，美中貿易戰持續僵持，市場原預期11月將有G20會議登場，川普與習近平將會舉行雙邊會談，只是目前兩國持續陷入僵局，也使得國際指數都難有強勢表現，且新興市場受到資金流出衝擊更大，陸股也續跌，預期亞股短線偏弱勢之下，陸股恐續弱，台股仍有回測低點的機會，因此短線操作上應先行保守應對。,-7
2018-10-19T01:07:00.000Z,三大因素包括美國公債殖利率提升、美中貿易戰升溫，以及新興市場貨幣貶值等因素。,0
2018-10-19T01:07:00.000Z,三、新興市場貨幣受到終端供需改變而出現明顯的波動。,2
2018-10-22T03:54:00.000Z,　就技術面來看，上周五台股受到美股重挫拖累以下跌74點至9879點開出，早盤一度重挫至最低9762點，但在陸股迅速拉升帶動新興市場之下，盤中跌幅緩步收斂，終場以9919.26點作收，累計一周下跌126.55點，跌幅1.26%，周線連3黑但沒有破低，5日均量1129億元，震盪量縮；櫃買指數以117.2點作收，累計一周反彈0.37%；今天台股早盤受到上周五美國科技股及費半指數收低及日股開低拖累，指數一度回測9800點，不過陸股連兩天走高，激勵台股指數急拉，盤中指數由黑翻紅；近日台股指數受到美股及陸股影響，指數波動劇烈，一直無法順利站穩萬點，原本5日線已經止跌翻揚，但周五下跌，短期均線再度轉為下彎，且上周周K線上下影線都相當長，顯示上周多空在此呈現明顯對決，盤勢未脫離震盪測底的走勢，所幸上周五及今天台股盤中指數回檔未破10月12日盤中低點，且台股的日KD指標已經在超賣區，KD指標也有低檔轉強跡象，加上最弱勢的大陸股市連兩天大漲，出現破底翻的跡象，因此雖然台股尚未有明顯翻揚力道，但短線已經有機會築底，若國際股市能回穩，不排除本周台股有機會上演止跌反彈，初期先以指數能否站萬點為觀察重點。,-7
2018-10-30T06:11:00.000Z,他認為，雖然上週以來，美股重要指數皆跌破年線支撐區，美股道瓊工業指數昨天下跌245點，但今天台股盤中交易時間，美股道瓊期貨電子盤已大漲百點；在美股走弱、強勢美元衝擊下，仍須持續觀察新興市場股匯市表現。,1
2018-10-30T00:37:00.000Z,當前經濟情勢概況（專題：電子零組件出口分析）一、國外經濟受國際貿易保護主義升溫及新興市場匯率波動影響，IMF10月下修2018、2019年全球經濟成長率，2年均為3.7%，雖成長步調與去年相同，惟較前次(4月)預測各減0.2個百分點。,1
2018-10-30T00:37:00.000Z,二、國內經濟第4季為全球銷售旺季，消費性電子新品陸續上市，加上新興科技應用擴增，帶動我國9月外銷訂單、工業生產指數、及出口均創歷年同月新高，批發、零售及餐飲業營業額亦為歷年同月新高，惟美中貿易紛爭未解，恐影響全球成長力道，為未來之不確定因素，將持續關注因應。,2
2018-10-30T00:37:00.000Z,2.積體電路：因新興應用擴展，推升我國積體電路出口持續創新高，2017年年增18.1%，今年1-9月續增6.8%，預估全年出口可望突破千億美元大關。,8
2018-10-31T03:17:00.000Z,三星同時警告貿易衝突和新興市場匯兌風險，可能損害市場需求。,-4
