PublishDate,Sentence,Score
2017-05-16T06:54:00.000Z,而新增入選MSCI全球標準指數成分股的台灣高鐵 (2633) 、環球晶 (6488) 午盤出現利多出盡翻黑走勢，遭剔除的鎧勝-KY (5264) 因轉進全球小型指數成分股，展現抗跌力守高檔。,-1
2017-05-16T03:15:00.000Z,台股在全球標準型指數成分股新增環球晶圓 (6488) 、台灣高鐵 (2633) 2檔，只是兩公司股價並未受到激勵，連袂走跌。,1
2017-05-16T02:37:00.000Z,MSCI最新半年度調整，全球標準指數中的台股成分股新增台灣高鐵 (2633) 、環球晶 (6488) 2檔、剔除鎧勝-KY (5264) 1檔，早盤台灣高鐵、環球晶雙雙走跌，反而是鎧勝-KY力守高檔，表現抗跌。,0
2017-05-17T00:05:00.000Z,"台股昨（21）日雖有MSCI（明晟）雙降權重，僅小跌5點收在10,031點，除三大法人同步連4日偏多買超，官股券商本周起也轉為買超，昨日放大買超至2.72億元，買超聚焦在官股色彩濃的台灣高鐵 （2633） 、華航 （2610） 以及台積電 （2330） 等股，520行情似已悄悄升溫。",0
2017-05-17T00:05:00.000Z,"　據統計，官股券商昨買超群創、彩晶、台積電、台灣高鐵、富邦金等，皆有2,600張以上，台灣高鐵受惠納入MSCI全球標準型指數，官股券商一舉由賣超千張反手轉買2,748張。",1
2017-05-31T07:27:00.000Z,在這次MSCI權重調整中，台灣高鐵納入指數新增成分股，台灣高鐵今天成交量暴增超過13萬張，尾盤更出現大單進場，使高鐵股價終場收在25.4元，今天漲幅達7.63%。,3
2017-05-31T07:27:00.000Z,今天成交量前5名個股為台灣高鐵 (2633) 、元大滬深300正2（00637L）、群創 (3481) 、華邦電 (2344) 、台新金 (2887) 。,0
2017-05-31T07:27:00.000Z,至於MSCI台灣指數成份股方面，本次新增台灣高鐵及環球晶圓 (6488) 等2檔成分股，並刪除鎧勝-KY (5264) ，本月底指數成分股將為89檔。,-1
2017-05-31T07:27:00.000Z,本次權重調升最多的成分股為新增成分股台灣高鐵，其權重為0.24%；權重調降最多的成分股為台化 (1326) ，調降權重0.18%，其最新權重為1.66%。,1
2017-05-31T07:27:00.000Z,在這次MSCI權重調整中，台灣高鐵納入指數新增成分股，台灣高鐵今天成交量暴增超過13萬張，尾盤更出現大單進場，使高鐵股價終場收在25.4元，今天漲幅達7.63%。,3
2017-05-31T07:27:00.000Z,今天成交量前5名個股為台灣高鐵 (2633) 、元大滬深300正2（00637L）、群創 (3481) 、華邦電 (2344) 、台新金 (2887) 。,0
2017-05-31T07:27:00.000Z,至於MSCI台灣指數成份股方面，本次新增台灣高鐵及環球晶圓 (6488) 等2檔成分股，並刪除鎧勝-KY (5264) ，本月底指數成分股將為89檔。,-1
2017-05-31T07:27:00.000Z,本次權重調升最多的成分股為新增成分股台灣高鐵，其權重為0.24%；權重調降最多的成分股為台化 (1326) ，調降權重0.18%，其最新權重為1.66%。,1
