PublishDate,Sentence
2017-02-15T06:52:00.000Z,傳產股由原物料族群領軍強攻，鋼鐵股因國際鋼價看漲一片紅通通，燁興 (2007) 、第一銅 (2009) 、盛餘 (2029) 齊飆漲停，中鋼 (2002) 、東鋼 (2006) 、中鋼構 (2013) 、中鴻 (2014) 、美亞 (2020) 、燁輝 (2023) 等同步攻高；貨櫃、散裝航運今年可望擺脫谷底，益航 (2601) 、新興 (2605) 、裕民 (2606) 、中航 (2612) 、四維航 (5608) 攻上漲停，東森 (2614) 、台航 (2617) 、正德 (2641) 等攜手勁揚；塑化股以龍頭台塑 (1301) 衝高逾4%漲勢最猛。
2017-08-18T06:42:00.000Z,  非電子股方面，航運股持續火熱，華航 (2610) 法說報喜，客運已看到4個月後到年底都相當有把握，帶動股價創下17個月以來新高價，帶動正德 (2641) 、四維航 (5608) 、台航 (2617) 、益航 (2601) 等同步走揚，航運類股漲達2.05%。
2018-08-02T07:27:00.000Z,BDI指數攻上4年半新高，帶動散裝航運股新興 (2605) 、正德 (2641) 同步走揚。
2018-08-02T07:27:00.000Z,BDI指數攻上4年半新高，帶動散裝航運股新興 (2605) 、正德 (2641) 同步走揚。
2019-01-03T01:55:00.000Z, 18.正德 (2641) ：業績逐季好轉，今年力求降低負債比，不畏外資連3日賣超，早盤逆揚近2%。
2019-01-03T01:55:00.000Z, 18.正德 (2641) ：業績逐季好轉，今年力求降低負債比，不畏外資連3日賣超，早盤逆揚近2%。
2020-02-24T09:17:44.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.統一 (1216) ：每股成交價73.58元，成交量35萬9000股，成交金額2641萬5220元。"
2021-02-19T00:56:46.000Z,※券商推薦股：台積電(1)、聯發科(1)、聯詠(1)、環球晶(1)、華新科(1)、新興(1)、台航(1)、四維航(1)、正德(1)、晶豪科(1)、群聯(1)、威剛(1)。
2021-02-19T00:56:46.000Z,新興、台航、四維航、正德、旺宏、華邦電、晶豪科、群聯、威剛。
2021-06-21T04:34:09.000Z,上市櫃航運股中，包括四維航、新興、建興國際、台航、亞航、中航、慧洋-KY、萬海、遠雄港、志信、台船、中櫃、裕民、榮運、宅配通、捷迅、台聯櫃、陸海、正德等全數漲停，同樣擁散裝船隊的東鹼也亮燈漲停。
2021-12-12T03:37:30.000Z,在台指期淨部位，三大法人10日淨空單增加925口至11679口，其中外資多單減碼且空單加碼，淨空單增加1816口至26416口。
