PublishDate,Sentence,Score
2017-06-03T07:08:00.000Z,觀光股因暑假旺季將至及營運成長看旺，今日熱鬧開趴，寒舍 (2739) 、新天地 (8940) 、易飛網 (2734) 、安心 (1259) 聯袂攻頂，帶動王品 (2727) 、雲品 (2748) 、 燦星旅 (2719) 等同步勁揚。,6
2017-06-03T06:06:00.000Z,早盤強勢的觀光股指數一度上漲逾1%，但後繼無力，終場漲幅收斂至0.25%；寒舍 (2739) 、新天地 (8940) 鎖在漲停42.15元、15.55元，餐飲指標股王品 (2727) 收213元、漲幅1.91%，晶華 (2707) 收158.5元、漲幅0.96%。,2
2017-06-03T02:43:00.000Z,暑假旅遊旺季即將來臨，帶動觀光股指數今天上漲約1%，寒舍 (2739) 衝上漲停42.15元，餐飲指標股王品 (2727) 大漲5%，雲品 (2748) 漲幅逾2%。,6
2017-06-03T07:08:00.000Z,觀光股因暑假旺季將至及營運成長看旺，今日熱鬧開趴，寒舍 (2739) 、新天地 (8940) 、易飛網 (2734) 、安心 (1259) 聯袂攻頂，帶動王品 (2727) 、雲品 (2748) 、 燦星旅 (2719) 等同步勁揚。,6
2017-06-03T06:06:00.000Z,早盤強勢的觀光股指數一度上漲逾1%，但後繼無力，終場漲幅收斂至0.25%；寒舍 (2739) 、新天地 (8940) 鎖在漲停42.15元、15.55元，餐飲指標股王品 (2727) 收213元、漲幅1.91%，晶華 (2707) 收158.5元、漲幅0.96%。,2
2017-06-03T02:43:00.000Z,暑假旅遊旺季即將來臨，帶動觀光股指數今天上漲約1%，寒舍 (2739) 衝上漲停42.15元，餐飲指標股王品 (2727) 大漲5%，雲品 (2748) 漲幅逾2%。,6
2017-06-13T00:21:00.000Z,自2017年06月20日起至2017年06月23日暫停融券賣出四個營業日的證券如下：(4977)眾達-KY、(2727)王品、(2415)錩新、(1307)三芳、(2032)新鋼、(2107)厚生、(2330)台積電。,-3
2017-06-20T01:49:00.000Z,  5.王品 (2727) ：平價新品牌7月登場，助攻暑假業績，開盤展現強勢力道，一舉攻上200元大關。,3
2017-06-20T00:28:00.000Z,自2017年06月20日起至2017年06月23日暫停融券賣出四個營業日的證券如下：(1307)三芳、(2032)新鋼、(2107)厚生、(2330)台積電、(2415)錩新、(2421)建準、(2727)王品、(4915)致伸、(4977)眾達-KY、(6164)華興。,-3
2017-06-23T11:12:00.000Z,證交所表示，26日將有包括三芳 (1307) 、新鋼 (2032) 、厚生 (2107) 、台積電、錩新 (2415) 、建準 (2421) 、王品 (2727) 、致伸 (4915) 、眾達-KY (4977) 、華興 (6164) 10檔股票辦理除權息交易。,0
