PublishDate,Sentence
2017-04-24T01:00:00.000Z,日期：2017年 4月24日※本日焦點股VHQ-KY、雷科、大立光、信昌電、雅茗-KY、中橡、倉佑、美隆電、松翰、盛群、群電、九齊、福盈科、崧騰、宇峻、博磊、德微※昨日盤勢解析法國中間路線總統候選人馬克宏(Emmanuel  Macron)選情樂觀，激勵歐股走揚，法國 CAC 40 指數大漲 1.48%。
2017-07-13T07:00:00.000Z,觀光股王美食-KY挾著全球展千店氣勢攻高，盤中來到359.5元，漲幅8%，帶動觀光類股指數創下今年新高；其中易飛網 (2734) 股價漲停，雅茗-KY (2726) 順利填息。
2017-12-12T07:15:00.000Z,傳產股方面，觀光股美食-KY (2723) 、雅茗-KY (2726) 穩守盤上強撐人氣；塑化股挾利差想像題材相對持穩，國喬 (1312) 、台化 (1326) 及台塑化 (6505) 力守高檔；化工股由信昌化 (4725) 強勢領攻下持穩向上。
2017-12-12T02:44:00.000Z,  盤面上，各類股跌多漲少，觀光股股王美食-KY (2723) 漲幅力守1%，成功維擊人氣，雅茗-KY (2726) 漲幅超過2%，觀光股逆勢揚升，成為盤中的焦點之一。
2019-10-15T03:52:17.000Z,日前獲美系外資將投資評等由「劣於大盤」雙重調高到「優於大盤」，終結對環球晶的悲觀看法，14日在三大法人聯手買超2726張相挺下強攻漲停，今日漲勢不可擋續飆高4%衝上375.5元，強登10個月高價。
2019-10-15T03:52:00.000Z,日前獲美系外資將投資評等由「劣於大盤」雙重調高到「優於大盤」，終結對環球晶的悲觀看法，14日在三大法人聯手買超2726張相挺下強攻漲停，今日漲勢不可擋續飆高4%衝上375.5元，強登10個月高價。
2019-12-06T09:16:07.000Z,"
7.台積電 (2330) ：每股成交價312.5元，成交量40萬7232股，成交金額1億2726萬元。"
2020-01-31T06:21:40.000Z,"
觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。"
2020-01-31T06:21:00.000Z,  觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。
2020-02-04T07:08:11.000Z,近日表現疲弱的觀光股回神，其中跌深的美食-KY (2723) 、雅茗-KY (2726) 、寶得利 (5301) 等個股有顯著反彈，飯店業者華園 (2702) 、洛碁 (8077) 、高野 (2736) 齊揚，日本伴手禮業者紅馬-KY (2928) 盤中也有2%以上的漲幅。
2020-02-04T07:08:00.000Z,近日表現疲弱的觀光股回神，其中跌深的美食-KY (2723) 、雅茗-KY (2726) 、寶得利 (5301) 等個股有顯著反彈，飯店業者華園 (2702) 、洛碁 (8077) 、高野 (2736) 齊揚，日本伴手禮業者紅馬-KY (2928) 盤中也有2%以上的漲幅。
2020-01-31T06:21:40.000Z,"
觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。"
2020-01-31T06:21:00.000Z,  觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。
2020-02-04T07:08:11.000Z,近日表現疲弱的觀光股回神，其中跌深的美食-KY (2723) 、雅茗-KY (2726) 、寶得利 (5301) 等個股有顯著反彈，飯店業者華園 (2702) 、洛碁 (8077) 、高野 (2736) 齊揚，日本伴手禮業者紅馬-KY (2928) 盤中也有2%以上的漲幅。
2020-02-04T07:08:00.000Z,近日表現疲弱的觀光股回神，其中跌深的美食-KY (2723) 、雅茗-KY (2726) 、寶得利 (5301) 等個股有顯著反彈，飯店業者華園 (2702) 、洛碁 (8077) 、高野 (2736) 齊揚，日本伴手禮業者紅馬-KY (2928) 盤中也有2%以上的漲幅。
2020-04-08T00:05:52.000Z,至於9日至4月底前將除權息的個股有宜進、群光、世鎧、群電、耿鼎、廣穎、大學光、華研、台燿、統領、至上、聚鼎、晉椿、雅茗-KY等個股，其中僅有統領、大學光的現金殖利率低於3％以外，其他都超過3％，IC通路商至上達8.65％。
2020-11-03T02:48:33.000Z,"
到10時33分，台股加權指數來到12726.38點，上漲135.07點，漲幅0.97%，成交值來到新台幣883.94億元，其中電子股盤中上揚逾1.1%，金融股小漲約0.4%。"
2020-11-03T02:48:33.000Z,"
到10時33分，台股加權指數來到12726.38點，上漲135.07點，漲幅0.97%，成交值來到新台幣883.94億元，其中電子股盤中上揚逾1.1%，金融股小漲約0.4%。"
