PublishDate,Sentence
2017-05-25T07:05:00.000Z,瓦城 (2729) 營運維持高成長動能，吸引買盤敲進，放量大漲至274元，再創近2年半高點，穩居觀光股后寶座，收盤為267.5元。
2018-04-08T06:38:00.000Z,　櫃買中心與群益金鼎證於12、13日，在香港舉辦「櫃買市場海外法人說明會2018 Taiwan CEO Day」，攜手川寶 (1595) 、瓦城 (2729) 、穩懋 (3105) 、帛漢 (3299) 、聚積 (3527) 、亞通 (6179) 、益得 (6461) 、生華科 (6492) 、精測 (6510) 、長華科 (6548) 、生展 (8279) 、群聯 (8299) 、弘帆 (8433) 、綠河-KY (8444) 、光隆 (8916) 、森鉅 (8942) 及汎德永業 (2247) 等17家公司，涵蓋電子零組件、觀光、半導體、通信網路、生技醫療、光電、電腦及周邊設備、貿易百貨及電機機械等各產業指標企業，被看好將吸引外資買盤投入櫃買市場。
2018-07-15T07:37:00.000Z,　本周另一個焦點是新一波除權息股，主要留意電子的環球晶、飛捷、晶電、瀚宇博，以及傳產的遠東新、為升、和泰車、瓦城、雄獅、豐泰、上緯投控等，環球晶股價達512元將除息10元，而為升、和泰車、瓦城、雄獅等高價位股除息也受到期待。
2018-07-17T07:13:00.000Z,觀光股后瓦城 (2729) 、雄獅 (2731) 跟隨大盤震盪翻黑，填息路上同步「倒退嚕」。
2018-08-17T07:06:00.000Z,美食-KY (2327) 身陷兩岸統獨泥沼，股價連日溜滑梯，今日更爆量重摔跌停，觀光股王寶座拱手讓給瓦城 (2729) 。
2018-11-12T07:04:00.000Z, 美食-KY第三季財報利空出盡，加上10月營收觸底反彈，今日股價激揚站上漲停板221元，一舉站回5日、月線，並向季線靠攏，由於和瓦城 (2729) 股價差距拉近，觀光股王寶座爭奪戰可望再次上演；在美食-KY漲停激動下，觀光股今日一枝獨秀，類股漲幅超過3%。
2019-02-13T03:19:00.000Z,觀光股后美食-KY (2723) 早盤攻上漲停236.5元鎖住，逼近觀光股王瓦城 (2729) 239元平盤位置區。
2019-02-18T07:10:00.000Z,觀光股王爭霸激烈，近期股價強勢的美食-KY (2723) 攻上240元，與股王瓦城 (2729) 只剩1元的差距。
2019-09-20T09:14:08.000Z,"
37.和碩 (4938) ：每股成交價54.58元，成交量50萬股，成交金額2729萬元。"
2019-10-28T07:18:58.000Z,10月以來外資買超1043.8047億元，投信買超16.2582億元，自營商賣超119.21億元，三大法人買超1179.2729億元。
2019-10-28T07:18:00.000Z,10月以來外資買超1043.8047億元，投信買超16.2582億元，自營商賣超119.21億元，三大法人買超1179.2729億元。
