PublishDate,Sentence
2017-02-09T02:49:00.000Z,傳產類股中，雄獅 (2731) 首季營運看好，股價早盤一舉登上83元，為近1個月高點，富邦媒 (8454) 電商業績旺，股價登198?.?5元，寫近期高價。
2017-06-12T01:50:00.000Z,  5.雄獅 (2731) ：5月營收創新高，暑假親子旅遊旺季為營運再添柴火，早盤逆勢走高2%。
2017-06-20T01:49:00.000Z,  9.雄獅 （2731） ：總經理裴信祐表示，今年歐洲不利因素消除，加上雄獅O2O布局展現績效，全年樂觀，明年表現也會不錯，股價漲3.29%。
2017-06-22T03:13:00.000Z,  富邦投顧給予「加碼」或「買進」的名單共有15檔，包括:台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、力成 (6239) 、日月光 (2311) 、穩懋 (3105) 、景碩 (3189) 、環球晶 (6488) 、瑞昱 (2379) 、樺漢 (6414) 、上銀 (2049) 、統一超 (2912) 、富邦媒 (8454) 、雄獅 (2731) 、百和 (9938) 等。
2017-06-29T00:58:00.000Z,5.其他個別修正或漲多拉回者，諸如網家 (8044) 、信驊 (5274) 、凌華 (6166) 、茂迪 (6244) 、鈊象 (3293) 、勝麗 (6238) 、?矬? (8349) 、雄獅 (2731) 、亞翔 (6139) 等。
2017-08-07T06:56:00.000Z,金融股、傳產也加入多方行列，富邦金 (2881) 、開發金 (2883) 、兆豐金 (2886) 漲幅超過1%，具暑假題材的觀光股受到資金追捧，雄獅 (2731) 、美食-KY (2723) 、雲品 (2748) 皆有2%以上漲幅，展現強勢一面。
2017-10-13T01:46:00.000Z,  7.雄獅 (2731) ：旅展倒數計時，加上Q4旺季加持，股價逐漸脫離底部，早盤逆勢走升。
2017-12-08T03:06:00.000Z,  目前正值11月營收公布階段，營收亮眼股也成為今盤面領漲指標，包括亞德客-KY (1590) 、百和-KY (8404) 、雄獅 (2731) 、同致 (3552) 等都在營收消息助攻下，股價走揚。
2018-01-23T07:10:00.000Z,  旺季題材加持觀光類股，美食-KY (2723) 大漲5.5%，雄獅 (2731) 漲幅也超過1%，成為人氣焦點，上市觀光指數漲幅超過2.3%，居類股排行第一。
2018-07-15T07:37:00.000Z,　本周另一個焦點是新一波除權息股，主要留意電子的環球晶、飛捷、晶電、瀚宇博，以及傳產的遠東新、為升、和泰車、瓦城、雄獅、豐泰、上緯投控等，環球晶股價達512元將除息10元，而為升、和泰車、瓦城、雄獅等高價位股除息也受到期待。
2018-07-16T07:01:00.000Z,暑假旺季讓觀光股人氣升溫，華園 (2702) 處分美據點大進補，股價漲不停，今日又登漲停板，再創波段高峰；雄獅 (2731) 在暑假旺季加持之下，第3季營運可望穩在高檔不墬，買盤湧入推升股價大漲4%以上。
2018-07-17T07:13:00.000Z,觀光股后瓦城 (2729) 、雄獅 (2731) 跟隨大盤震盪翻黑，填息路上同步「倒退嚕」。
2018-11-12T01:59:00.000Z, 12.雄獅 (2731) ：日本天災衝擊，Q3旺季獲利摔新低，早盤慘跌逾3%。
2018-11-26T07:15:00.000Z,　國民黨九合一選舉大勝，7縣市「綠地變回藍天」，韓流成功翻轉高雄振奮資產、營建與觀光股，包括中石化 (1314) 、京城 (2524) 、華榮 (1608) 、國揚 (2505) 、愛山林 (2540) 、欣巴巴 (9906) 、華園 (2702) 、六福 (2705) 、國賓 (2704) 、鳳凰 (5706) 、雄獅 (2731) 等歡聲雷動。
2018-11-26T02:21:00.000Z,藍營國民黨大贏九合一選舉，因市場預期兩岸關係會走向新局面，台股中的營建、資產、觀光、旅遊股今日紛紛大漲，包括有中石化 （1314） 、華航 （2610） 、長榮航 （2618） 、華園 （2702） 、六福 （2705） 、國賓 （2704） 、鳳凰 （5706） 、王品 （2727） 、晶華 （2707） 、雄獅 （2731） 等。
2019-03-26T02:07:00.000Z, 12.雄獅 (2731) ：受消費趨緩衝擊，去年每股盈餘3.66元，擬配息3.8元，早盤下挫逾2%。
2019-04-11T07:09:00.000Z,今日外資(不含外資自營商)賣超53.1358億元，投信賣超1.8357億元，自營商賣超17.2731億元，三大法人賣超72.24億元。
2019-06-24T08:46:00.000Z,不過外資與自營商今天同步由買轉賣，合計賣超台積電1萬2731張，僅投信小幅買超24張。
2019-07-01T06:14:00.000Z,除權息方面，穩懋 (3105) 受到華為禁令解除影響，開盤後急攻漲停鎖在213元，除息首日即完成填息；國泰金 (2882) 今除息，開盤參考價41.5元，股價大漲2.89%、收42.7元，大步填息；雄獅 (2731) 除息參考價81.7元，今上漲1.84%，穩健邁向填息路。
2019-07-01T06:14:00.000Z,除權息方面，穩懋 (3105) 受到華為禁令解除影響，開盤後急攻漲停鎖在213元，除息首日即完成填息；國泰金 (2882) 今除息，開盤參考價41.5元，股價大漲2.89%、收42.7元，大步填息；雄獅 (2731) 除息參考價81.7元，今上漲1.84%，穩健邁向填息路。
2019-12-18T07:17:00.000Z,正逢聖誕節、跨年旺季促銷，帶動觀光股的華園強勢收漲逾9%，寒舍 (2739) 、雄獅 (2731) 、 統領 (2910) 、淘帝-KY (2929) 、富邦媒 (8454) 等個股亦喜開懷。
2020-01-09T07:01:19.000Z,觀光股也由華園 (2702) 、國賓 (2704) 、雄獅 (2731) 、鳳凰 (5706) 等強勢漲幅超過5%，類股指數收漲近2%，登漲幅季軍。
2020-01-09T07:01:00.000Z,觀光股也由華園 (2702) 、國賓 (2704) 、雄獅 (2731) 、鳳凰 (5706) 等強勢漲幅超過5%，類股指數收漲近2%，登漲幅季軍。
2020-01-10T07:05:59.000Z,而大選將至，藍綠概念股熱血喊凍蒜，綠營主張的綠能、生醫、風電政策之世紀鋼 (9958) 、新光鋼 (2031) 、上緯投控 (3708) 、神隆 (1789) 、美時 (1795) 、基亞等股價表現亮眼，藍營則可望帶旺內需與觀光股表現，營建、觀光、飯店概念股以及高雄概念股同樣提前展開慶功行情，大魯閣 (1432) 、國揚 (2505) 強勢以漲停價作收，劍湖山、南仁湖、國賓 (2704) 、華園 (2702) 、鄉林 (5531) 、冠德 (2520) 、公信 (5521) 、雄獅 (2731) 、鳳凰 (5706) 等個股也都強強滾。
2020-01-10T07:05:00.000Z,而大選將至，藍綠概念股熱血喊凍蒜，綠營主張的綠能、生醫、風電政策之世紀鋼 (9958) 、新光鋼 (2031) 、上緯投控 (3708) 、神隆 (1789) 、美時 (1795) 、基亞等股價表現亮眼，藍營則可望帶旺內需與觀光股表現，營建、觀光、飯店概念股以及高雄概念股同樣提前展開慶功行情，大魯閣 (1432) 、國揚 (2505) 強勢以漲停價作收，劍湖山、南仁湖、國賓 (2704) 、華園 (2702) 、鄉林 (5531) 、冠德 (2520) 、公信 (5521) 、雄獅 (2731) 、鳳凰 (5706) 等個股也都強強滾。
2020-01-13T07:15:19.000Z,總統蔡英文連任成功，市場預期綠能政策將可延續，帶動鋼廠布局離岸風電最積極的世紀鋼 (9958) 、新光鋼 (2031) 分別爆量收高逾3%、2%；但反觀觀光類股，由於民進黨再次完全執政，市場憂心兩岸關係急凍恐衝擊觀光產業，今日一開盤觀光股、高雄概念股多檔重挫，包括國賓(270)、鳳凰 (5706) 、雄獅 (2731) 、夏都 (2722) 等傷勢慘重，其中又以華園、國賓收跌停表現最差。
