PublishDate,Sentence
2018-05-14T07:16:00.000Z,觀光股王品 (2727) 、六角 (2732) Q1財報利空拖累盤中雙雙跌停，盤面上相對弱勢。
2019-05-08T07:11:00.000Z,六角 (2732) 首季淡季獲利逆勢改寫新高，第二季營運有望再拚新高，今日開高後放量直攻漲停價110.5元，創1年來新高、領漲觀光類股。
2019-05-08T03:19:00.000Z,旗下有日出茶太等品牌的六角 (2732) 去年汰弱留強策略奏效，首季繳出稅後淨利年增近4倍的成績，今天股價強勢表態奔上漲停110.5元。
2019-06-17T07:51:00.000Z,"台股今（17）日因台積電 （2330） 大跌、10,500點早盤曾失守，所幸大立光 （3008） 等重量級權值股相繼表態上攻，台股最後守住10,500點且小漲5點，收在10,530點，盤面仍以內需股大統益 （1232） 、六角 （2732） 、復盛應用 （6670） 及柏文 （8462） 等四檔個股最給力，股價創歷史新高，不怕貿易戰來打亂，逆勢奮戰向上。"
2019-06-17T07:51:00.000Z,　拜近來暑假旺季來臨，餐飲股六角營運持續加溫中，5月營收已改寫歷史次高，表現非凡，今日股價收140.5元大漲7.66％，六角將於7月4日除息約4.5元，擬於8月2日發放現金股息，現金股息殖利率3.2％。
2019-06-27T02:03:00.000Z, 17.六角 (2732) ：旺季+體質轉強，股價小幅回檔後再出發，攻漲2%。
2019-06-27T02:03:00.000Z, 17.六角 (2732) ：旺季+體質轉強，股價小幅回檔後再出發，攻漲2%。
2019-10-23T02:06:06.000Z,"
12.六角 (2732) ：日出茶太年底重返印度市場、明年攻東奧商機，後市表現受期待，攻高4%望向170元。"
2019-10-23T02:06:00.000Z, 12.六角 (2732) ：日出茶太年底重返印度市場、明年攻東奧商機，後市表現受期待，攻高4%望向170元。
2019-11-05T02:14:00.000Z, 12.六角 (2732) ：印尼、日本、菲律賓積極展店，效應逐漸增溫，早盤漲幅約2%，蓄勢突破盤整區間。
2019-12-19T02:22:00.000Z, 12.六角 (2732) ：第四季新展店效益下季發酵，明年續在全球布局，今早一舉突破160元上方反壓，拉出近半根漲停板。
2019-12-26T07:09:51.000Z,台光電 (2383) 、宜鼎、禾聯碩 (5283) 、群聯、雙鴻、GIS-KY (6456) 、同欣電 (6271) 、六角、為升 (2231) 、晶心科 (6533) 、眾達-KY (4977) 、惠特 (6706) 等均大漲逾2-3％。
2019-12-26T07:09:00.000Z,台光電 (2383) 、宜鼎、禾聯碩 (5283) 、群聯、雙鴻、GIS-KY (6456) 、同欣電 (6271) 、六角、為升 (2231) 、晶心科 (6533) 、眾達-KY (4977) 、惠特 (6706) 等均大漲逾2-3％。
2020-01-20T06:36:00.000Z,拜美股連番創新高所賜，台股金豬年封關日也表現平穩，今天台股指數跟隨美股腳步以小紅開出，雖然欠缺台積電 (2330) 及大立光 (3008) 雙王助攻，但中小型股活蹦亂跳，恆大 (1325) 、頂晶科 (3562) 、康那香 (9919) 、寬魚國際 (6101) 、南六 (6504) 、新麗 (9944) 、毛寶 (1732) 、太極 (4934) 、三聯 (5493) 及凱碩 (8059) 等以漲停板作收，六角 (2732) 、高力 (8996) 、加高 (8182) 、玉晶光 (3406) 等強攻，財報績優電子股如：順達科 (3211) 及信邦 (3023) 等股價續強，讓台股指數盤中一度站上12150點，儘管尾盤時獲利了結賣壓出籠，指數小幅壓回，但仍順利站上5日線。
2020-01-31T06:21:40.000Z,"
觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。"
2020-01-31T06:21:00.000Z,  觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。
2020-01-31T06:21:40.000Z,"
觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。"
2020-01-31T06:21:00.000Z,  觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。
