PublishDate,Sentence
2018-01-08T05:50:00.000Z,  全球股市屢創新高，台股也不落人後急起直追，儘管今天開盤前有股王—大立光 (3008) 去年12月合併營收表現平平，外資調降大立光目標價，讓光學元件及蘋果概念股利空罩頂，但台積電 (2330) 挺身而出，且台幣連番急升，資產概念股、鋼鐵等傳產股接棒相挺台股，讓台股多頭得以延續，鄉林 (5531) 、東哥遊艇 (8478) 、科妍 (1786) 、天蔥 (2740) 、世紀鋼 (9958) 、大國鋼 (8415) 、台船 (2208) 等強攻漲停板，匯鑽科 (8431) 、光洋科 (1785) 及日馳 (1526) 等強勢大漲，蘋果供應鏈—華通 (2313) 、台郡 (6269) 及玉晶光 (3406) 在中場過後轉強，大立光在開盤見低價後緩步走高，讓台股指數開平走高。
2018-09-04T01:23:00.000Z,亞洲股市今天日股開盤漲32.67點，報22740.05點，韓股開盤漲1.93點，報2308.96點。
2018-09-04T01:23:00.000Z,亞洲股市今天日股開盤漲32.67點，報22740.05點，韓股開盤漲1.93點，報2308.96點。
2018-11-02T01:18:00.000Z,川習會樂觀，提振投資人的信心，美股連3日上漲，道瓊工業指數周四收盤漲264.98點或1.06%，報25380.74點；S&P500指數漲28.63點或1.06%，報2740.37點；那斯達克指數漲128.16點或1.75%，報7434.06點；費城半導體指數漲55.78點，報1258.07點。
2018-11-02T01:18:00.000Z,川習會樂觀，提振投資人的信心，美股連3日上漲，道瓊工業指數周四收盤漲264.98點或1.06%，報25380.74點；S&P500指數漲28.63點或1.06%，報2740.37點；那斯達克指數漲128.16點或1.75%，報7434.06點；費城半導體指數漲55.78點，報1258.07點。
2019-08-26T06:33:00.000Z,大陸及美國在上週五加大互祭關稅力道，不僅加稅的產業擴大至美國汽車零組件等，加稅的幅度也擴大，上週五美股應聲倒地，亞股及台股未開盤就「綠雲」罩頂，今天台股一開盤就跳空下挫，蘋果主要供應商—大立光 (3008) 、台積電 (2330) 成為法人減碼標的，近期內資強力拉抬的散熱也遭逢獲利了結賣壓，泰碩 (3338) 、雙鴻 (3324) 等個股股價股價走弱，僅有環天科 (3499) 、淳紳 (4529) 、台境 (8476) 、天蔥 (2740) 及凱崴 (5498) 等少數銅板股個股逆勢以漲停板作收。
2019-09-05T02:07:00.000Z, 21.天蔥 (2740) ：財報問題仍是股價的痛，賣單出籠，一度跌停。
2019-12-26T13:57:00.000Z,今年來跌幅前20名個股當中，跌幅最大逾8成，最少也下跌4成，產業分布包括電子、生醫、餐飲族群；其中跌幅前5名依序為LED原材料廠長科* (6548) 下跌88.2%、餐飲連鎖店天蔥 (2740) 下跌70.76%、生醫公司康呈 (6236) 下跌66.52%、資訊服務軟體設計商通訊-KY (6404) 下跌63.12%、生醫廠亞獅康-KY (6497) 下跌63.52%。
2020-02-10T09:11:42.000Z,"
8.華碩 (2357) ：每股成交價219.23元，成交量12萬5000股，成交金額2740萬3750元。"
2020-03-13T09:12:49.000Z,"
3.台泥 (1101) ：每股成交價39.43元，成交量111萬8000股，成交金額4408萬2740元。"
2020-05-21T09:18:19.000Z,"
38.中信金 (2891) ：每股成交價19.9元，成交量137萬7000股，成交金額2740萬2300元。"
2020-05-27T07:08:23.000Z,"
受到新冠肺炎疫情趨緩，台灣各地可望陸續解封重啟經濟，觀光股持續上演報復行情，族群百花盛開欣欣向榮，新天地 (8940) 、遠雄來 (2712) 、夏都 (2722) 、華園 (2702) 、燦星旅 (2719) 、易飛網 (2734) 、天蔥 (2740) 、五福 (2745) 等全面歡慶漲停，推升上櫃觀光類指大漲3%，漲勢最猛。"
2020-06-01T06:55:14.000Z,香港財政司長表示，美國對香港制裁影響有限，激勵香港股市及亞股，台股今天亦在大立光 (3008) 及台積電 (2330) 雙王領軍，電子股重掌兵符下跳空開高，義隆電 (2458) 、亞信 (3169) 、創惟 (6104) 、欣興 (3037) 、旺矽 (6223) 、營邦 (3693) 、優群 (3217) 、長盛 (3492) 等中小型電子股同步漲停作收，新天地 (8940) 、劍湖山 (5701) 、天蔥 (2740) 等亦亮燈漲停，在市場氣氛轉為樂觀下，台股指數開高走高，順利站上11000點關卡，重新站回年線，終場加權股價指數為11079.02點，上漲136.86點，成交量1663.98億元；OTC指數為149.34點，上漲1.96點，成交量495.66億元。
2020-06-01T06:55:14.000Z,香港財政司長表示，美國對香港制裁影響有限，激勵香港股市及亞股，台股今天亦在大立光 (3008) 及台積電 (2330) 雙王領軍，電子股重掌兵符下跳空開高，義隆電 (2458) 、亞信 (3169) 、創惟 (6104) 、欣興 (3037) 、旺矽 (6223) 、營邦 (3693) 、優群 (3217) 、長盛 (3492) 等中小型電子股同步漲停作收，新天地 (8940) 、劍湖山 (5701) 、天蔥 (2740) 等亦亮燈漲停，在市場氣氛轉為樂觀下，台股指數開高走高，順利站上11000點關卡，重新站回年線，終場加權股價指數為11079.02點，上漲136.86點，成交量1663.98億元；OTC指數為149.34點，上漲1.96點，成交量495.66億元。
