PublishDate,Sentence
2019-06-18T04:00:00.000Z,"微軟官方線上店顯示(見此)，華為MateBook 13 53010FKM筆電售價1,299美元，搭載Windows 10 Home 64-bit作業系統，若安裝Office 365文書處理系統可省下20美元。"
2019-11-20T02:16:07.000Z,"
10.寶得利 (5301) ：積極擴展兩岸餐飲事業，低檔盤整期結束，早盤續強再走高2.5%。"
2019-11-20T02:16:00.000Z, 10.寶得利 (5301) ：積極擴展兩岸餐飲事業，低檔盤整期結束，早盤續強再走高2.5%。
2020-01-31T06:21:40.000Z,"
觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。"
2020-01-31T06:21:00.000Z,  觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。
2020-02-04T07:08:11.000Z,近日表現疲弱的觀光股回神，其中跌深的美食-KY (2723) 、雅茗-KY (2726) 、寶得利 (5301) 等個股有顯著反彈，飯店業者華園 (2702) 、洛碁 (8077) 、高野 (2736) 齊揚，日本伴手禮業者紅馬-KY (2928) 盤中也有2%以上的漲幅。
2020-02-04T07:08:00.000Z,近日表現疲弱的觀光股回神，其中跌深的美食-KY (2723) 、雅茗-KY (2726) 、寶得利 (5301) 等個股有顯著反彈，飯店業者華園 (2702) 、洛碁 (8077) 、高野 (2736) 齊揚，日本伴手禮業者紅馬-KY (2928) 盤中也有2%以上的漲幅。
2020-01-31T06:21:40.000Z,"
觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。"
2020-01-31T06:21:00.000Z,  觀光股也受到武漢肺炎衝擊，旅客掀起退訂潮，寶得利 (5301) 、美食-KY (2723) 及雅茗-KY (2726) 盤中再殺跌停，六角 (2732) 收跌逾5%，華園 (2702) 亦持續重挫逾7%，整體類股指數今日續跌逾2%，一度創2009年3月中以來近11年低點。
2020-02-04T07:08:11.000Z,近日表現疲弱的觀光股回神，其中跌深的美食-KY (2723) 、雅茗-KY (2726) 、寶得利 (5301) 等個股有顯著反彈，飯店業者華園 (2702) 、洛碁 (8077) 、高野 (2736) 齊揚，日本伴手禮業者紅馬-KY (2928) 盤中也有2%以上的漲幅。
2020-02-04T07:08:00.000Z,近日表現疲弱的觀光股回神，其中跌深的美食-KY (2723) 、雅茗-KY (2726) 、寶得利 (5301) 等個股有顯著反彈，飯店業者華園 (2702) 、洛碁 (8077) 、高野 (2736) 齊揚，日本伴手禮業者紅馬-KY (2928) 盤中也有2%以上的漲幅。
