PublishDate,Sentence
2017-03-02T00:48:00.000Z,6.傳產股: 週三以食品、造紙、運輸、觀光、水泥等類股較為強勢；食品看1216統一、1256鮮活果汁-KY、1234黑松的表現；造紙由1909榮成、1905華紙領漲；運輸看2609陽明、2603長榮、2208台船、2615萬海、2636台驊的表現；觀光由5706鳳凰、2723美食-KY領漲；水泥看1103嘉泥、1102亞泥的表現。
2017-03-02T00:48:00.000Z,6.傳產股: 週三以食品、造紙、運輸、觀光、水泥等類股較為強勢；食品看1216統一、1256鮮活果汁-KY、1234黑松的表現；造紙由1909榮成、1905華紙領漲；運輸看2609陽明、2603長榮、2208台船、2615萬海、2636台驊的表現；觀光由5706鳳凰、2723美食-KY領漲；水泥看1103嘉泥、1102亞泥的表現。
2017-07-12T06:52:00.000Z,鳳凰 (5706) 以34.65元進行除息交易，股價持穩盤上，維持近1％漲幅，最高上漲至35.15元，填息率25%。
2017-11-20T00:23:00.000Z,Waymo 11月7日發布新聞稿宣布，即日起將在美國鳳凰城公共道路上測試無人駕駛車。
2018-01-15T02:29:00.000Z,Waymo去年11月7日發布新聞稿宣布，即日起將在美國鳳凰城公共道路上測試無人駕駛車。
2018-01-15T02:29:00.000Z,Waymo是全球第一家在公共道路擁有全自駕(fully self-driving)車隊的公司，2018年將在亞利桑那州鳳凰城對一般大眾推出營利叫車服務。
2018-01-29T04:09:00.000Z,Waymo已宣布，2018年將在美國亞利桑那州鳳凰城對一般大眾推出營利叫車服務。
2018-11-09T07:01:00.000Z,年度最盛大的台北國際旅展將在11月23日至26日開展，加上餐飲業績跟風雙11，為本月業績添柴火，王品 (2727) 、第一店 (2706) 收盤皆有1%漲幅，國賓 (2704) 、美食-KY (2723) 、鳳凰 (5706) 、好樂迪 (9943) 收紅。
2018-11-26T07:15:00.000Z,　國民黨九合一選舉大勝，7縣市「綠地變回藍天」，韓流成功翻轉高雄振奮資產、營建與觀光股，包括中石化 (1314) 、京城 (2524) 、華榮 (1608) 、國揚 (2505) 、愛山林 (2540) 、欣巴巴 (9906) 、華園 (2702) 、六福 (2705) 、國賓 (2704) 、鳳凰 (5706) 、雄獅 (2731) 等歡聲雷動。
2018-11-26T02:21:00.000Z,藍營國民黨大贏九合一選舉，因市場預期兩岸關係會走向新局面，台股中的營建、資產、觀光、旅遊股今日紛紛大漲，包括有中石化 （1314） 、華航 （2610） 、長榮航 （2618） 、華園 （2702） 、六福 （2705） 、國賓 （2704） 、鳳凰 （5706） 、王品 （2727） 、晶華 （2707） 、雄獅 （2731） 等。
2020-01-09T07:01:19.000Z,觀光股也由華園 (2702) 、國賓 (2704) 、雄獅 (2731) 、鳳凰 (5706) 等強勢漲幅超過5%，類股指數收漲近2%，登漲幅季軍。
2020-01-09T07:01:00.000Z,觀光股也由華園 (2702) 、國賓 (2704) 、雄獅 (2731) 、鳳凰 (5706) 等強勢漲幅超過5%，類股指數收漲近2%，登漲幅季軍。
