PublishDate,Sentence
2017-07-03T07:00:00.000Z,　美國科技類股震盪劇烈，台積電 (2330) 等填息行情不如預期，且大立光 (3008) 無力守穩5000元大關連番走跌，鴻海 (2317) 家族漲多後歇兵，讓上周指數一度創下27年新高、周線連6紅、月線連7紅的台股多頭攻勢受挫，資金亦轉向傳產及中小型股，大魯閣 (1432) 、東華 (1418) 、銘鈺 (4545) 、昶洧 (4529) 、大甲 (2221) 及晶焱 (6411) 攻上漲停作收，豐泰 (9910) 盤中亦漲停，長榮 (2603) 、陽明 (2609) 及中鋼 (2002) 等傳產龍頭股擺尾走高，敦泰 (3545) 、金居 (8358) 、聯發科 (2454) 、撼訊 (6150) 、台燿 (6274) 、和碩 (4938) 及英業達 (2356) 等適時挺身穩住人氣，在傳產類股出頭下，全場走弱的台股在收盤前擺尾收高，終場加權股價指數為10412.79點，上漲17.72點，成交量為831.94億元；OTC指數為135.49點，下跌0.21點，成交量為206.82億元。
2017-07-03T07:00:00.000Z,　美國科技類股震盪劇烈，台積電 (2330) 等填息行情不如預期，且大立光 (3008) 無力守穩5000元大關連番走跌，鴻海 (2317) 家族漲多後歇兵，讓上周指數一度創下27年新高、周線連6紅、月線連7紅的台股多頭攻勢受挫，資金亦轉向傳產及中小型股，大魯閣 (1432) 、東華 (1418) 、銘鈺 (4545) 、昶洧 (4529) 、大甲 (2221) 及晶焱 (6411) 攻上漲停作收，豐泰 (9910) 盤中亦漲停，長榮 (2603) 、陽明 (2609) 及中鋼 (2002) 等傳產龍頭股擺尾走高，敦泰 (3545) 、金居 (8358) 、聯發科 (2454) 、撼訊 (6150) 、台燿 (6274) 、和碩 (4938) 及英業達 (2356) 等適時挺身穩住人氣，在傳產類股出頭下，全場走弱的台股在收盤前擺尾收高，終場加權股價指數為10412.79點，上漲17.72點，成交量為831.94億元；OTC指數為135.49點，下跌0.21點，成交量為206.82億元。
2018-11-28T07:18:00.000Z,　九合一大選後，「高雄概念股」政治利多持續延燒，百貨股的大魯閣 (1432) 雖打開漲停，今仍收漲4.42%，不甩遭列注意股的華園 (2702) 以及羅麗芬-KY (6666) 持續強勢，收盤高鎖漲停，六福 (2705) 包袱變輕，同樣多方力捧，美食-KY (2723) 、新天地 (8940) 等觀光股均走勢上揚，推升該類股指數收漲2.77%，成為台股上漲主力軍。
2018-11-28T06:24:00.000Z,高雄概念股連續3天上演慶祝行情，百貨類股大魯閣 (1432) 盤中攻到漲停10.65元，但未鎖死，終場漲幅收斂至4.42%，收10.15元；觀光類股的燦星旅 (2719) 盤中大漲8%，終場漲3.67%，收11.3元；六福 (2705) 漲5.9%，收7.18元。
2019-03-04T07:04:00.000Z,集中市場漲幅前10名為：燦星網 (4930) 漲10%、豐達科 (3004) 漲9.99%、傳奇 (4994) 漲9.95%、大魯閣 (1432) 漲9.94%、嘉威 (3577) 漲9.78%、美律 (2439) 漲9.73%、同泰 (3321) 漲9.68%、欣興 (3037) 漲8.92%、台表科 (6278) 漲7.98%、晶彩科 (3535) 漲7.43%。
2019-03-04T07:04:00.000Z,集中市場漲幅前10名為：燦星網 (4930) 漲10%、豐達科 (3004) 漲9.99%、傳奇 (4994) 漲9.95%、大魯閣 (1432) 漲9.94%、嘉威 (3577) 漲9.78%、美律 (2439) 漲9.73%、同泰 (3321) 漲9.68%、欣興 (3037) 漲8.92%、台表科 (6278) 漲7.98%、晶彩科 (3535) 漲7.43%。
2019-06-10T02:06:00.000Z, 19.欣興 (3037) ：5月營收年增22.74%，外資上個交易日買超1432張，股價漲近5%。
2019-07-15T07:05:00.000Z, 今日集中市場十大漲幅為：傳奇 (4994) 漲9.98%、綠悅-KY (1262) 漲9.96%、慧友 (5484) 漲9.89%、大魯閣 (1432) 漲9.87%、欣巴巴 (9906) 漲9.81%、華園 (2702) 漲9.79%、旺宏 (2337) 漲8.83%、揚智 (3041) 漲8.82%、承業 (4164) 漲7.71%、健策 (3653) 漲7.59%。
2019-07-15T02:17:00.000Z, 5.大魯閣 (1432) ：6月營收年增35.81%、H1增46.85%，表現不差，加上股價已跌多且深，早盤多頭回神，放量衝高逾4.5%，拉出一根長紅棒。
2020-01-10T07:05:59.000Z,而大選將至，藍綠概念股熱血喊凍蒜，綠營主張的綠能、生醫、風電政策之世紀鋼 (9958) 、新光鋼 (2031) 、上緯投控 (3708) 、神隆 (1789) 、美時 (1795) 、基亞等股價表現亮眼，藍營則可望帶旺內需與觀光股表現，營建、觀光、飯店概念股以及高雄概念股同樣提前展開慶功行情，大魯閣 (1432) 、國揚 (2505) 強勢以漲停價作收，劍湖山、南仁湖、國賓 (2704) 、華園 (2702) 、鄉林 (5531) 、冠德 (2520) 、公信 (5521) 、雄獅 (2731) 、鳳凰 (5706) 等個股也都強強滾。
