PublishDate,Sentence
2017-07-14T00:30:00.000Z,元大期貨表示，台指期留倉方面，外資加碼多單2929口至淨多單4萬3187口，自營商也同步加碼多單，法人整體期現貨依舊為小幅偏多佈局。
2017-10-03T01:58:00.000Z,  6.淘帝-KY (2929) ：2018春夏訂貨會加入山西代理商，中國布局再下一城，股價持續偏多，早盤漲幅約1%。
2017-10-03T01:58:00.000Z,  6.淘帝-KY (2929) ：2018春夏訂貨會加入山西代理商，中國布局再下一城，股價持續偏多，早盤漲幅約1%。
2017-11-30T02:02:00.000Z,  6.淘帝-KY (2929) ：今年有機會拚賺一個股本，股價展現強勁抗跌力道，再次來到114元，企圖改寫波段高點。
2017-12-01T02:11:00.000Z,  12.淘帝-KY (2929) ：基本面利多，股價漲勢止不住，開盤後登上118元，創近9個月高點。
2017-11-30T02:02:00.000Z,  6.淘帝-KY (2929) ：今年有機會拚賺一個股本，股價展現強勁抗跌力道，再次來到114元，企圖改寫波段高點。
2017-12-01T02:11:00.000Z,  12.淘帝-KY (2929) ：基本面利多，股價漲勢止不住，開盤後登上118元，創近9個月高點。
2019-03-26T02:07:00.000Z, 7.淘帝-KY (2929) ：去年EPS 11.56元，優於106年表現，加上短線股價跌多，早盤爆量衝上89.6元漲停價，一舉收復5日線、月線、季線。
2019-05-09T07:07:00.000Z,人民幣貶勢再起，中國內需產業不利，中概股身陷避險拋售壓力，特別是食品、百貨、消費通路類股，個股如南僑 (1702) 、佳格 (1227) 、麗嬰房 (2911) 、淘帝-KY (2929) 以及藍天 (2362) 等股價皆黯淡收黑。
2019-08-07T02:03:00.000Z, 7.淘帝-KY (2929) ：Q2豐收，EPS衝3.65元，昨外資轉買超，早盤放量強漲近6%。
2019-08-27T02:08:00.000Z, 9.淘帝-KY (2929) ：本月以來外資買超多於賣超，推升股價持續上攻，今早彈升逾3%，再戰百元大關。
2019-08-28T02:04:00.000Z, 4.淘帝-KY (2929) ：昨獲外資擴大買超408張，激勵早盤股價衝上102元，登10餘月來波段新高。
2019-11-07T07:15:42.000Z,而雙11進入倒數階段以及年底旺季，百貨、電商紛紛大展身手，東森 (2614) 、潤泰全 (2915) 、淘帝-KY (2929) 、富邦媒 (8454) 集合上攻，率先展開慶祝行情。
2019-11-07T07:15:00.000Z,而雙11進入倒數階段以及年底旺季，百貨、電商紛紛大展身手，東森 (2614) 、潤泰全 (2915) 、淘帝-KY (2929) 、富邦媒 (8454) 集合上攻，率先展開慶祝行情。
2019-11-13T02:11:24.000Z,"
10.淘帝-KY (2929) :前3季獲利登同期高，EPS 8.97元，早盤放量收復5日線、達107元。"
2019-11-13T02:11:00.000Z, 10.淘帝-KY (2929) :前3季獲利登同期高，EPS 8.97元，早盤放量收復5日線、達107元。
2019-11-28T07:12:26.000Z,百貨股淘帝-KY (2929) 除權息首日，買盤溫吞，上午11時過後翻黑收跌。
2019-11-28T07:12:00.000Z,百貨股淘帝-KY (2929) 除權息首日，買盤溫吞，上午11時過後翻黑收跌。
2019-12-18T07:17:00.000Z,正逢聖誕節、跨年旺季促銷，帶動觀光股的華園強勢收漲逾9%，寒舍 (2739) 、雄獅 (2731) 、 統領 (2910) 、淘帝-KY (2929) 、富邦媒 (8454) 等個股亦喜開懷。
2020-02-03T09:11:39.000Z,"
3.淘帝-KY (2929) ：每股成交價79.3元，成交量50萬股，成交金額3965萬元。"
2020-02-03T09:11:39.000Z,"
3.淘帝-KY (2929) ：每股成交價79.3元，成交量50萬股，成交金額3965萬元。"
2020-02-13T09:17:07.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.淘帝-KY (2929) ：每股成交價78.6元，成交量60萬股，成交金額4716萬元。"
2020-02-14T09:12:30.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.淘帝-KY (2929) ：每股成交價78.1元，成交量60萬股，成交金額4686萬元。"
2020-02-17T09:13:37.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.淘帝-KY (2929) ：每股成交價77.8元，成交量60萬股，成交金額4668萬元。"
2020-02-19T09:17:27.000Z,"
2.淘帝-KY (2929) ：每股成交價78.1元，成交量80萬股，成交金額6248萬元。"
