PublishDate,Sentence
2017-02-09T02:49:00.000Z,傳產類股中，雄獅 (2731) 首季營運看好，股價早盤一舉登上83元，為近1個月高點，富邦媒 (8454) 電商業績旺，股價登198?.?5元，寫近期高價。
2017-04-16T23:57:00.000Z,而電子商務公司亞馬遜揭露財報時，黃文清認為，受惠的網家、商店街、富邦媒等個股可搭上一波想像題材，但漲勢能否延續，依然得回歸公司基本面。
2017-06-22T03:13:00.000Z,  富邦投顧給予「加碼」或「買進」的名單共有15檔，包括:台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、力成 (6239) 、日月光 (2311) 、穩懋 (3105) 、景碩 (3189) 、環球晶 (6488) 、瑞昱 (2379) 、樺漢 (6414) 、上銀 (2049) 、統一超 (2912) 、富邦媒 (8454) 、雄獅 (2731) 、百和 (9938) 等。
2017-08-02T01:48:00.000Z,  7.富邦媒 (8454) ：上半年繳出佳績，酷暑商機帶動Q3續旺，近來股價頻創高，今早上漲約2%，將挑戰220元。
2017-08-02T01:48:00.000Z,  7.富邦媒 (8454) ：上半年繳出佳績，酷暑商機帶動Q3續旺，近來股價頻創高，今早上漲約2%，將挑戰220元。
2018-03-01T00:15:00.000Z,　富邦媒多角化發展，並進行線上與線下整合，快速搶攻市占，去年每股賺9.07元，創歷史次高紀錄，毛利率拉高到10.8％，今年來受到外資青睞，短短2個月股價一口氣漲到300元，累計漲幅近4成。
2018-03-01T00:15:00.000Z,　富邦媒多角化發展，並進行線上與線下整合，快速搶攻市占，去年每股賺9.07元，創歷史次高紀錄，毛利率拉高到10.8％，今年來受到外資青睞，短短2個月股價一口氣漲到300元，累計漲幅近4成。
2018-06-27T06:59:00.000Z,  百貨股今日受傷最深，類股跌幅1.7%，富邦媒重跌3%，面臨200元保衛戰，統一超 (2912) 市值越兆豐金，直逼中鋼，但獲利了結賣壓出籠，今日回檔修正，下跌約2.5%。
2019-03-18T00:41:00.000Z,其餘個股依序排列，聖暉 (5536) 、川湖 (2059) 、大江生醫 (8436) 、禾伸堂 (3026) 、寶雅 (5904) 、朋億 (6613) 、儒鴻 (1476) 、祥碩 (5269) 、麗豐-KY (4137) 、宏達電 (2498) 、鮮活果汁-KY (1256) 、京鼎 (3413) 、台積電 (2330) 、尚凡 (5278) 、南亞科 (2408) 、可寧衛 (8422) 、崑鼎投控 (6803) 、GIS-KY (6456) 、上緯投控 (3708) 、璟德電子 (3152) 、宜鼎國際 (5289) 、瑞儀光電 (6176) 、美律 (2439) 、富邦媒 (8454) ，去年也都賺逾1個股本的好成績。
2019-04-11T07:09:00.000Z,而財報傳喜訊個股多有漲風，東台 (4526) 、虹堡 (5258) 強收鎖漲停，強茂 (2481) 、合勤控 (3704) 、新日興 (3376) 亦觸及漲停，今起恢復交易的千興 (2025) 也一度登上漲停板，其他報喜個股如麗清 (3346) 、永冠-KY (1589) 、虹揚-KY (6573) 、辛耘 (3583) 、瑞昱 (2379) 、所羅門 (2359) 、泰碩 (3338) 、華新科 (2492) 、欣興 (3037) 、動力-KY (6591) 、新美齊 (2442) 、燦星網 (4930) 、長榮海 (2603) 、富邦媒 (8454) 、再生-KY (1337) 、可成 (2474) 齊力挺多頭，股價雀躍。
2019-09-04T05:44:00.000Z,　傳產股有13家，包括海光、東元、亞德客-KY、統一超、寶雅、富邦媒、台灣高鐵、聚陽、統一、億豐、中裕、葡萄王、大江等，金融股僅有國泰金、中信金及富邦金等3家。
2019-09-04T05:44:00.000Z,　傳產股有13家，包括海光、東元、亞德客-KY、統一超、寶雅、富邦媒、台灣高鐵、聚陽、統一、億豐、中裕、葡萄王、大江等，金融股僅有國泰金、中信金及富邦金等3家。
2019-09-06T07:11:00.000Z,富邦媒 (8454) 迎99購物節，將為9月營收添火助威，今收漲1.94%至263元，其他百貨股如統一超 (2912) 、阿瘦 (8443) 同樣力挺多方，百貨股周五收漲0.91%，力奪漲幅第二名。
2019-10-31T09:15:08.000Z,"
27.富邦媒 (8454) ：每股成交價262.5元，成交量8萬股，成交金額2100萬元。"
2019-10-31T09:15:08.000Z,"
27.富邦媒 (8454) ：每股成交價262.5元，成交量8萬股，成交金額2100萬元。"
