PublishDate,Sentence
2017-07-20T02:43:00.000Z,軟銀集團社長孫正義19日指出，在建立越來越聰明的車載資通訊(Telematics)業務的同時，Nauto也大量創造出非常有價值的自駕數據。
2017-10-09T07:28:00.000Z,　機械公會理事長柯拔希、友嘉集團總裁朱志洋等多位大老表示，世界各國都在積極推動工業4.0，台灣以中小企業居多，要從工業2.0逐步升級至4.0，是條漫長的路，可能要花上30～40年時間，但歐洲推動產業數位化速度遠不及亞洲，台灣機械業加上擅長的資通訊及物聯網，是發展智慧機械產業很好的優勢。
2018-03-23T06:12:00.000Z,從美國貿易代表署打算祭出高達25%的關稅來看，受影響的產業將包含航太、資通訊及機械產業。
2018-03-23T03:27:00.000Z,根據美國貿易代表署（USTR）資料，在關稅部分，USTR打算祭出高達25%的從價關稅（Ad Valorem Duties），受影響的產業將包含航太、資通訊及機械產業，這項關稅將於15天內公告，公告後30天內聽取美國各方意見並舉行聽證會後，USTR作出最終裁定，才會實施。
2018-06-28T08:08:00.000Z,"包括營收成長14.49％的廣達 (2382) 電腦以營收淨額9,886億元，擠下營收淨額9,691億元的台積電 (2330) 重回第3名地位；台灣中油以8,966億元擠下營收淨額8,611億元的國泰人壽站上第5名；以及緯創 (3231) 資通以7,654億元擠下營收淨額6,734億元的南山人壽(5874)站上第8名。"
2018-06-28T08:08:00.000Z,"包括營收成長14.49％的廣達 (2382) 電腦以營收淨額9,886億元，擠下營收淨額9,691億元的台積電 (2330) 重回第3名地位；台灣中油以8,966億元擠下營收淨額8,611億元的國泰人壽站上第5名；以及緯創 (3231) 資通以7,654億元擠下營收淨額6,734億元的南山人壽(5874)站上第8名。"
2018-10-30T07:08:00.000Z,2018年台灣投入研發經費最多的十大企業依序為：鴻海 (2317) 、台積電 (2330) 、聯發科 (2454) 、台達電 (2308) 、華碩電腦 (2357) 、緯創資通 (3231) 、聯華電子 (2303) 、和碩聯合科技 (4938) 、群創光電 (3481) 、廣達電腦 (2382) 。
2018-11-16T05:08:00.000Z, 自2016 CES揭開自駕車元年，讓原本不能跨越車輛產業鴻溝的資通訊業者充滿希望，同時，在德國、英國、法國、台灣等宣示推動電動車政策，與法規實施的雙重助力下，將帶動電動車的關鍵系統和電子零組件發展，車用安全受NCAP(New Car Assessment Program)規範與各國減少交通零傷亡的重視、帶動ADAS與自動駕駛車發展，5G的大頻寬、低延遲也助長車載多媒體發展。
2018-11-16T05:08:00.000Z, 環顧台灣車電產品導航、多媒體與車用影像項目發展居多，隨著國際發展趨勢、政府政策支持下，聯網、自動與電動車輛將帶出汽車電子成長的動能，工研院IEKConsulting報告指出，2018年台灣汽車電子產值預估可達新台幣2002億元，直逼台灣整車產值，同時也帶動資通訊和車電零組件對車輛新興科技應用，台灣ICT業者如台積電 (2330) 、華邦電 (2344) 、聯發科 (2454) 、凌陽 (2401) 、光寶 (2301) 、鴻海 (2317) 、為升 (2231) 、台達電 (2308) 、國際航電等都已進入車電領域，相較於國際廠商利用新創或併購儘速取得市場位置，石育賢建議台灣發展車輛電子產品從點、線、面的合作模式，也應結合法人研究單位與國內外業者建構其平台，讓不同層次的業者發展車電產品，以應用到自動、聯網、電動、與運輸服務來建立自己的優勢，以進入國際市場。
2019-04-23T07:58:00.000Z,工研院資通所所長闕志克表示，近年的新興技術如自駕車、無人機等，皆需要AI技術來協助執行包括自動駕駛、避障、航線規劃等功能，背後重要的推手就是「AI晶片」的即時運算能力。
2019-08-20T06:40:15.000Z,美國商務部長羅斯表示，美方確定延長中國資通訊設備大廠華為與美企往來的寬限期90天至11月19日，受到美方釋放中美貿易戰緩和訊號鼓舞，隔夜美股四大指數全面勁揚，台股也在華為概念股台積電 (2330) 、瑞昱 (2379) 、矽創 (8016) 等領軍下開高，攻下10500灘頭堡。
2019-08-20T02:57:00.000Z,美國商務部長羅斯（Wilbur Ross）19日表示，美方確定延長中國資通訊設備大廠華為與美企往來的寬限期90天，至11月19日。
2019-09-03T02:44:00.000Z,台積電 (2330) 獲得外資連續四天買超，共計買超近2.5萬張，達24714張，推升股價由8月26日的低點248.5元漲到今日開盤為256.5元，並站穩月季線及5日線。
2019-09-03T02:44:00.000Z,台積電 (2330) 獲得外資連續四天買超，共計買超近2.5萬張，達24714張，推升股價由8月26日的低點248.5元漲到今日開盤為256.5元，並站穩月季線及5日線。
2020-03-17T04:27:02.000Z,電信三雄2020年財測獲利目標縮減，但營收目標仍大幅成長，主要成長動能來自資通訊（ICT）業務，尤以物聯網服務營收成長幅度最為可觀。
2020-03-17T04:27:02.000Z,"
中華電2019年來自物聯網營收貢獻約80億元，相較2018年成長約17.6％，2020年挑戰年增10～20％，台灣大2019年資通訊服務營收大幅成長，光去年第四季物聯網裝置數量便較2018年同期成長25％。"
2020-03-17T04:27:02.000Z,遠傳2019年自資通訊業務營收年增77％，其中物聯網收入年成長高達792％，今年2月來自資通訊業務營收年增294％，其中來自物聯網營收年成長率更高達598％，三雄今日即由遠傳 (4904) 點火突圍強漲4%領軍，帶動中華電 (2412) 跟進翻紅走揚1%，台灣大 (3045) 則小跌0.5%，表現仍較大盤抗跌。
2020-04-24T07:12:06.000Z,防疫亦使遠端需求升溫，宅經濟持續發酵，資通 (2471) 收漲6.76%，領漲資服類股，傳奇 (4994) 、訊連 (5203) 連袂走揚。
2020-10-27T05:32:44.000Z,"
生策會會長翁啟惠、美國哈佛大學比爾蓋茲講座教授孔祥重、台灣大學醫學院名譽教授李源德、緯創資通 (3231) 董事長林憲銘與聯強 (2347) 總裁兼執行長杜書伍也獲選工研院新科院士。"
2020-10-27T05:32:44.000Z,"
工研院表示，每年推舉產業界的菁英為工研院院士，肯定院士在技術創新及其產業化卓越成就，今年7位新科院士來自半導體、資通訊與生技醫療界，對國家發展貢獻良多。"
2020-10-29T05:02:55.000Z,"
工研院指出，台灣應發展使用者為中心的系統架構，形成智聯網的數位經濟；整體產業由應用端聯合發展，從資通訊（ICT）、軟體到服務，產品要便於使用，系統架構平台設計很重要，從功能模組到末端應用可以同時發展，以世界為市場邁進。"
2020-10-29T23:51:20.000Z,舉例來說，在ICT硬體基礎上結合醫療產業，資通訊科技與醫療領域專家密切合作，以使用者為導向的研發，與醫療相關監測資訊的後續應用與儀器的研發都要顧及醫師的角色，並從而與醫師共同推展市場。
2020-10-29T23:51:20.000Z,舉例來說，在ICT硬體基礎上結合醫療產業，資通訊科技與醫療領域專家密切合作，以使用者為導向的研發，與醫療相關監測資訊的後續應用與儀器的研發都要顧及醫師的角色，並從而與醫師共同推展市場。
2020-12-15T14:24:53.000Z,（中央社記者張建中新竹2020年12月15日電）新竹科學園區成立40週年，從資通訊發展到半導體產業，並開枝散葉，成功將經驗複製成立南科與中科，半導體產業在台灣西部已形成「矽谷帶」，成為守護台灣及全球的「矽盾」。
2021-01-18T02:07:20.000Z,但吳孟道提出警示，指出製造業呈現兩樣情，也就是科技業強勁、傳產低迷，而且，即使是表現亮麗的電子零組件、資通訊產業也並非沒有隱憂，因為未來一旦需求緩和，匯損影響將會擴大。
2021-05-26T03:29:57.000Z,汽車市場在去年第4季開始回溫，車用晶片需求大幅成長，而IDM廠去年第3季取消訂單後，晶圓代工廠已將產能轉向資通訊晶片產品，沒有多餘產能投入製造車用晶片，使得車用晶片供給不足，IDM廠庫存水位快速下滑。
2021-08-28T03:14:29.000Z,河內一帶大多是資通訊產業，影響相對小，佳世達廠區在河內的南方，比較沒有受到影響。
2021-09-08T00:58:00.000Z,他說，橋科目前正積極招商，不管半導體、被動元件或資通訊高科技產業，未來都有機會在中油廠區或橋科、路科與其它產業園區落腳。
2021-11-08T02:37:07.000Z,根據調查，前5家公司排行與薪資分別是第1的台積電，平均薪資4萬8910；居次的是華碩電腦，平均薪資4萬7909；第3名是聯發科技，平均薪資8萬4039；第4名是緯創資通，平均薪資為4萬7749；第5名是台達電，平均薪資是5萬756元。
2021-11-09T06:54:00.000Z,2021 年已步入尾聲，根據由員工自行回報的知名薪資網站《比薪水》統計，2021年最熱門5間公司皆為科技業，其中，「護國神山」台積電的平均薪資為4萬8910元，小於聯發科的8萬4039 元，相差超過3萬元，讓網友好奇詢問，隨然聽說台積電加年終，年薪雖可以破百萬，但沒想到，平均月薪竟連5字頭都沒有，「以理工科行情來看，這是正常的嗎？」《比薪水》先前公布了2021年最熱門公司排行榜，按排名順序分別為：台積電、華碩、聯發科、緯創、台達電，而勞工自主回報的薪資統計如下：1.聯發科平均薪資：8萬4039元2.台達電平均薪資：5萬756元3.台積電平均薪資：4萬8910元4.華碩平均薪資：4萬7909元5.緯創資通平均薪資：4萬7749元▼2021年最熱門公司薪資落點（圖/翻攝自比薪水）沒想到最受歡迎的台積電，薪水排名第三，不僅平均月薪未達5字頭，與聯發科相差超過3萬元，被力壓好幾個頭。
2021-11-18T03:05:17.000Z,星展銀行台北分行至今也已累積數件永續連結貸款案例，合作對象包含台積電、大聯大控股、文曄科技、緯創資通、友達光電等。
2021-12-20T00:24:43.000Z,對產業有深入研究的高雄銀行董事長董瑞斌指出，高雄過去重視發展中鋼和中油等重化工業，過去20年在資通訊的ICT產業布局相對較少，成了高雄失落的20年，這一高雄產業缺口，在半導體S廊帶和5G AIoT的產業雙主軸布局之下，一次補足。
2021-12-20T00:24:43.000Z,高雄經發局長廖泰翔表示，國內外大廠不只投資半導體產業，資通大廠緯創在11月之前，也在前鎮科技產業園區投資100億元，興建集團全球車載及工控面板製造燈塔工廠；超市龍頭全聯累計投資高雄近百億元；台泥企業團所屬三元能源科技則投入120億元，在高雄小港打造台灣首座超級電池工廠，製造業和服務業陸續布局高雄。
2021-12-24T07:16:52.000Z,透過AI的運用與科技的進展，讓台灣最強的半導體與資通訊產業發揮最大的價值。
