PublishDate,Sentence
2017-03-02T00:48:00.000Z,4.電子股：電子指數週三以下跌3.88點的390.22點作收，將回測月線；週三較強的電子股包括:  IC設計的3014聯陽、8096擎亞、3259鑫創、6415矽力-KY、6138茂達、6411晶焱、3094聯傑、2436偉詮電；IC製造的2337旺宏、2338光罩、5347世界；封測的3567逸昌、6257矽格、3264欣銓、3374精材；資訊服務的3029零壹、6214精誠、2427三商電、2480敦陽科；IPC的3416融程電、3088艾訊、3479安勤、8050廣積、3022威強電；電源相關的3078僑威、6412群電；被動元件的2492華新科、2327國巨、2375智寶、3026禾伸堂；PCB的6141柏承、3044健鼎、5439高技…等。
2017-03-02T00:48:00.000Z,4.電子股：電子指數週三以下跌3.88點的390.22點作收，將回測月線；週三較強的電子股包括:  IC設計的3014聯陽、8096擎亞、3259鑫創、6415矽力-KY、6138茂達、6411晶焱、3094聯傑、2436偉詮電；IC製造的2337旺宏、2338光罩、5347世界；封測的3567逸昌、6257矽格、3264欣銓、3374精材；資訊服務的3029零壹、6214精誠、2427三商電、2480敦陽科；IPC的3416融程電、3088艾訊、3479安勤、8050廣積、3022威強電；電源相關的3078僑威、6412群電；被動元件的2492華新科、2327國巨、2375智寶、3026禾伸堂；PCB的6141柏承、3044健鼎、5439高技…等。
2017-05-14T02:44:00.000Z,精華 (1565) 今年加薪2.9%，堡達 (3537) 加薪3.24%，零壹 (3029) 加薪3.32%，華南金 (2880) 加薪3.7%，安成製藥 (4180) 加薪4%，瀚荃 (8103) 加薪4.2%，信錦 (1582) 加薪5%，調幅也都高於去年水準。
2017-10-05T02:00:00.000Z,  8.零壹 (3029) ：9月營收年增43.45%，早盤漲近4.5%。
2018-07-26T07:02:00.000Z,資訊服務股勢均力敵，訊連 (5203) Q2獲利繳出三年來新高的佳績，股價強攻漲停鎖住，並帶動三商電 (2427) 、凌群 (2453) 、零壹 (3029) 齊揚，類股漲幅達1.69%。
2019-06-19T02:11:00.000Z, 29.美時 (1795) ：為投信認養股，近六日天天買超共計3029張，早盤走揚3%，有機會展開半年報作帳行情。
2019-08-27T07:16:00.000Z,訊連 (5203) 啟動四大成長引擎，營運今年先蹲明年後跳，法人估未來3年營運動能看好，今日帶量強漲，終場收漲6.64%至93.2元，直奔短波高價，領軍資訊服務股強攻，凌群 (2453) 、零壹 (3029) 、傳奇 (4994) 等均漲幅達2%，該類指收漲1.65%，列上市第一漲幅。
2019-10-14T02:15:32.000Z,"
38.零壹 (3029) ：9月合併營收月增5.84%、年增21.58%，外資9日轉買超478張，早盤跳漲逾2.7%，收復10日線。"
2019-10-14T02:15:00.000Z, 38.零壹 (3029) ：9月合併營收月增5.84%、年增21.58%，外資9日轉買超478張，早盤跳漲逾2.7%，收復10日線。
2019-10-16T02:02:17.000Z,"
31.零壹 (3029) ：前9月營收年增32.39%，土洋法人聯手買超245張，早盤一度漲逾2%，挑戰前高。"
2019-10-16T02:02:00.000Z, 31.零壹 (3029) ：前9月營收年增32.39%，土洋法人聯手買超245張，早盤一度漲逾2%，挑戰前高。
2019-11-06T02:01:00.000Z, 23.零壹 (3029) ：10月合併營收9.98億元，月增25.6%、年增75.24%，早盤擺脫整理、跳漲逾4%。
2019-11-06T02:01:00.000Z,"
23.零壹 (3029) ：10月合併營收9.98億元，月增25.6%、年增75.24%，早盤擺脫整理、跳漲逾4%。"
2020-02-11T01:56:00.000Z,  22.零壹 (3029) ：1月營收月增0.04%、年增7.95%，三大法人昨轉買超，早盤漲逾2%。
2020-03-06T02:01:00.000Z,  18.零壹 (3029) ：2月營收年增50.73%，早盤挾量漲逾1%。
