PublishDate,Sentence
2017-09-08T06:26:00.000Z,  台積電在8月營收大舉拉升下，1至8月營收約為6112.98億元，較去年同期增加2.6%。
2017-09-20T02:23:00.000Z,台積電今年前8月營收6112.97億元，年增2.57%，台積電預期，今年美元營收可望較去年再成長5%至10%水準。
2018-08-06T06:59:00.000Z,傳奇 (4994) 手遊《風之大陸》大陸上市躋進前十名，估Q3有望轉虧為盈，股價受到激勵，大漲6%以上，推動資服類股指數勁揚1.3%，聚碩 (6112) 、凌群 (2453) 、敦陽科 (2480) 漲幅4%~3%。
2019-10-04T02:08:04.000Z,"
28.聚碩 (6112) ：9月營收10.44億，年增7.99%，累計前三季營收31.79億，年增6.93%。"
2019-10-04T02:08:00.000Z, 28.聚碩 (6112) ：9月營收10.44億，年增7.99%，累計前三季營收31.79億，年增6.93%。
2019-10-04T02:08:04.000Z,"
28.聚碩 (6112) ：9月營收10.44億，年增7.99%，累計前三季營收31.79億，年增6.93%。"
2019-10-04T02:08:00.000Z, 28.聚碩 (6112) ：9月營收10.44億，年增7.99%，累計前三季營收31.79億，年增6.93%。
2019-11-05T02:14:00.000Z, 27.聚碩 (6112) ：10月營收10億989萬元，年增22.78%，早盤跳漲約1.6%。
2020-03-06T02:01:00.000Z,  17.聚碩 (6112) ：去年EPS為2.58元，擬配息3元，早盤股價漲逾4%，登近7個月新高。
2020-03-09T02:21:00.000Z,  35.聚碩 (6112) ：大方配息3元，為2014年以來最多，早盤登半年來新高。
2020-09-21T01:55:04.000Z,上周全周，外資賣超台積電6112張。
