PublishDate,Sentence
2017-10-12T05:49:00.000Z,  目前9月營收公布告一段落，績優個股今股價也多有表現，包括有鴻準 (2354) 、訊達 (6140) 、揚明光 (3504) 、精材 (3374) 等挾營收題材，獲多方青睞；太陽能族群今也相當亮眼，受惠矽晶圓廠環球晶市況熱絡，環球晶 (6488) 早盤股價再創歷史新高站上340.5元，帶動中美晶 (5483) 盤中漲停，股價創2011年8月以來新高。
2017-10-12T01:48:00.000Z,  5.訊達 (6140) ：9月營收創新高，年增81.31%，早盤漲逾8.5%。
2019-10-01T09:14:06.000Z,"
6.聚陽 (1477) ：每股成交價165.47元，成交量16萬2000股，成交金額2680萬6140元。"
2019-10-01T09:14:06.000Z,"
6.聚陽 (1477) ：每股成交價165.47元，成交量16萬2000股，成交金額2680萬6140元。"
2019-11-26T09:11:17.000Z,"
25.台新金 (2887) ：每股成交價14.42元，成交量56萬7000股，成交金額817萬6140元。"
2020-01-14T02:14:41.000Z,"
24.訊達 (6140) ：開盤即觸漲停，惟賣壓出籠，漲幅縮窄至3%左右。"
2020-01-17T09:11:24.000Z,"
22.可成 (2474) ：每股成交價249.24元，成交量20萬6140股，成交金額5137萬8334元。"
2020-02-06T09:11:53.000Z,"
6.研華 (2395) ：每股成交價307元，成交量20萬股，成交金額6140萬元。"
2020-02-19T09:17:27.000Z,"
29.力成 (6239) ：每股成交價113.54元，成交量19萬1000股，成交金額2168萬6140元。"
2020-06-03T09:14:54.000Z,"
14.台光電 (2383) ：每股成交價151.06元，成交量11萬9000股，成交金額1797萬6140元。"
2020-06-03T09:14:54.000Z,"
14.台光電 (2383) ：每股成交價151.06元，成交量11萬9000股，成交金額1797萬6140元。"
