PublishDate,Sentence
2017-11-20T03:54:00.000Z,上周五隨美股大漲反彈站回10700點的台股今天又陷入整理，受到上周五美股漲多收黑影響，今天台股權值股再度休兵，股市持續由本土資金掛帥，上演個股表現行情，中小型股如：尼克森 (3317) 、柏騰 (3518) 、中化生 (1762) 等強攻漲停板，具漲價題材的被動元件股如：國巨 (2327) 、禾伸堂 (3027) 、立隆 (2472) 及法人力挺的穩懋 (3105) 盤中股價均走強，不過由於台積電走跌，壓抑到指數表現。
2018-12-05T07:13:00.000Z,盤面上僅油電燃氣、百貨、通信股守住紅盤，裕隆集團因嚴陳莉蓮接班穩住軍心，裕隆 (2201) 、嘉裕 (1417) 、中華 (2204) 報以漲聲；電信股再成貿易戰避風港，三雄中華電 (2412) 、台灣大 (3045) 、遠傳 (4904) 及網通股兆赫 (2485) 、仲琦 (2419) 、盛達 (3027) 等突圍向上；漲價概念股僅MOSFET的尼克森 (3317) 剽悍強彈，其餘包括被動元件、矽晶圓、二極體等全面拉回整理。
2018-12-26T07:11:00.000Z,盤面上僅部分族群零星點火，包括LED族群的晶電 (2448) 、光鋐 (4956) 和榮創 (3437) 等閃閃發光，5G概念股亞信 (3169) 、智邦 (2345) 、友訊 (2332) 、盛達 (3027) 、台嘉碩 (3221) 等強勢表態，遊戲股因大陸重啟審批鼓舞，歐買尬 (3687) 和傳奇 (4994) 逆勢勁揚。
2019-03-28T06:59:00.000Z,而台股震盪，個股較有表現，去年報喜和派利亮眼雙利多的凱撒衛 (1817) 、晶華 (2707) 、華園 (2702) 、鑽全 (1527) 、台泥 (1101) 、雙鍵 (4764) 、盛達 (3027) 、順天 (5525) 、和康生 (1783) 齊心大步力挺多方。
2019-04-01T07:17:00.000Z,玉晶光 (3406) 漲9.99%、泰碩 (3338) 漲9.97%、星通 (3025) 漲9.94%、鴻海 (2317) 漲9.93%、悅城 (6405) 漲9.87%、偉聯 (9912) 漲9.85%、和鑫 (3049) 漲9.81%、新美齊 (2442) 漲9.76%、盛達 (3027) 漲9.63%、欣興 (3037) 漲9.12%。
2019-04-01T06:45:00.000Z,全球股市多頭氣盛，讓今天台股早盤因鴻海 (2317) 跳空大漲，以及光學元件個股—玉晶光 (3406) 等強攻帶動下，指數以高盤開出，盤中更因玉晶光 (3406) 、新復興 (4909) 、精測 (6510) 、興采 (4433) 、星通 (3025) 、盛達 (3027) 、倉和 (6538) 強攻漲停板，以及華通 (2313) 、欣興 (3037) 、康控-KY (4943) 、環球晶 (6488) 及智邦 (2345) 等股價走高，帶動盤中指數一度站上10700點。
2019-04-01T02:21:00.000Z, 20.盛達 (3027) ：去年啟動轉型作業帶動獲利飆高，今日跳空拉出兩根漲停，登上波段高峰。
2019-04-02T02:24:00.000Z, 25.盛達 (3027) ：去年啟動轉型作業帶動獲利飆高，繼昨日拉出第三根漲停後，早盤仍彈高3%，續登上波段高峰。
2019-03-28T06:59:00.000Z,而台股震盪，個股較有表現，去年報喜和派利亮眼雙利多的凱撒衛 (1817) 、晶華 (2707) 、華園 (2702) 、鑽全 (1527) 、台泥 (1101) 、雙鍵 (4764) 、盛達 (3027) 、順天 (5525) 、和康生 (1783) 齊心大步力挺多方。
2019-04-01T07:17:00.000Z,玉晶光 (3406) 漲9.99%、泰碩 (3338) 漲9.97%、星通 (3025) 漲9.94%、鴻海 (2317) 漲9.93%、悅城 (6405) 漲9.87%、偉聯 (9912) 漲9.85%、和鑫 (3049) 漲9.81%、新美齊 (2442) 漲9.76%、盛達 (3027) 漲9.63%、欣興 (3037) 漲9.12%。
