PublishDate,Sentence
2017-01-11T07:35:00.000Z,金融沿 5 日線上漲、電子狹幅震盪、非金電挑戰 5 日線1. 電子股：電子指數週三以下跌 0.64 點的 374.60 點作收，近期在 373.78~377.47 點間狹幅整理；週三較強的電子股包括: IC 設計的 3529 力旺、6462 神盾、5269 祥碩、2379 瑞昱、6202 盛群、3035 智原；封測的 8150 南茂、3374 精材、3264 欣銓； PC 相關的 3231 緯創、3005 神基、2377 微星、2382 廣達、2352 佳世達、3706 神達；LED 的 3346 麗清、6271 同欣電、2301 光寶科；電腦周邊的 3032 偉訓、2421 建準、5264 鎧勝 - KY、6188 廣明；光通訊的 6426 統新、4984 科納 - KY、3363 上詮、3163 波若威；網通的 2345 智邦、3596 智易；被動元件的 2327 國巨、6175 立敦、2478 大毅、2456 奇力新… 等。
2017-02-03T06:05:00.000Z,  在題材行情當道下，櫃買市場漲幅近期普遍勝過集中市場，今日盤中櫃買指數更一度創下波段新高，光通訊族群今日接棒多頭演出，華星光 (4979) 、光環 (3234) 攻頂漲停，族群股王聯亞 (3081) 也在董監事改選題材下，引發軋空行情，股價大漲逾4%，台通 (8011) 、波若威 (3163) 也大漲約4.5%。
2017-02-03T06:05:00.000Z,  在題材行情當道下，櫃買市場漲幅近期普遍勝過集中市場，今日盤中櫃買指數更一度創下波段新高，光通訊族群今日接棒多頭演出，華星光 (4979) 、光環 (3234) 攻頂漲停，族群股王聯亞 (3081) 也在董監事改選題材下，引發軋空行情，股價大漲逾4%，台通 (8011) 、波若威 (3163) 也大漲約4.5%。
2017-03-03T07:11:00.000Z,  中小型電子題材股為今日盤面資金匯聚之地，業績、營運轉機股又為市場焦點，電子股有新鉅科 (3630) 挾營運轉機題材，連續拉出第5根漲停，華晶科 (3059) 也受惠雙鏡頭題材，盤中股價大漲3.5%，光通訊族群亦為另一強勢指標，產業揮別去年谷底，今年營運樂觀，統新 (6426) 大漲6.5%，眾達-KY (4977) 漲幅4.5%，波若威 (3163) 亦上揚3.5%。
2017-03-03T06:00:00.000Z,  盤面今在題材、業績等族群較有發揮，光學概念股表現強勢，包括今國光 (6209) 、華晶科 (3059) 、新鉅科 (3630) 等營運前景樂觀，今日成為電子股抗跌族群，另外，光通訊族群也逆勢走強，展望2017年拚谷底翻轉下，統新 (6426) 大漲8%，眾達-KY (4977) 漲幅逾4%，波若威 (3163) 勁揚3%，光環 (3234) 、華星光 (4979) 漲幅也在1.5%附近跳動，另外，網通股智邦 (2345) 收盤也大漲逾6%。
2017-03-03T07:11:00.000Z,  中小型電子題材股為今日盤面資金匯聚之地，業績、營運轉機股又為市場焦點，電子股有新鉅科 (3630) 挾營運轉機題材，連續拉出第5根漲停，華晶科 (3059) 也受惠雙鏡頭題材，盤中股價大漲3.5%，光通訊族群亦為另一強勢指標，產業揮別去年谷底，今年營運樂觀，統新 (6426) 大漲6.5%，眾達-KY (4977) 漲幅4.5%，波若威 (3163) 亦上揚3.5%。
2017-03-03T06:00:00.000Z,  盤面今在題材、業績等族群較有發揮，光學概念股表現強勢，包括今國光 (6209) 、華晶科 (3059) 、新鉅科 (3630) 等營運前景樂觀，今日成為電子股抗跌族群，另外，光通訊族群也逆勢走強，展望2017年拚谷底翻轉下，統新 (6426) 大漲8%，眾達-KY (4977) 漲幅逾4%，波若威 (3163) 勁揚3%，光環 (3234) 、華星光 (4979) 漲幅也在1.5%附近跳動，另外，網通股智邦 (2345) 收盤也大漲逾6%。
2017-03-20T06:58:00.000Z,　電子股表現方面，權值股今日普遍熄火，大立光 (3008) 、鴻海 (2317) 小幅回檔，台積電 (2330) 收在平盤；次族群表現相對搶眼，網通股在產業景氣持續看好下成為盤面領漲指標，波若威 (3163) 、友訊 (2332) 盤中雙雙攻頂，帶動智邦 (2345) 、合勤控 (3704) 、正文 (4906) 、台揚 (2314) 、仲琦 (2419) 等群起攻之；記憶體模組廠上半年持續受惠記憶體價格向上，創見 (2451) 、威剛 (3260) 樂觀看待第一季營運表現，加上高股利題材吸引買盤追捧，創見樂登百元、威剛一度亮燈漲停。
2017-03-20T03:09:00.000Z,截至10時50分，加權股價指數上漲1.52點、為9910.21點、成交值新台幣452.18億元，台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 雖小幅回檔，但次族群表現搶眼，例如網通就由友訊 (2332) 帶頭，明泰 (3380) 跟進，包括台揚 (2314) 、智邦 (2345) 及光通訊華星光 (4979) 、波若威 (3163) 全面上攻。
2017-03-28T07:01:00.000Z,網通股在高股利政策催化下續扮領漲指標，中磊 (5388) 、仲琦 (2419) 同步勁揚，去年第4季轉盈的友訊 (2332) 則大漲5%，光通訊族群波若威 (3163) 延續多頭行情收高2%，宏達電 (2498) Vive X加速器全球動起來，激勵股價一度觸及80元。
