PublishDate,Sentence
2017-05-22T08:17:00.000Z,（中央社記者田裕斌台北2017年5月22日電）神準科技 (3558) 今天召開法人說明會，董事長蔡文河表示，今年業績成長來源工業電腦及網路通訊產品，長距離通訊設備雖呈現衰退，但毛利率比台積電 (2330) 還高。
2017-05-22T08:17:00.000Z,蔡文河說，過去長距離通訊設備曾經是神準營收主力，但近年來手機普及率高，長距離電話機、對講機的需求遭到取代；不過，神準不會放棄具有技術門檻的長距離通訊設備產品，並尋求與其他廠商合作的機會。
2017-05-22T08:17:00.000Z,神準今年第1季合併營收17.35億元、季增5%、年增2.7%，毛利率受到新台幣匯率及自有品牌產品出清庫存下，降至23.7%，稅後純益1.04億元、每股稅後純益(EPS) 1.95元，蔡文河說，第1季光是匯損就有4500萬元左右，侵蝕每股獲利約0.9元。
2017-05-22T08:17:00.000Z,蔡文河表示，神準過去以通訊產品為主，近年陸續切入工業電腦、周邊零組件等新市場，並多有斬獲，其中，工業電腦已開始接單，固定客戶約2至3個，明年還有新增機會，周邊零組件則包括天線、電源供應器都有相當規模的產能，除了滿足自製網通產品使用外，還有機會外銷。
2017-08-15T07:06:00.000Z,　盤面上，蘋概股三巨頭大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 扮多頭先鋒，帶動面板雙虎友達 (2409) 、群創 (3481) 以及Q2繳佳績的觸控族群GIS-KY (6456) 、TPK-KY (3673) 閃閃發光；網通股H2營運看俏，聯亞 (3081) 、眾達-KY (4977) 強勢領漲，引領合勤控 (3704) 、神準 (3558) 、智邦 (2345) 、仲琦 (2419) 、譁裕 (3419) 等聯袂勁揚。
2017-09-07T06:33:00.000Z,  電子族群資金輪動快速，今太陽能族群相當吸金，受惠新閣揆賴清德即將上任，市場看好太陽能類股可望受惠，加上族群轉盈題材發酵，綠能 (3519) 收漲近6%，昱晶 (3514) 、達能 (3686) 、中興電 (1513) 、益通 (3452) 等同步上揚，昱晶更在8月營收轉盈題材助威下，登上15個月新高；LED族群也為今日強勢指標之一，東貝 (2499) 大漲4%，艾笛森 (3591) 漲幅逾3%，憶聲 (3024) 、佰鴻 (3031) 等也同步走揚；網通族群則有業績股掛帥領軍，神準 (3558) 強鎖漲停。
2017-09-08T03:09:00.000Z,  8月營收績優股則有神準 (3558) 在8月營收寫下歷史新高，連續兩天拉出漲停，晶電 (2448) 8月營收衝上28個月高點，股價大漲4.5%，登逾2年波段新高。
2017-09-12T06:44:00.000Z,台北5G國際高峰會將於今起一連兩天登場，本次會議邀請多家國際一線電信營運商、設備及晶片商等與會，今網通廠獲得多頭青睞，盤中中磊 (5388) 大漲7.5%，正文 (4906) 漲幅達4%，神準 (3558) 、友訊 (2332) 等亦持穩上漲3.5%。
2019-01-21T03:01:00.000Z,在多單個股上，綠能 (3519) 、迅杰 (6243) 、神準 (3558) 、金雨 (4503) 等盤中都站上漲停價。
2019-01-21T02:06:00.000Z, 16.神準 (3558) ：迎換機潮，獲利喊衝，早盤彈高6%，攻上1個月高點。
