PublishDate,Sentence
2017-03-30T00:59:00.000Z,※弱勢股：以個別修正或漲多拉回為主，諸如廣達 (2382) 、潤泰全 (2915) 、榮成 (1909) 、耕興 (6146) 、凌華 (6166) 、聯光通 (4903) 、光洋科 (1785) 、楠梓電 (2316) 等。
2018-01-29T01:45:00.000Z,  9.聯光通 (4903) ：獲買盤點火，早盤反彈近5%，站回月線。
2019-01-03T01:55:00.000Z, 15.聯光通 (4903) ：5G概念股不甩大盤下挫，今日攻勢依然猛烈，聯光通早盤強攻漲停板，躍上半年線。
2019-01-03T01:55:00.000Z, 15.聯光通 (4903) ：5G概念股不甩大盤下挫，今日攻勢依然猛烈，聯光通早盤強攻漲停板，躍上半年線。
2019-01-25T07:06:00.000Z,5G族群攻勢再起，聯光通 (4903) 、雙鴻 (3324) 、智易 (3596) 、上詮 (3363) 人氣轉強。
2019-01-25T02:11:00.000Z, 23.聯光通 (4903) ：近日獲外資天天買超，早盤價量齊揚上攻4%，穩在高檔。
2019-01-28T07:03:00.000Z,美國政府重開大門，美股短多重振旗鼓，台股年前紅包行情發燒，今日在台積電 (2330) 衝上今年新高229.5元激勵下，使加權股價指數甫開市即登上萬點大關，包括蘋概股康控-KY (4943) 、GIS-KY (6456) 雙雙大漲，5G概念股百一 (6152) 、上詮 (3363) 、聯光通 (4903) 、新復興 (4909) 和聯亞 (3081) 等群起攻之，工具機亞德客-KY (1590) 、直得 (1597) 及上銀 (2049) 亦聯袂攻高，推助盤中指數一度衝上10020點，惟萬點之上套牢賣壓沈重，多空在萬點附近展開攻防，終場加權股價指數上漲43.72點為10013.33點，成交值縮至926.09億元。
2019-01-28T07:03:00.000Z,　狗年封關倒數三日，台股受到美股勁揚鼓舞，今日由台積電 (2330) 掛帥領軍蘋概股鴻海 (2317) 及康控-KY (4943) 、GIS-KY (6456) 、欣興 (3037) 聯袂走揚，宏達電 (2498) 有賴5G、VR、區塊鏈題材加持，股價彈升8%飛越月線之上，帶動5G概念股百一 (6152) 、詮 (3363) 、聯光通 (4903) 、新復興 (4909) 、聯亞 (3081) 歡聲雷動。
2019-10-18T02:44:00.000Z, 今盤面資金明顯流向低位階、落後補漲的中小型個股，受惠5G題材，光通訊族群聯光通 (4903) 盤中躍漲停，眾達-KY (4977) 早盤一度大量大漲3%，登近半年新高後，盤中漲幅快速收斂，壓回平盤附近，網通股明泰 (3380) 明年營運拚反轉，今價量齊揚走高2%，登上1個月波段高點；任天堂Switch消費傳出捷報，在日本市場9月銷售量翻4倍，原相 (3227) 今開高走高，大漲約3.5%，創近3個月的波段新高，旺宏 (2337) 亦持穩上揚0.5%~1%。
2019-11-05T02:14:00.000Z, 32.聯光通 (4903) ：買盤點火，股價急彈5%，強登8個月高峰。
