PublishDate,Sentence
2017-06-03T06:37:00.000Z,今天補上班，台股是全球唯一交易市場，不過，儘管外資放假，致使權值股如：台積電 (2330) 、大立光 (3008) 等今天多處於休息狀態，但美國股市連兩日創下歷史新高，激勵以內資買盤為主的中小型股及低價股，包括皇普 (2528) 、高野 (2736) 、森田 (8410) 、豪展 (4735) 、柏文 (8462) 、安心 (1259) 、前鼎 (4908) 、勁永 (6145) 、安可 (3615) 、寒舍 (2739) 、長天 (3431) 、新天地 (8940) 等以漲停板作收，營運看俏及買盤力挺的毅嘉 (2402) 、乙盛-KY (5243) 、義隆電 (2458) 、直得 (1597) 及松上 (6156) 等亦強勢收高，讓今天櫃買指數表現優於加權指數。
2017-06-03T06:37:00.000Z,今天補上班，台股是全球唯一交易市場，不過，儘管外資放假，致使權值股如：台積電 (2330) 、大立光 (3008) 等今天多處於休息狀態，但美國股市連兩日創下歷史新高，激勵以內資買盤為主的中小型股及低價股，包括皇普 (2528) 、高野 (2736) 、森田 (8410) 、豪展 (4735) 、柏文 (8462) 、安心 (1259) 、前鼎 (4908) 、勁永 (6145) 、安可 (3615) 、寒舍 (2739) 、長天 (3431) 、新天地 (8940) 等以漲停板作收，營運看俏及買盤力挺的毅嘉 (2402) 、乙盛-KY (5243) 、義隆電 (2458) 、直得 (1597) 及松上 (6156) 等亦強勢收高，讓今天櫃買指數表現優於加權指數。
2019-01-03T01:55:00.000Z, 16.前鼎 (4908) ：5G題材加持，早盤急攻漲停，衝上5個月高點。
2019-01-03T01:55:00.000Z, 16.前鼎 (4908) ：5G題材加持，早盤急攻漲停，衝上5個月高點。
2019-01-15T07:07:00.000Z,　鴻海 (2317) 今日扮演多方領頭羊，郭董近2月加碼持股達3萬張，激勵股價重登70元，雙王大立光 (3008) 、台積電 (2330) 尾盤在買單拉抬下翻紅收高；5G題材股重新點火，聯亞 (3081) 、智邦 (2345) 、光環 (3234) 、華星光 (4979) 、前鼎 (4908) 、波若威 (3163) 、智易 (3596) 強強滾；工具機族群在上銀 (2049) 領漲下攻勢再起，直得 (1597) 、全球傳動 (4540) 攻上漲停，工具機鑄件廠大詠城 (4538) 上櫃首日大漲43%，蜜月行情強悍。
2019-02-21T07:05:00.000Z,5G概念股受到MWC即將開展激勵，華星光 (4979) 、統新 (6426) 、前鼎 (4908) 滿面紅光。
2019-10-16T02:02:17.000Z,"
22.前鼎 (4908) ：延續昨日強攻漲停氣勢，早盤續衝高7%，攻上4年半高點。"
2019-10-16T02:02:00.000Z, 22.前鼎 (4908) ：延續昨日強攻漲停氣勢，早盤續衝高7%，攻上4年半高點。
2019-10-21T06:42:29.000Z,受台積電 (2330) 弱勢拖累，今天台股指數幾乎是悶整場，一直處在平盤下游走，不過中小型股及傳產股強出頭，大洋 (1321) 、華電 (1603) 、歐買尬 (3687) 、中環 (2323) 、前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 及藍天 (2362) 等股價以漲停作收，亞翔 (6139) 、環球晶 (6488) 及漢磊 (3707) 收高，加上—大立光 (3008) 及玉晶光 (3406) 轉強收紅，讓台股指數無畏台積弱勢及外資報告力挺的國巨 (2327) 等被動元件個股股價開高走低，在尾盤時擺尾收高，終場加權股價指數為11184.15點，小漲3.93點，成交量1017.61億元；OTC指數為143.24點，上漲0.43點，成交量375.39億元。
2019-10-21T06:42:00.000Z,受台積電 (2330) 弱勢拖累，今天台股指數幾乎是悶整場，一直處在平盤下游走，不過中小型股及傳產股強出頭，大洋 (1321) 、華電 (1603) 、歐買尬 (3687) 、中環 (2323) 、前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 及藍天 (2362) 等股價以漲停作收，亞翔 (6139) 、環球晶 (6488) 及漢磊 (3707) 收高，加上—大立光 (3008) 及玉晶光 (3406) 轉強收紅，讓台股指數無畏台積弱勢及外資報告力挺的國巨 (2327) 等被動元件個股股價開高走低，在尾盤時擺尾收高，終場加權股價指數為11184.15點，小漲3.93點，成交量1017.61億元；OTC指數為143.24點，上漲0.43點，成交量375.39億元。
2019-10-21T03:54:07.000Z,大陸經濟數據不佳，上週五美股指數收黑，上週舉行法說會釋出樂觀訊息的台積電也因費城半導體指數收低，連兩天走跌，亦讓今天台股指數上攻無力，不過，台積電上調2020年資本支出，供應商樂透，加上台商回流資金效應，營建資產股持續成為盤面主流，資金轉戰相關個股，盤中前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 股價漲停，迅得 (6438) 、亞翔 (6139) 、環球晶 (6488) 大漲，搭配股王—大立光 (3008) 在中場過後轉強，撐住台股指數在平盤附近震盪。
2019-10-21T03:54:00.000Z,大陸經濟數據不佳，上週五美股指數收黑，上週舉行法說會釋出樂觀訊息的台積電也因費城半導體指數收低，連兩天走跌，亦讓今天台股指數上攻無力，不過，台積電上調2020年資本支出，供應商樂透，加上台商回流資金效應，營建資產股持續成為盤面主流，資金轉戰相關個股，盤中前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 股價漲停，迅得 (6438) 、亞翔 (6139) 、環球晶 (6488) 大漲，搭配股王—大立光 (3008) 在中場過後轉強，撐住台股指數在平盤附近震盪。
2019-10-28T06:37:53.000Z,"
上周創下29年半來新高的台股這兩個交易日遭逢獲利了結賣壓，帶頭攻高的台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 及蘋果概念股股價因漲多進入整理，資金轉戰第4季營運看俏的穩懋 (3105) 、聯茂 (6213) 等中小型股，穩懋挾營運展望樂觀利多，今天盤中股價創下掛牌新高價，全新 (2455) 及宏捷科 (8086) 跟漲收紅，5G「錢景」看俏，健策 (3653) 、前鼎 (4908) 、光環 (3234) 攻高漲停，聯嘉 (6288) 、撼訊 (6150) 、地心引力 (3629) 、定穎 (6251) 、聚積 (3527) 以漲停板作收，搭配矽晶圓的環球晶 (6488) 等續強，讓台股重回11300點，終場加權股價指數為11315.02點，上漲18.9點，成交量1126.22億元；OTC指數為145.32點，上漲1.2點，成交量434.23億元。"
2019-10-28T06:37:00.000Z,　上周創下29年半來新高的台股這兩個交易日遭逢獲利了結賣壓，帶頭攻高的台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 及蘋果概念股股價因漲多進入整理，資金轉戰第4季營運看俏的穩懋 (3105) 、聯茂 (6213) 等中小型股，穩懋挾營運展望樂觀利多，今天盤中股價創下掛牌新高價，全新 (2455) 及宏捷科 (8086) 跟漲收紅，5G「錢景」看俏，健策 (3653) 、前鼎 (4908) 、光環 (3234) 攻高漲停，聯嘉 (6288) 、撼訊 (6150) 、地心引力 (3629) 、定穎 (6251) 、聚積 (3527) 以漲停板作收，搭配矽晶圓的環球晶 (6488) 等續強，讓台股重回11300點，終場加權股價指數為11315.02點，上漲18.9點，成交量1126.22億元；OTC指數為145.32點，上漲1.2點，成交量434.23億元。
2019-11-18T06:30:00.000Z,部分個股開高收低，IC設備廠弘塑 (3131) 開高震盪收低，早盤來到240.5元，但收在217.5元，下跌2.25%；光通訊廠前鼎 (4908) 早盤開高來到52.3元，大漲5.44%，但收在47.8元，下跌3.63%。
2019-12-02T01:52:00.000Z, 31.前鼎 (4908) ：早盤獲買盤進駐，股價放量走揚3%，強攻60元及9年半高峰。
2019-12-04T07:05:00.000Z,網通股在5G題材烘托下相對撐盤，由11月營收登峰的其陽 (3564) 亮燈漲停助威，引領聯亞 (3081) 、統新 (6426) 、前鼎 (4908) 、盛達 (3027) 、華冠 (8101) 聯袂勁彈。
