PublishDate,Sentence
2019-01-28T07:03:00.000Z,美國政府重開大門，美股短多重振旗鼓，台股年前紅包行情發燒，今日在台積電 (2330) 衝上今年新高229.5元激勵下，使加權股價指數甫開市即登上萬點大關，包括蘋概股康控-KY (4943) 、GIS-KY (6456) 雙雙大漲，5G概念股百一 (6152) 、上詮 (3363) 、聯光通 (4903) 、新復興 (4909) 和聯亞 (3081) 等群起攻之，工具機亞德客-KY (1590) 、直得 (1597) 及上銀 (2049) 亦聯袂攻高，推助盤中指數一度衝上10020點，惟萬點之上套牢賣壓沈重，多空在萬點附近展開攻防，終場加權股價指數上漲43.72點為10013.33點，成交值縮至926.09億元。
2019-01-28T07:03:00.000Z,　狗年封關倒數三日，台股受到美股勁揚鼓舞，今日由台積電 (2330) 掛帥領軍蘋概股鴻海 (2317) 及康控-KY (4943) 、GIS-KY (6456) 、欣興 (3037) 聯袂走揚，宏達電 (2498) 有賴5G、VR、區塊鏈題材加持，股價彈升8%飛越月線之上，帶動5G概念股百一 (6152) 、詮 (3363) 、聯光通 (4903) 、新復興 (4909) 、聯亞 (3081) 歡聲雷動。
2019-01-28T02:12:00.000Z, 15.新復興 (4909) ：上周五獲外資翻多買超，早盤一度爆量攻頂，衝上逾2年高峰。
2019-03-04T07:04:00.000Z,MWC落幕，顯示2019年5G當道，相關概念股也持續熱燒，包括新復興 (4909) 、亞電 (4939) 、明泰 (3380) 等都逆揚超過2~3%，正文 (4906) 、宏碁 (2353) 、穩懋 (3105) 等聯袂漲逾1%。
2019-03-04T07:04:00.000Z,MWC落幕，顯示2019年5G當道，相關概念股也持續熱燒，包括新復興 (4909) 、亞電 (4939) 、明泰 (3380) 等都逆揚超過2~3%，正文 (4906) 、宏碁 (2353) 、穩懋 (3105) 等聯袂漲逾1%。
2019-04-01T06:45:00.000Z,全球股市多頭氣盛，讓今天台股早盤因鴻海 (2317) 跳空大漲，以及光學元件個股—玉晶光 (3406) 等強攻帶動下，指數以高盤開出，盤中更因玉晶光 (3406) 、新復興 (4909) 、精測 (6510) 、興采 (4433) 、星通 (3025) 、盛達 (3027) 、倉和 (6538) 強攻漲停板，以及華通 (2313) 、欣興 (3037) 、康控-KY (4943) 、環球晶 (6488) 及智邦 (2345) 等股價走高，帶動盤中指數一度站上10700點。
2019-04-02T02:24:00.000Z, 27.新復興 (4909) ：5G題材點火，PCB族群漲勢凌厲，早盤跳空大漲逾5%，衝上3年高峰。
2019-04-01T06:45:00.000Z,全球股市多頭氣盛，讓今天台股早盤因鴻海 (2317) 跳空大漲，以及光學元件個股—玉晶光 (3406) 等強攻帶動下，指數以高盤開出，盤中更因玉晶光 (3406) 、新復興 (4909) 、精測 (6510) 、興采 (4433) 、星通 (3025) 、盛達 (3027) 、倉和 (6538) 強攻漲停板，以及華通 (2313) 、欣興 (3037) 、康控-KY (4943) 、環球晶 (6488) 及智邦 (2345) 等股價走高，帶動盤中指數一度站上10700點。
2019-04-02T02:24:00.000Z, 27.新復興 (4909) ：5G題材點火，PCB族群漲勢凌厲，早盤跳空大漲逾5%，衝上3年高峰。
2020-03-11T07:07:00.000Z,印刷電路板低價族群表現有撐，金像電 (2368) 盤中觸漲停，新復興 (4909) 、凱崴 (5498) 、霖宏 (5464) 強守紅盤。
