PublishDate,Sentence
2017-02-03T06:05:00.000Z,  在題材行情當道下，櫃買市場漲幅近期普遍勝過集中市場，今日盤中櫃買指數更一度創下波段新高，光通訊族群今日接棒多頭演出，華星光 (4979) 、光環 (3234) 攻頂漲停，族群股王聯亞 (3081) 也在董監事改選題材下，引發軋空行情，股價大漲逾4%，台通 (8011) 、波若威 (3163) 也大漲約4.5%。
2017-02-03T06:05:00.000Z,  在題材行情當道下，櫃買市場漲幅近期普遍勝過集中市場，今日盤中櫃買指數更一度創下波段新高，光通訊族群今日接棒多頭演出，華星光 (4979) 、光環 (3234) 攻頂漲停，族群股王聯亞 (3081) 也在董監事改選題材下，引發軋空行情，股價大漲逾4%，台通 (8011) 、波若威 (3163) 也大漲約4.5%。
2017-02-06T03:02:00.000Z,  光通訊股王聯亞光 (3081) 今年將會進行董監事改選，近期走勢明顯轉強，不過上周券資比47.44%，尚未看出軋空力道，今日股價一度回跌逾4%，拖累光環 (3234) 盤中翻黑，華星光 (4979) 也在早盤開高後，漲幅迅速收斂，僅小幅上漲約1%。
2017-03-03T06:00:00.000Z,  盤面今在題材、業績等族群較有發揮，光學概念股表現強勢，包括今國光 (6209) 、華晶科 (3059) 、新鉅科 (3630) 等營運前景樂觀，今日成為電子股抗跌族群，另外，光通訊族群也逆勢走強，展望2017年拚谷底翻轉下，統新 (6426) 大漲8%，眾達-KY (4977) 漲幅逾4%，波若威 (3163) 勁揚3%，光環 (3234) 、華星光 (4979) 漲幅也在1.5%附近跳動，另外，網通股智邦 (2345) 收盤也大漲逾6%。
2017-03-03T06:00:00.000Z,  盤面今在題材、業績等族群較有發揮，光學概念股表現強勢，包括今國光 (6209) 、華晶科 (3059) 、新鉅科 (3630) 等營運前景樂觀，今日成為電子股抗跌族群，另外，光通訊族群也逆勢走強，展望2017年拚谷底翻轉下，統新 (6426) 大漲8%，眾達-KY (4977) 漲幅逾4%，波若威 (3163) 勁揚3%，光環 (3234) 、華星光 (4979) 漲幅也在1.5%附近跳動，另外，網通股智邦 (2345) 收盤也大漲逾6%。
2017-03-17T00:59:00.000Z,3.光通訊個股表現，統新 (6426) 、華星光 (4979) 、上詮 (3363) 、康聯訊 (3672) 等上漲。
2017-03-20T03:09:00.000Z,截至10時50分，加權股價指數上漲1.52點、為9910.21點、成交值新台幣452.18億元，台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 雖小幅回檔，但次族群表現搶眼，例如網通就由友訊 (2332) 帶頭，明泰 (3380) 跟進，包括台揚 (2314) 、智邦 (2345) 及光通訊華星光 (4979) 、波若威 (3163) 全面上攻。
2017-04-06T07:05:00.000Z,　股王大立光 (3008) 看淡4月營收衝擊市場信心，股價應聲重挫4%，拖累光學元件族群玉晶光 (3406) 摔落300元，亞光 (3019) 及新鉅科 (3630) 同步走弱，僅先進光 (3362) 逆勢走高；權值股台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、華碩 (2357) 等全面壓回修正；環球晶 (6488) 及合晶 (6182) 受惠矽晶圓價格上漲，帶動股價逆勢走揚；光通訊族群在產業前景暢旺下扮演抗跌指標，光聖 (6442) 、華星光 (4979) 聯袂勁揚。
2017-04-06T02:21:00.000Z,  台股盤面今以具題材的中小型個股相對亮眼，元太 (8069) 由黑翻紅，漲幅逾1.5%，也帶動與其有策略聯盟的振曜 (6143) 同步大漲逾5%，另外，網通族群中的光通訊概念股也在產業前景暢旺下，扮演抗跌指標之一，光聖 (6442) 大漲5.5%，華星光 (4979) 漲幅也逾4.5%，波若威 (3163) 則走揚約2%。
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。
