PublishDate,Sentence
2017-06-26T01:43:00.000Z,  5.榮群 (8034) ：買盤點火推升連兩日亮燈漲停，今一舉攻克10元票面及月線。
2019-01-11T07:12:00.000Z,另外，上月營收表現亮眼的績優股成為鎂光燈焦點，包括易威 (1799) 、榮群 (8034) 、晶心科 (6533) 、晶彩科 (3535) 亮燈漲停，百和 (9938) 、德昌 (5511) 、漢唐 (2404) 緊跟在後。
2019-01-11T02:04:00.000Z, 20.榮群 (8034) ：上月營收為1.35億元，年增57.91%，早盤一度亮燈漲停，改寫4個月新高價。
2019-04-25T02:03:00.000Z, 28.榮群 (8034) ：多頭發動快攻，早盤急拉大漲9%，差一檔攻上漲停，站上11個月高點。
2019-12-23T06:57:00.000Z,上週除息後股價表現不佳的台積電 (2330) 終於在今天回神，穩住台股多頭信心，在台積電止跌反彈帶動下，今天台股指數以平高盤開出，由於外資進入聖誕節到新年長假期，盤面主流轉由投信及內資力挺的個股為主，中低價個股如：基勝-KY (8427) 、台南-KY (5906) 、愛地雅 (8933) 、金利 (5383) 、欣普羅 (6560) 、大東 (1441) 、榮群 (8034) 及菱生 (2369) 股價以漲停板作收，早盤強攻的散熱族群如：超眾 (6230) 、雙鴻 (3324) 只演了半場好戲，僅健策 (3653) 股價相對強勢，亞光 (3019) 盤中股價漲停未能鎖住，儘管股王—大立光 (3008) 弱勢收低，但在台積電擺尾收高下，台股指數順利站回12000點。
2019-12-23T03:33:00.000Z,　在外資進入聖誕節到元旦休假期間下，盤面主流轉由投信內資力挺的個股為主，散熱族群、中低價光學股持續成為盤面焦點，超眾 (6230) 、雙鴻 (3324) 及健策股價續強，亞光 (3019) 盤中股價漲停，中低價個股如：基勝-KY (8427) 、台南-KY (5906) 、愛地雅 (8933) 、金利 (5383) 、榮群 (8034) 及菱生 (2369) 盤中股價漲停，威盛 (2388) 、群聯 (8299) 、惠特 (6706) 、潤泰新 (9945) 盤中股價走高，不過中場過後，股王—大立光 (3008) 跌勢擴大，失守5000元及4900元關卡，壓抑台股指數表現，截至11點20分為止，加權股價指數為11978.52點，上漲19.44點，成交量635.12億元；OTC指數為147.09點，上漲0.17點，成交量169.17億元。
2019-12-23T02:16:08.000Z,"
29.榮群 (8034) ：Q4業績顯著回溫，激勵股價連兩日亮燈漲停，來到逾1年半高峰。"
2019-12-23T02:16:00.000Z, 29.榮群 (8034) ：Q4業績顯著回溫，激勵股價連兩日亮燈漲停，來到逾1年半高峰。
2019-12-24T02:11:00.000Z, 20.榮群 (8034) ：Q4業績加溫，今日拉出第3根漲停後打開，盤中漲約8%，成交量放大至逾6000張。
2021-07-16T01:44:00.000Z,台股昨（15）日在電子、航運兩大類股助威下，指數開高走高，終場大漲188.44點，收在18034.19點，刷新歷史新高紀錄。
2021-08-16T05:56:20.000Z,華冠投顧分析師白易弘表示，大盤從高點18034點下跌到半年線附近，短線應有機會止跌，今天半年報將公布完畢，半年賺贏去年一整年的個股不少，還有三率三升個股也蠻多，這次半年報整體表現優於往年，有助於台股後續表現。
2021-11-12T05:44:16.000Z,台灣10月出口首破400億美金連16紅，創下金融海嘯過後最長上升期，月線已穿過季線而上，台股基本面、技術面都沒有問題，接下來前波高點17633至18034均量為5000~6000億，以目前平均3500的量尚缺臨門一腳，權值股台積電(2330-TW)、聯電(2303-TW)、聯發科(2454-TW)若能持續吸引外資回流，則有利於指數上攻。
