PublishDate,Sentence
2017-01-05T07:03:00.000Z,  造紙股受報價上漲激勵下，全面爆量上攻，正隆 (1904) 、永豐餘 (1907) 漲停領軍，華紙 (1905) 大漲7%、榮成 (1909) 飆升逾5%，類股指數收高6.9%，成為台股今日最強勢類股，並創下近28個月新高。
2017-01-05T06:10:00.000Z,傳產股中仍以漲價題材帶動造紙股勁揚，正隆 (1904) 、永豐餘 (1907) 均帶量收在漲停價；另外油電、生技、觀光等類股漲幅均逾1.3%。
2017-01-05T03:20:00.000Z,造紙類股從正隆 (1904) 開出工紙漲價的第一槍後，其餘紙廠也將跟進，帶動造紙類股漲幅高達7.6%；其餘生技股、油電股、電機股、光電股等漲勢明顯。
2017-01-06T08:26:00.000Z,成交量前10名個股依次為：群創 (3481) 、友達 (2409) 、彩晶 (6116) 、榮成 (1909) 、元大滬深300正2（00637L）、聯電 (2303) 、永豐餘 (1907) 、正隆 (1904) 、元大台灣50反1（00632R）、旺宏 (2337) 。
2017-01-06T05:53:00.000Z,台股今天盤面上以造紙股表現最為強勢，包括榮成 (1909) 、寶隆 (1906) 亮燈漲停，分別為20.25元、19.45元；正隆 (1904) 、永豐餘 (1907) 漲幅分別達3.74%、4.65%。
2017-01-09T06:38:00.000Z,  不過大立光漲多後，逢高獲利了結賣壓出籠，中場過後，股價急轉直下由紅翻黑，一度失守4000元關卡，台積電 (2330) 及近期強勢的個股如：金居 (8358) 、岳豐 (6220) 及玉晶光 (3406) 等走弱，飛宏 (2457) 等更被打至跌停板，影響多頭追價意願，上週大漲的造紙類股，雖然仍有寶隆 (1906) 及榮成 (1909) 續強，但台紙 (1902) 、正隆 (1904) 等走跌，而拖累造紙類股指數下挫，多頭在群龍無首下，退守5日線，終場加權股價指數為9342.42點，下跌29.8點，成交量為638.48億元；OTC指數為125.59點，下跌1.02點，成交量為220.08億元。
2017-01-09T04:19:00.000Z,  美股川普行情未退燒，上週五美國道瓊工業指數股再度挑戰2萬點，雖然未能攻克，但道瓊工業指數、Nasdaq指數及費城半導體指數等收高，讓台股以紅盤開出，上週站上4145元台股新天價的股王-大立光 (3008) 早盤亦續強，盤中一度攻抵4245元，再創台股新天價，去年第4季業績表現不俗的超眾 (6230) 盤中亦強攻漲停板，帶動雙鴻 (3324) 等散熱股走高，去年12月合併營收創新高的興勤 (2428) 等股價亦轉強，但逢高獲利了結賣壓出籠，大立光盤中股價由紅翻黑，直接回測4000元關卡，台積電 (2330) 及近期強勢的個股如：金居 (8358) 、岳豐 (6220) 等走弱，上漲大漲的造紙類股，亦因台紙 (1902) 、正隆 (1904) 等走跌而下挫，在大立光領頭下殺下，台股指數由紅翻黑，失守9350點，截至110點35分，加權股價指數為9347.45點，下跌24.77點，成交量為426.83億元；OTC指數為125.82點，下跌0.79點，成交量為157.21億元。
2017-01-20T07:15:00.000Z,  綜觀族群表現，造紙股因首季淡季營運不看淡，再成買盤寵兒，台紙 (1902) 、寶隆 (1906) 上攻漲停領軍，榮成 (1909) 、正隆 (1904) 跟著大漲，個股齊紅帶動造紙類股指數勁揚3.75%，盤中創下近5年半新高。
2017-01-20T06:29:00.000Z,傳產的造紙及塑化股則是受惠於漲價題材持續發酵，台紙、寶隆聯袂漲停，士紙、正隆、華紙、永豐餘、榮成也全面走揚。
2017-01-20T06:25:00.000Z,  傳產股今日就屬造紙股最為亮眼，台紙 (1902) 因驚傳經營內訌，獲買盤敲進，收在漲停，也帶動同類股的寶隆同步漲停，榮成 (1909) 、正隆 (1904) 、華紙 (1905) 、永豐餘 (1907) 等也應聲喊漲，終場類股指數收漲3.75%。
2017-01-20T03:06:00.000Z,  今日盤面中，造紙類股漲幅居冠，台紙 (1902) 驚傳經營內訌，監察人擬召開股東臨時會，討論解任董事長兼董事簡鴻文職務，台紙在買盤敲進下，攻上漲停，也帶動同類股的寶隆 (1906) 大漲逾7%，榮成 (1909) 、正隆 (1904) 、華紙 (1905) 、永豐餘 (1907) 等全數走揚，類股漲幅一度逾4.5%。
2017-02-09T06:57:00.000Z,另一方面，傳產原物料族群強勢走揚，造紙股領漲，寶隆 (1906) 、榮成 (1909) 攻上漲停，正隆 (1904) 、台紙 (1902) 、永豐餘 (1907) 攜手向上，電金傳皆有表現，台股盤中站上9600點，寫下20個月新高，終場台股收漲46.93點，為9590.18點。
2017-02-09T03:04:00.000Z,  傳產原物料族群今也強勢走揚，造紙、食品、紡織領漲，其中又以造紙股最為強悍，寶隆 (1906) 、榮成 (1909) 攻上漲停，正隆 (1904) 大漲近4%，台紙 (1902) 、永豐餘 (1907) 漲幅也達2.5%~3%。
2017-02-21T07:09:00.000Z,傳產股表現相對強勢，造紙股受惠國際紙漿、廢紙等原物料報價漲勢未歇，今日由華紙 (1905) 強勢漲停領軍，永豐餘 (1907) 、榮成 (1909) 、正隆 (1904) 等聯袂齊揚，推升類股指數大漲3.85%，盤面最火紅；倫敦銅價周一盤中回升至每公噸6000美元以上，激勵相關概念股走高，第一銅 (2009) 強鎖漲停、華榮 (1608) 觸頂，華新 (1605) 及大亞 (1609) 跟進大漲。
2017-02-21T02:39:00.000Z,  盤面上，1月智利森林大火引爆國際紙漿帶頭走揚，導致全球紙漿供應短時間內趨緊，華紙 (1905) 宣布3月起調高售價，早盤股價攻漲停板10.95元，帶動永豐餘 (1907) 、榮成 (1909) 、正隆 (1904) 等聯袂齊揚，一開盤類股指數即飆漲逾4%，成為今日台股多頭大前鋒。
2017-03-03T07:21:00.000Z,  盤面上，國內工紙大廠正隆 （1904） 宣布4月再調漲工紙報價，今日開盤後急拉漲停16.05元鎖死、創逾9年半新高，成交量爆量2.7萬餘張，激勵造紙族群全面放量開攻，寶隆 （1906） 衝上漲停價31.65元，台紙 （1902） 、華紙 （1905） 、永豐餘 （1907） 、榮成 （1909） 等齊漲逾3%，盤中造紙類指一度飆升逾6％至240.58點，創2000年2月以來17年新高。
2017-03-03T07:11:00.000Z,  造紙股堪稱今日盤面最聚焦族群，正隆 (1904) 宣布，自4月起再度調漲每噸工紙價格1500元，幅度與1月首次調漲的12～15％相當，今股價直接衝上漲停，帶動類股同步歡慶，寶隆 (1906) 大漲8.5%，華紙 (1905) 漲幅也逾7%，台紙 (1902) 、永豐餘 (1907) 、榮成 (1909) 等皆順勢大漲，類股指數一度大漲近5.5%。
2017-03-03T06:00:00.000Z,  傳產股方面，造紙股為強勢多頭指標，正隆 (1904) 宣布4月再調漲工紙報價，緩解營運成本壓力，今日鎖住16.05元漲停價，創逾9年半新高，類股全面喊漲，寶隆 (1909) 同步漲停，台紙 (1903) 、華紙 (1905) 、永豐餘 (1907) 勁揚逾5%，造紙類股指數一度飆升逾6%，創2000年2月以來17年新高。
2017-03-03T07:21:00.000Z,  盤面上，國內工紙大廠正隆 （1904） 宣布4月再調漲工紙報價，今日開盤後急拉漲停16.05元鎖死、創逾9年半新高，成交量爆量2.7萬餘張，激勵造紙族群全面放量開攻，寶隆 （1906） 衝上漲停價31.65元，台紙 （1902） 、華紙 （1905） 、永豐餘 （1907） 、榮成 （1909） 等齊漲逾3%，盤中造紙類指一度飆升逾6％至240.58點，創2000年2月以來17年新高。
2017-03-03T07:11:00.000Z,  造紙股堪稱今日盤面最聚焦族群，正隆 (1904) 宣布，自4月起再度調漲每噸工紙價格1500元，幅度與1月首次調漲的12～15％相當，今股價直接衝上漲停，帶動類股同步歡慶，寶隆 (1906) 大漲8.5%，華紙 (1905) 漲幅也逾7%，台紙 (1902) 、永豐餘 (1907) 、榮成 (1909) 等皆順勢大漲，類股指數一度大漲近5.5%。
2017-03-03T06:00:00.000Z,  傳產股方面，造紙股為強勢多頭指標，正隆 (1904) 宣布4月再調漲工紙報價，緩解營運成本壓力，今日鎖住16.05元漲停價，創逾9年半新高，類股全面喊漲，寶隆 (1909) 同步漲停，台紙 (1903) 、華紙 (1905) 、永豐餘 (1907) 勁揚逾5%，造紙類股指數一度飆升逾6%，創2000年2月以來17年新高。
2017-03-07T02:48:00.000Z,傳產類股方面，造紙族群今天強漲3%，華紙 (1905) 一度觸及漲停12.85元；正隆 (1904) 將調漲工業用紙價格，漲幅近3%。
2017-03-09T07:06:00.000Z,造紙股今天出現近期最重的跌勢，其中寶隆大跌逾 7%，榮成、正隆及華紙也跌逾 2%，台紙、士紙、永豐餘等跌勢雖然稍輕，但也超過 1%。
