PublishDate,Sentence,Score
2018-04-11T07:12:00.000Z,金融股由國泰金 (2882) 、玉山金 (2884) 、中信金 (2891) 以及新光金 (2888) 領軍帶動走高。,3
2018-04-11T06:48:00.000Z,  另外，大型金控國泰金 (2882) 、富邦金 (2881) 獲利表現佳，以及新光金 (2888) 股價偏低，早盤帶量走高。,3
2018-04-11T02:20:00.000Z,  另外，大型金控國泰金 (2882) 、富邦金 (2881) 獲利表現佳，以及新光金 (2888) 股價偏低，早盤帶量走高。,3
2018-04-20T10:37:00.000Z,金融股成為外資避風港，買超前3名依序為開發金 (2883) 、新光金 (2888) 、中信金 (2891) ，分別買超3.59萬張、3.48萬張、1.86萬張；玉山金 (2884) 、永豐金 (2890) 、元大金 (2885) 、臺企銀 (2834) 也獲青睞，分別買超9421張、7228張、6324張、6123張。,4
2018-04-20T07:07:00.000Z,非電子股方面，包括水泥股亞泥 (1102) 、嘉泥 (1103) ，塑化龍頭台塑 (1301) 及造紙股榮成 (1909) 和金融股的開發金 (2883) 、玉山金 (2884) 、新光金 (2888) 等獲買盤進駐相對強勢。,4
2018-04-23T07:13:00.000Z,蘋果股價持續重挫，台股供應鏈臉色鐵青，今日在三王台積電 (2330) 、鴻海 (2317) 與大立光 (3008) 續弱下，指數一度下探10687.25點，盤面上僅被動元件族群華新科 (2492) 、日電貿 (3090) 、國巨 (2327) 及高股息股凱美 (5317) 、智寶 (2375) 、堡達 (3537) 強勢大漲，金融股開發金 (2883) 、新光金 (2888) 相對有撐，生醫股和康生 (1783) 、佐登-KY (4190) 、泰福-KY (6541) 、晟德 (4123) 聯袂漲停相對亮眼，終場加權指數下跌82.25點為10697.13點，失守10700點大關，成交值縮至1354.49億元。,2
2018-04-23T07:13:00.000Z,金融股在開發金 (2883) 、新光金 (2888) 雙雙點火下相對有撐。,2
2018-04-23T02:08:00.000Z,  19.新光金 (2888) ：今年首季獲利搶下國內金控第二名，加上大陸將放寬外資在保險業持股上限，有利營運，早盤漲近2.5%。,4
2018-04-25T07:12:00.000Z,金融股方面，聚焦獲新光金 (2888) 溢價迎娶的元富證 (2856) 爆量攻頂，新光金則拉回修正近4%。,1
2018-04-25T06:23:00.000Z,  金融股受到國際股市續挫，大型金控早盤開低，但富邦金 (2881) 翻紅；新光金 (2888) 併元富證 (2856) ，元富證漲停，新光金不漲反跌。,0
2018-04-25T02:55:00.000Z,  金融股受到國際股市續挫，大型金控國泰金 (2882) 、富邦金 (2881) 下滑；新光金 (2888) 併元富證 (2856) ，元富證漲停，但新光金不漲反跌。,-1
