PublishDate,Sentence,Score
2017-07-03T06:01:00.000Z,上演除息行情的金融股表現撐盤，富邦金 (2881) 漲0.86%、收46.85元；國泰金 (2882) 漲1.04%、收48.6元；兆豐金 (2886) 漲1.19%、收25.6元；中信金 (2891) 漲0.25%、收20元。,1
2017-07-04T05:53:00.000Z,加權股價指數終場下跌65.01點、跌幅0.62%、收在10347.78點、成交值新台幣920億元，在亞股中跌幅稍輕，主要來自於金融股的貢獻，國泰金、富邦金今天持續穩健填息腳步，明天除息的開發金 (2883) 及月中除息的元大金 (2885) 、中信金 (2891) ，近期走勢都相當強勁。,1
2017-07-03T06:01:00.000Z,上演除息行情的金融股表現撐盤，富邦金 (2881) 漲0.86%、收46.85元；國泰金 (2882) 漲1.04%、收48.6元；兆豐金 (2886) 漲1.19%、收25.6元；中信金 (2891) 漲0.25%、收20元。,1
2017-07-04T05:53:00.000Z,加權股價指數終場下跌65.01點、跌幅0.62%、收在10347.78點、成交值新台幣920億元，在亞股中跌幅稍輕，主要來自於金融股的貢獻，國泰金、富邦金今天持續穩健填息腳步，明天除息的開發金 (2883) 及月中除息的元大金 (2885) 、中信金 (2891) ，近期走勢都相當強勁。,1
2017-07-05T07:14:00.000Z,  高殖利率概念股：第一金 (2892) 、兆豐金 (2886) 、中信金 (2891) 、華碩 (2357) 和光寶科 (2301) 等。,0
2017-07-05T06:00:00.000Z,中信金 (2891) 收20.2元，小漲0.5%。,1
2017-07-05T02:41:00.000Z,金控股國泰金 (2882) 、富邦金 (2881) 、中信金 (2891) 在平盤下整理。,0
2017-07-07T02:45:00.000Z,  瑞銀證最新的台股投資組合為台積電 (2330) 、日月光 (2311) 、英業達 (2356) 、富邦金 (2881) 、中信金 (2891) 、台灣大 (3045) 。,1
2017-07-11T10:36:00.000Z,金融股也獲外資買盤加持，中信金 (2891) 買超張數達1.2萬張，國泰金 (2882) 、元大金 (2885) 、新光金 (2888) 、兆豐金 (2886) 、永豐金 (2890) 都排在今天外資買超前25名。,4
2017-07-17T06:53:00.000Z,金融股維持高檔整理，華南金 (2880) 、台新金 (2887) 、新光金 (2888) 、中信金 (2891) 相對強勢。,2
2017-07-18T07:07:00.000Z,金融股維持高檔震盪，開發金 (2883) 、兆豐金 (2886) 相對有撐，國泰金 (2882) 、中信金 (2891) 、新光金 (2888) 同步走跌。,1
2017-07-18T07:07:00.000Z,外資持續看好台股波段行情，今日在蘋果三劍客台積電、鴻海與大立光聯袂拉尾下，化解國泰金、中信金表現疲軟壓力，使台股指數收在今日最高點。,1
2017-07-18T02:35:00.000Z,金融權值股表現較弱，僅兆豐金 （2886） 持穩盤上，富邦金 （2881） 、國泰金 （2882） 、中信金 （2891） 均下跌約0.5％。,-2
2017-07-19T07:16:00.000Z,金融股擺尾收高，開發金 (2883) 在外資敲進下爆量大漲4%，中信金 (2891) 、國泰金 (2882) 齊步走高。,6
2017-07-19T06:44:00.000Z,  金融權值股今日表現回神，開發金 （2883） 在外資敲進下飆升4.3％，創逾1年半新高，中信金 （2891） 漲逾1％、國泰金 （2882） 上漲0.7％。,5
2017-07-20T07:01:00.000Z,金融股失守五日線，國泰金 (2882) 、開發金 (2883) 、台新金 (2887) 、中信金 (2891) 同步收黑。,-1
2017-07-20T02:35:00.000Z,金控股國泰金 (2882) 、富邦金 (2881) 、中信金 (2891) 在平盤下整理。,0
2017-07-24T02:56:00.000Z,截至10時40分，加權股價指數下跌8.03點、為10428.67點、成交值新台幣387.18億元，分析師表示，權值股今天持續休養生息，鴻海 (2317) 、台積電 (2330) 維持平盤附近整理，國泰金 (2882) 、富邦金 (2881) 、中信金 (2891) 更是出現回檔走勢，使得成交值恐出現6月中以來低點。,-1
2017-07-26T06:51:00.000Z,金融股同步走弱，富邦金 (2881) 、中信金 (2891) 成金控股中唯二收高的個股。,-1
2017-07-31T02:44:00.000Z,金控股國泰金 (2882) 、富邦金 (2881) 在平盤附近整理，中信金 (2891) 盤中來到19.3元，跌1%。,-1
2017-07-31T02:44:00.000Z,金控股國泰金 (2882) 、富邦金 (2881) 在平盤附近整理，中信金 (2891) 盤中來到19.3元，跌1%。,-1
