PublishDate,Sentence
2017-01-11T07:35:00.000Z,2. 金融股: 金融指數週三以上漲 1.77 點的 1089.87 點作收，持續沿 5 日線上漲，挑戰去年高點壓力區；留意: 2801 彰銀、2880 華南金、2881 富邦金、2882 國泰金、2885 元大金、2892 第一金、5880 合庫金等指標股的走勢。
2017-01-12T08:39:00.000Z,3. 金融股 2801 彰銀今年董監改選題材推升股價走強，帶動 2892 第一金、2886 兆豐金股價上漲，壽險 2881 富邦金、2882 國泰金等仍為多方指標。
2017-02-13T07:44:00.000Z,2. 金融股: 金融指數週一以上漲 2.04 點的 1103.09 點作收，指數再創新高，近期金融指數沿 5 日線補漲；可留意: 2801 彰銀、2820 華票、2855 統一證、2880 華南金、2881 富邦金、2882 國泰金、2884 玉山金、2885 元大金、2891 中信金、2892 第一金、5880 合庫金、6005 群益證等指標股的走勢。
2017-02-22T10:35:00.000Z,（中央社記者田裕斌台北 2017年2月22日電）科技業為了機台「乖乖」不當機，買包綠色乖乖放在機台上並不稀奇，台積電 (2330) 甚至曾特別訂了聯名版乖乖，彰化銀行 (2801) 也創風氣之先，送給客戶獨家的「金色」乖乖。
2017-02-22T10:35:00.000Z,不只台積電有聯名版乖乖，彰銀也有自己的獨家乖乖。
2017-02-22T10:35:00.000Z,彰銀表示，這款只送不賣的限量版「彰銀乖乖」，結合財神爺乖乖及柴寶旺旺來的卡通圖樣包裝，象徵新的一年財神到、招財進寶，祝福彰銀的客戶在今年都能「前(錢)進彰銀、年年好，事業財富、乖乖到」。
2017-02-22T10:35:00.000Z,至於為何選五香口味，彰銀也有解釋：五香口味象徵五路財神，包裝上金、銀相間，則是象徵金銀財寶滿滿，同時金色也是彰銀企業識別系統的顏色。
2017-02-23T06:27:00.000Z,  金融保險類股今日表現疲弱，元大金 (2885) 和合庫金 (5880) 終場分別下跌1.54%和1.01%，第一金 (2892) 、彰銀 (2801) 、富邦金 (2881) 和中壽 (2823) 等紛紛走跌。
2017-03-02T00:48:00.000Z,5.金融股:金融指數週三以下跌3.16點的1096.53點作收跌破月線，近期金融指數沿5日線拉回整理，未突破5日線前，將持續整理；可留意: 2801彰銀、2820華票、2834台企銀、2836高雄銀、2880華南金、2886兆豐金、2889國票金、2892第一金等指標股的走勢。
2017-03-03T07:11:00.000Z,  金融族群今開高走低，盤中僅剩彰銀 (2801) 、富邦金 (2881) 、開發金 (2883) 、永豐金 (2890) 等維持盤上狹幅震盪。
2017-03-02T00:48:00.000Z,5.金融股:金融指數週三以下跌3.16點的1096.53點作收跌破月線，近期金融指數沿5日線拉回整理，未突破5日線前，將持續整理；可留意: 2801彰銀、2820華票、2834台企銀、2836高雄銀、2880華南金、2886兆豐金、2889國票金、2892第一金等指標股的走勢。
