PublishDate,Sentence
2017-01-11T07:05:00.000Z,金融股表現平穩，台新金 (2887) 、新光金 (2888) 、國票金 (2889) 相對強勢。
2017-01-23T06:57:00.000Z,金融股炒熱封關行情，元大金 (2885) 、兆豐金 (2886) 、台新金 (2887) 齊漲1%。
2017-02-07T02:41:00.000Z,  盤面上，中信金 (2891) 昨獲自營商大舉回補買超6347張，外資賣超也見縮手，今日人氣升溫，股價穩漲約0.5%，帶動華南金 (2880) 、永豐金 (2890) 、台新金 (2887) 、開發金 (2883) 等聯袂小漲，加上旺旺保 (2816) 帶量續漲逾4%，共同支撐金融類股持穩於盤上，成為大盤穩定力量。
2017-02-16T07:02:00.000Z,金融股表現有撐，富邦金 (2881) 、國泰金 (2882) 、中信金 (2891) 、台新金 (2887) 同步收紅。
2017-02-17T06:54:00.000Z,金融股略顯疲態，富邦金 (2881) 、兆豐金 (2886) 、台新金 (2887) 跌約1%。
2017-03-02T00:48:00.000Z,10.台股高檔震盪難選股，特別股反而受關注，昨（1）日國泰金、富邦金、台新金雖然走跌，但國泰特、富邦特、台新戊特紛紛逆勢上漲，同步創發行來新高價，由於特別股相對具有穩定收益性，成為壽險資金或退休族鎖定族群之一。
2017-03-02T00:48:00.000Z,10.台股高檔震盪難選股，特別股反而受關注，昨（1）日國泰金、富邦金、台新金雖然走跌，但國泰特、富邦特、台新戊特紛紛逆勢上漲，同步創發行來新高價，由於特別股相對具有穩定收益性，成為壽險資金或退休族鎖定族群之一。
2017-03-08T04:36:00.000Z,金融股則是多頭另一火種，權值股國泰金、富邦金等，漲幅在 1% 以上，帶動新光金、京城銀、國票金、台新金、玉山金、中信金等股價也上漲 1% 以上。
2017-03-29T07:00:00.000Z,　蘋概股成為今日觀盤焦點，蘋果28日收盤股價再創歷史新高，並公布前200大供應商，雙鴻 (3324) 、晶技 (3042) 、健鼎 (3044) 歡喜入列股價跟風勁揚，帶動可成 (2474) 、和碩 (4938) 、台郡 (6269) 、玉晶光 (3406) 等同步上攻，雙王台積電 (2330) 、大立光 (3008) 則聯袂下跌；面板雙虎吹起反攻號角，群創 (3481) 、友達 (2409) 雙雙大漲，成盤面領頭羊；強勢股旺宏 (2337) 及華邦電 (2344) 雙雙大漲9%，人氣紅不讓；金融股表現相對穩健，兆豐金 (2886) 、台新金 (2887) 、新光金 (2888) 成為領先指標。
2017-03-30T07:04:00.000Z,金融股略顯疲態，國泰金 (2882) 、富邦金 (2881) 、新光金 (2888) 下挫1%領跌類股，台新金 (2887) 逆勢走揚1%相對強勢。
2017-03-30T07:04:00.000Z,金融股略顯疲態，國泰金 (2882) 、富邦金 (2881) 、新光金 (2888) 下挫1%領跌類股，台新金 (2887) 逆勢走揚1%相對強勢。
2017-04-15T01:42:00.000Z,以產業別區分，金融業的董事「鍍金」成分重，除中信金外，富邦金控 (2881) 、台新金控 (2887) 每位董事去年都有超過2100萬元進帳，在前10高董事酬勞中，金融業就占了3席，科技業僅台積電、大立光入榜。
2017-05-15T07:00:00.000Z,近期相對疲弱的金融股也發動攻勢，在富邦金 (2881) 、國泰金 (2882) 、台新金 (2887) 、中信金 (2881) 等領漲下，推升類股指數收復所有均線。
2017-05-17T06:58:00.000Z,彰銀案今天進行二審宣判，台新金 (2887) 勝訴帶動股價黑翻紅，大漲2.3%，進而激勵金融股走高護盤，台股原本下挫逼近9950點，終場回到萬點之上，收跌17.82點，為10013.67點，穩於5日線。
2017-05-17T06:58:00.000Z,中場後，台新金挾彰銀案勝訴利多上攻，股價從盤下直拉收漲2.3%，進而帶領金融類股走揚，成為台股守住萬點的大功臣。
2017-05-17T06:06:00.000Z,今早盤因追價買盤縮手，壓回至萬點以下，中午後台新金 (2887) 帶動金融股翻紅，最後一盤續小拉尾盤。
2017-05-17T06:06:00.000Z,  台股中場後由台新金 (2887) 挾利多上攻，金融指數翻紅；加上DRAM模組的威剛 (3260) 、宇瞻 (8271) 等聯袂收高，台股收長下影線，收盤僅小跌17點為10013點，本周連三天收盤在萬點以上。
2017-05-31T07:27:00.000Z,今天成交量前5名個股為台灣高鐵 (2633) 、元大滬深300正2（00637L）、群創 (3481) 、華邦電 (2344) 、台新金 (2887) 。
2017-05-31T07:27:00.000Z,今天成交量前5名個股為台灣高鐵 (2633) 、元大滬深300正2（00637L）、群創 (3481) 、華邦電 (2344) 、台新金 (2887) 。
2017-06-26T07:09:00.000Z,金融股季底作帳行情啟動，旺旺保 (2816) 、國泰金 (2882) 、富邦金 (2881) 、中信金 (2891) 、中壽 (2823) 、新光金 (2887) 聯袂大漲，推升類指飆高1.8%，成台股續創新高的最大功臣。
2017-07-17T06:53:00.000Z,金融股維持高檔整理，華南金 (2880) 、台新金 (2887) 、新光金 (2888) 、中信金 (2891) 相對強勢。
2017-07-20T07:01:00.000Z,金融股失守五日線，國泰金 (2882) 、開發金 (2883) 、台新金 (2887) 、中信金 (2891) 同步收黑。
2017-07-24T06:57:00.000Z,金融股擺尾收紅，兆豐金 (2886) 、台新金 (2887) 、永豐金 (2890) 相對強勢。
2017-07-31T07:16:00.000Z,金融股最後一盤獲買盤拉抬，指數幾近收平，富邦金 (2881) 、開發金 (2883) 、台新金 (2887) 、新光金 (2888) 擺尾收高。
2017-07-31T07:16:00.000Z,金融股最後一盤獲買盤拉抬，指數幾近收平，富邦金 (2881) 、開發金 (2883) 、台新金 (2887) 、新光金 (2888) 擺尾收高。
2017-08-10T07:05:00.000Z,金融股指數在外資持續調節下，重挫近2%跌落季線關卡，富邦金 (2881) 、國泰金 (2882) 、開發金 (2883) 、兆豐 (2886) 、台新金 (2887) 等最為弱勢。
2017-08-14T07:13:00.000Z,金融類指跌落半年線，台新金 (2887) 、新光金 (2888) 、第一金 (2890) 相對弱勢。
2017-08-23T06:54:00.000Z,金融股本周進入密集法說，富邦金 (2881) 、玉山金 (2883) 、中信金 (2881) 、台新金 (2887) 同步收高。
2017-10-27T07:08:00.000Z,金融股在新光金 (2888) 領軍下成穩盤要角，國泰金 (2882) 、中信金 (2891) 、台新金 (2887) 等同步收紅。
2017-10-27T06:04:00.000Z,  金融股今發揮有效穩盤作用，大型金控股由新光金 (2888) 大漲3%扮演領頭羊，國泰金 (2882) 漲幅也逾1.5%，中信金 (2891) 則上揚約1%，其餘台新金 (2887) 、元大金 (2885) 、國票金 (2889) 、玉山金 (2884) 等同步小漲。
2017-11-17T02:52:00.000Z,  金融股今盤中亦發揮穩盤作用，大型金控股以新光金 (2888) 大漲1.8%居冠，國泰金 (2882) 、中信金 (2892) 、元大金 (2885) 、台新金 (2887) 、兆豐金 (2886) 等盤中持穩小漲。
2018-01-02T07:12:00.000Z,金融股指數沿五日線上攀，國泰金 (2882) 、台新金 (2887) 成領漲指標。
2018-01-02T02:47:00.000Z,  金控即將公布去年財報，市場預期獲利排名將大洗牌，受慶富案重創，公股銀行獲利表現不受期待，兆豐金 (2886) 盤中僅能勉強持平，台新金 (2887) 買盤不斷進駐，推升股價漲幅達1.5%左右，成為今日的領頭羊。
2018-01-02T07:12:00.000Z,金融股指數沿五日線上攀，國泰金 (2882) 、台新金 (2887) 成領漲指標。
2018-01-02T02:47:00.000Z,  金控即將公布去年財報，市場預期獲利排名將大洗牌，受慶富案重創，公股銀行獲利表現不受期待，兆豐金 (2886) 盤中僅能勉強持平，台新金 (2887) 買盤不斷進駐，推升股價漲幅達1.5%左右，成為今日的領頭羊。
2018-01-05T05:52:00.000Z,  金融股今普遍持穩，中信金(2982)、開發金 (2883) 、國泰金 (2882) 、台新金 (2887) 等均小漲作收，京城銀 (2809) 持續大漲逾3.5%。
2018-01-09T07:08:00.000Z,金融股尾盤獲大單敲進幾近收平，國泰金 (2882) 、開發金 (2883) 、台新金 (2887) 攜手收紅。
2018-01-17T12:46:00.000Z,相較於16日買超36.8億元、15日買超24.26億元的溫和表現，外資今天買超力道大增，前10大買超個股有半數是金融股；其中，開發金 (2883) 買超張數達1.91萬張、新光金 (2888) 買超1.85萬張、元大金 (2885) 買超1.25萬張、台新金 (2887) 買超1.2萬張，中信金 (2891) 買超7305張。
