PublishDate,Sentence,Score
2018-09-02T23:48:00.000Z,外資與投信第3季來同步站在買方，7、8月合計買超達551億元，中鋼 （2002） 、台積電 （2330） 及遠東新 （1402） 等16檔兩大法人聯手大舉買超，主要聚焦在蘋概、PCB及原物料漲價股等，蓄勢為9月底作帳行情衝刺。,4
2018-09-02T23:48:00.000Z,　進入第3季之後，外資與投信同步扮演台股多頭指標，兩大法人7、8月合計都各買超5千張以上的個股有中鋼、台積電、遠東新、中石化、亞泥、中鴻、臻鼎-KY、玉山金、欣興、中華電、世界、金像電、美律、泰鼎-KY、和碩及智邦等16檔。,2
2018-09-02T23:48:00.000Z,　此外，黃文清也認為，傳產原物料股中鋼鐵股的中鋼、中鴻及水泥股的亞泥等，都是受惠於中國大陸供給側改革，中石化的己內醯胺（CPL）產品及遠東新的純對苯二甲酸（PTA）等，都有漲價及利差擴大的利多題材。,6
2018-09-17T06:59:00.000Z,然而蘋概三雄暫走疲，資金有轉入傳產跡象，以離岸風電題材續熱的鋼鐵股，今世紀鋼 (9958) 、新光鋼 (2031) 、中鋼構 (2013) 齊放閃。,0
2018-09-19T07:07:00.000Z,日港陸等亞股今日全面勁揚，台股在權王台積電 (2330) 走揚、股王大立光 (3008) 回穩帶動下，開盤即越過10800點及年線大關，加上金融股國泰金 (2882) 、開發金 (2883) 等助攻，水泥股台泥 (1101) 、亞泥 (1102) 及鋼鐵股大成鋼 (2027) 、中鋼構 (2013) 等匯聚人氣，推升指數越走越高，盤中一度大漲逾百點、攻上10882.75點，逼近月線大關，終場加權指數上漲97.06點為10857.27點，成交值為1276.39億元。,12
2018-09-19T07:07:00.000Z,鋼鐵股受到離岸風電題材點火，大成鋼 (2027) 、中鋼構 (2013) 聯袂勁彈。,1
2018-09-19T06:34:00.000Z,金融股國泰金 (2882) 等穩揚，金融股指數小漲，助攻台股愈走愈高；傳產的中鋼 (2002) 、大成鋼 (2027) 領軍上攻。,3
2018-09-19T03:06:00.000Z,傳產方面，鋼鐵股受惠於離岸風電基礎建設題材，進入景氣循環，大成鋼 (2027) 日K連三紅，今天上漲超過4%，最高49.3元；中鋼構 (2013) 大漲超過5%，最高來到33.9元。,4
2018-09-20T06:31:00.000Z,　在電子股疲弱同時，傳產原物料族群及金融股領軍反彈，大陸傳統「金九銀十」旺季需求，中鋼開出第4季鋼價上漲，預期明年第1季仍有持續上揚的機會，股價本周走高；金融股方面，華南金 (2880) 今天創下除息後新高價，國泰金 (2882) 今天重回季線之上，兆豐金 (2886) 本周亦是領漲標的，逐步逼近填息位置，中信金 (2891) 也來到今年6月以來新高，大盤部分資金已經流向金融股避險。,3
2018-09-21T07:13:00.000Z,大陸現貨鋼價持穩高檔，鋼鐵股本週獲得市場買盤轉進傳產股挹注，股價一檔接一檔上攻，新光鋼 (2031) 大漲6%以上，中鋼構 (2013) 、豐興 (2015) 、新鋼 (2032) 走高逾2%。,7
2018-09-26T07:07:00.000Z,川普對貿易立場態度強硬，以及美國聯準會預料將升息，周二美股跌多漲少，台股今日在台塑化 (6505) 、鴻海 (2317) 集團股領軍下，早盤再衝萬一大關，傳產股仍為資金避風港，離岸風電概念股火力旺，上緯投控 (3708) 、台船 (2208) 續攻漲停，永冠-KY (1589) 、世紀鋼 (9958) 、中鋼構 (2013) 聯袂走高，惟台積電 (2330) 及金融股轉趨觀望，使多空於平盤附近對峙，終場加權指數下跌4.66點為10974.19點，攻堅萬一關卡再度失利，成交值縮小至1066.78億元。,1
2018-09-26T07:07:00.000Z,　受到貿易戰干擾，傳產股成為資金避風港，離岸風電概念股依舊火熱，上緯投控 (3708) 、台船 (2208) 亮燈漲停，永冠-KY (1589) 、世紀鋼 (9958) 、中鋼構 (2013) 聯袂走高，帶動鋼鐵股中鋼 (2002) 、中鴻 (2014) 雙雙勁揚。,5
2018-09-26T06:30:00.000Z,美股在高檔震盪，台股今早再衝刺1萬1千點，但追價乏力，惟最後一盤台積電 (2330) 回升至平盤，金融類股指數跌幅收斂，中鋼 (2002) 、台塑化 (6505) 等原物料股撐盤，鴻海 (2317) 集團止跌反彈，台股收盤小跌4點至10974點，成交值1066億元。,0
