PublishDate,Sentence,Score
2018-12-20T01:41:00.000Z,台積電今年上半年就已著手5奈米新廠的擴建，加上公共建設明年看增以及台商回流的預期，有利於中鋼構 (2013) 、東和鋼鐵 (2006) 、豐興鋼鐵 (2015) 等鋼構及鋼筋廠明年需求續穩增。,2
2018-12-20T01:41:00.000Z,　台積電今年上半年已著手5奈米新廠的擴建，加上房地產回溫，帶動上半年鋼筋需求；台積公司位於台南的3奈米新廠預計於2020年開始動工建置，中鋼構有機會持續搶攻台積電的鋼構建材大單。,4
2018-12-20T00:03:00.000Z,　據了解，台積電位於台南的3奈米新廠預計於2020年開始動工建置，但今年上半年就已著手5奈米新廠的擴建，也因此中鋼構有不少鋼構建材都出貨給台積電，粗估光台南新廠所需的鋼構建材規模就高達2萬公噸。,1
2018-12-20T00:03:00.000Z,　由於中鋼構也是不少豪宅建案及A級以上商業大樓指定的鋼構建材主要供應商，也因此不少建商下單順位，只好排在台積電後面等。,0
2018-12-22T07:02:00.000Z,彰化7件離岸風電開發計畫過關，激勵概念股中鋼構 (2013) 、世紀鋼 (9958) 、新光鋼 (2031) 、上緯投控 (3708) 、永冠-KY (1589) 、大亞 (1609) 、潤泰材 (8463) 、華城 (1519) 等歡聲雷動。,4
2018-12-22T06:14:00.000Z,彰化7件離岸風電案獲內政部全數通過，激勵中鋼構、新光鋼、世紀鋼、潤泰材等風電題材股走高。,4
2018-12-22T03:10:00.000Z,彰化7件離岸風電案昨（21）日獲內政部全數通過，激勵中鋼構 （2013） 、新光鋼 （2031） 、世紀鋼 （9958） 等風電題材鋼鐵股走高。,4
2018-12-24T02:32:00.000Z,附表一: 指數回測期間指數績效表現分析 臺灣指數 公司存股雙十 等權重報酬指數 發行量加權股價報酬指數 總報酬 112.84% 69.63% 年化標準差 14.33% 12.46% 年平均報酬率 15.17% 10.67% Sharpe Ratio 105.91% 85.65% 2017 年股利 殖 利率 4.99% 4.51%資料來源為臺灣證券交易所、臺灣指數公司，計算期間為2013年1月2日至2018年6月29日，臺灣指數公司整理。,1
2018-12-24T00:18:00.000Z,由於台積電廠房大都由中鋼構 (2013) 興建，中鋼構表示，將積極爭取建廠案，明年將接續完成台積電在南科和中科廠房。,2
2018-12-24T00:18:00.000Z,中鋼構表示，台積電是中鋼構非常重要的大客戶，台積電許多廠房都是由中鋼構興建，目前尚有中科和南科等兩個廠房正在興建中，將延續至明年上半年。,2
2018-12-24T00:18:00.000Z,中鋼構指出，中鋼構將極力爭取台積電3奈米新廠建廠合約。,0
2018-12-24T00:18:00.000Z,以中鋼構現有月產能約1.5萬公噸，若能順利取得台積電的建廠訂單，預計明年第4季就要開始準備；同時明年還有集團內的中龍鋼鐵料倉室內化工程，這個工程主要興建放置煤礦和鐵礦砂，不要再露天曝放，以免影響空氣品質，中龍鋼鐵的工程結束後，預計將進行母公司中鋼公司 (2002) 的料倉室內化工程。,2
2018-12-24T00:18:00.000Z,另外，淡海輕軌綠山線日前通車，中鋼構已經供料藍海線工程。,0
2018-12-20T01:41:00.000Z,台積電今年上半年就已著手5奈米新廠的擴建，加上公共建設明年看增以及台商回流的預期，有利於中鋼構 (2013) 、東和鋼鐵 (2006) 、豐興鋼鐵 (2015) 等鋼構及鋼筋廠明年需求續穩增。,2
2018-12-20T01:41:00.000Z,　台積電今年上半年已著手5奈米新廠的擴建，加上房地產回溫，帶動上半年鋼筋需求；台積公司位於台南的3奈米新廠預計於2020年開始動工建置，中鋼構有機會持續搶攻台積電的鋼構建材大單。,4
2018-12-20T00:03:00.000Z,　據了解，台積電位於台南的3奈米新廠預計於2020年開始動工建置，但今年上半年就已著手5奈米新廠的擴建，也因此中鋼構有不少鋼構建材都出貨給台積電，粗估光台南新廠所需的鋼構建材規模就高達2萬公噸。,1
2018-12-20T00:03:00.000Z,　由於中鋼構也是不少豪宅建案及A級以上商業大樓指定的鋼構建材主要供應商，也因此不少建商下單順位，只好排在台積電後面等。,0
2018-12-22T07:02:00.000Z,彰化7件離岸風電開發計畫過關，激勵概念股中鋼構 (2013) 、世紀鋼 (9958) 、新光鋼 (2031) 、上緯投控 (3708) 、永冠-KY (1589) 、大亞 (1609) 、潤泰材 (8463) 、華城 (1519) 等歡聲雷動。,4
2018-12-22T06:14:00.000Z,彰化7件離岸風電案獲內政部全數通過，激勵中鋼構、新光鋼、世紀鋼、潤泰材等風電題材股走高。,4
2018-12-22T03:10:00.000Z,彰化7件離岸風電案昨（21）日獲內政部全數通過，激勵中鋼構 （2013） 、新光鋼 （2031） 、世紀鋼 （9958） 等風電題材鋼鐵股走高。,4
2018-12-24T02:32:00.000Z,附表一: 指數回測期間指數績效表現分析 臺灣指數 公司存股雙十 等權重報酬指數 發行量加權股價報酬指數 總報酬 112.84% 69.63% 年化標準差 14.33% 12.46% 年平均報酬率 15.17% 10.67% Sharpe Ratio 105.91% 85.65% 2017 年股利 殖 利率 4.99% 4.51%資料來源為臺灣證券交易所、臺灣指數公司，計算期間為2013年1月2日至2018年6月29日，臺灣指數公司整理。,1
2018-12-24T00:18:00.000Z,由於台積電廠房大都由中鋼構 (2013) 興建，中鋼構表示，將積極爭取建廠案，明年將接續完成台積電在南科和中科廠房。,2
2018-12-24T00:18:00.000Z,中鋼構表示，台積電是中鋼構非常重要的大客戶，台積電許多廠房都是由中鋼構興建，目前尚有中科和南科等兩個廠房正在興建中，將延續至明年上半年。,2
2018-12-24T00:18:00.000Z,中鋼構指出，中鋼構將極力爭取台積電3奈米新廠建廠合約。,0
2018-12-24T00:18:00.000Z,以中鋼構現有月產能約1.5萬公噸，若能順利取得台積電的建廠訂單，預計明年第4季就要開始準備；同時明年還有集團內的中龍鋼鐵料倉室內化工程，這個工程主要興建放置煤礦和鐵礦砂，不要再露天曝放，以免影響空氣品質，中龍鋼鐵的工程結束後，預計將進行母公司中鋼公司 (2002) 的料倉室內化工程。,2
2018-12-24T00:18:00.000Z,另外，淡海輕軌綠山線日前通車，中鋼構已經供料藍海線工程。,0
