PublishDate,Sentence,Score
2018-06-08T00:24:00.000Z,（中央社記者韋樞台北2018年6月8日電）中部鋼筋大廠豐興鋼鐵( 2015) 5月合併營收與自結稅前盈餘均比去年同期大增。,1
2018-06-08T00:24:00.000Z,豐興透露，台積電 (2330) 照進度在中科及南科建廠，豐興5月大量供應鋼筋，6月夏季電價出貨已有因應方案。,-2
2018-06-08T00:24:00.000Z,豐興5月合併營收新台幣30.02億元，大幅年增45.78%，累計前5月營收123億6681萬元，年增19.62%；5月合併自結營業利益3億1355萬元，年增76.55%，累計前5月自結營業利益12億9700萬元，年增1%；5月合併自結稅前盈餘3億2140萬元，年增78.33%，累計前5月自結稅前盈餘13億5099萬元，年增3.14%。,2
2018-06-08T00:24:00.000Z,豐興鋼鐵表示，台積電在中部和南部科學園區分別建廠，豐興為鋼筋主力供應商之一，按照工程進度出貨相當順利，再加上豐興耗費近27億元在今年初興建完成全新的鋼筋廠，學習曲線進步得非常快，光是5月的產能快要達到全產能每月6.5萬公噸到7萬公噸之多。,3
2018-06-08T00:24:00.000Z,豐興鋼鐵指出，這座新鋼筋廠採用小鋼胚煉製後直送軋延，不像傳統的小鋼胚要先冷卻後再加溫軋延，省卻大量的時間與能耗，製程比以前更環保。,0
2018-06-08T00:24:00.000Z,但從6月到9月為每年例行的夏季電價，豐興的煉鋼廠依照與台電公司的合約，不得在白天尖峰時間大量用電，因此煉鋼只能在離峰時段，小鋼胚的產量不足以應付鋼筋廠軋延所用。,-3
2018-06-08T00:24:00.000Z,豐興鋼鐵透露，豐興已在今年3月到5月額外備妥一些小鋼胚，以備夏季煉鋼量不足時遞補使用，因此並不會影響台積電建廠供料進度；不過在夏季電價期間仍會安排加熱爐等相關設備的歲修，以備從10月起恢復24小時全能生產。,-3
2018-06-08T00:24:00.000Z,豐興鋼鐵統計，去年全年銷售小鋼胚、型鋼、棒線鋼、鋼筋等共145.4萬公噸，今年在條線工廠改造完成及新鋼筋工廠投產後，今年全年鋼品銷量將比去年小幅成長。,2
2018-06-11T08:18:00.000Z,證交所董事長許璋瑤致詞時表示，從臺灣及韓國於2015年簽訂「第二號合作備忘錄」以來，雙方即就合編指數、共同行銷、商品互掛及人員交流等面向進行合作。,3
2018-06-11T05:31:00.000Z,證交所董事長許璋瑤說，台韓在2015年簽訂「第二號合作備忘錄」，雙方就合編指數、共同行銷、商品互掛及人員交流等面向合作，2016年元大投信發行追蹤韓國KOSPI 200指數的「元大韓國ETF」，韓國未來資產管理也發行追蹤台灣加權股價指數的「TIGER TAIWANTAIEX ETF」，為雙方資本市場互掛開創先河。,2
2018-06-15T03:33:00.000Z,路透社5月2日報導，據傳2015年三星集團的決策部門眼見電視獲利下滑，決定重押利潤較高的液晶(LCD)電視，放棄較不成熟的OLED電視；三星停產OLED電視的決定，埋下該公司在高階市場挫敗的種子。,-1
2018-06-15T03:33:00.000Z,與此同時，三星在高階電視市佔驟降至18.5%，遠低於2015年的54.7%。,0
2018-06-19T03:34:00.000Z,鴻海和鮮京電信關係好，2015~2016年鴻海曾替鮮京電信代工生產平價智慧機Luna。,3
