PublishDate,Sentence
2016-12-30T06:41:00.000Z,雖然台股全年看似容光煥發，但全年成交值18.9兆元卻是創下2002年最低迷紀錄，且連續3年量能萎縮，日均量775.18億元也是2006年以來新低，券商營業員叫苦連天。
2017-01-13T05:46:00.000Z,任天堂於2006年開賣、大暢銷的Wii遊戲機最初定價為250美元，而銷售疲弱的Wii U為300美元。
2017-02-15T06:52:00.000Z,傳產股由原物料族群領軍強攻，鋼鐵股因國際鋼價看漲一片紅通通，燁興 (2007) 、第一銅 (2009) 、盛餘 (2029) 齊飆漲停，中鋼 (2002) 、東鋼 (2006) 、中鋼構 (2013) 、中鴻 (2014) 、美亞 (2020) 、燁輝 (2023) 等同步攻高；貨櫃、散裝航運今年可望擺脫谷底，益航 (2601) 、新興 (2605) 、裕民 (2606) 、中航 (2612) 、四維航 (5608) 攻上漲停，東森 (2614) 、台航 (2617) 、正德 (2641) 等攜手勁揚；塑化股以龍頭台塑 (1301) 衝高逾4%漲勢最猛。
2017-02-17T02:19:00.000Z,在此之前，2006年1月11月蘋果也曾在一波大漲之後，出現十字線型態，並伴隨RSI超買訊號。
2017-04-10T09:12:00.000Z,證交所公告今日單一證券鉅額成交，股票名稱：  1.東和鋼鐵 (2006) ：每股成交價23.4元，成交量2560萬股，成交金額5億9904萬元。
2017-04-11T01:39:00.000Z,  3.東鋼 (2006) ：3月營收月增14.14%、年增23.48%，早盤多頭一吐悶氣，挾量跳漲逾3.5%。
2017-04-20T00:59:00.000Z,2.鋼鐵拉回修正，東和鋼鐵 (2006) 、燁輝 (2023) 、大成鋼 (2027) 、中鴻 (2014) 等下跌。
2017-05-31T07:05:00.000Z,傳產股方面，鋼鐵股龍頭中鋼 (2002) 尾盤急拉，推升指數擺尾收紅，東鋼 (2006) 大漲4%最為強勢。
2017-06-02T00:59:00.000Z,※弱勢股：以個別修正或漲多拉回為主，諸如台塑化 (6505) 、國巨 (2327) 、矽力-KY (6415) 、中裕 (4147) 、浩鼎 (4174) 、潤泰全 (2915) 、裕民 (2606) 、東和鋼鐵 (2006) 、智擎 (4162) 等。
2017-05-31T07:05:00.000Z,傳產股方面，鋼鐵股龍頭中鋼 (2002) 尾盤急拉，推升指數擺尾收紅，東鋼 (2006) 大漲4%最為強勢。
2017-06-02T00:59:00.000Z,※弱勢股：以個別修正或漲多拉回為主，諸如台塑化 (6505) 、國巨 (2327) 、矽力-KY (6415) 、中裕 (4147) 、浩鼎 (4174) 、潤泰全 (2915) 、裕民 (2606) 、東和鋼鐵 (2006) 、智擎 (4162) 等。
2017-06-12T04:23:00.000Z,"根據Yahoo Finance的資料顯示，截至台北時間12日上午12點16分為止，Remixpoint Co.(3825.JP)狂飆15.16%至1,633日圓，稍早最高漲至1,695日圓創2006年12月掛牌上市以來歷史新高紀錄；Remixpoint旗下擁有營運比特幣交易所的BITPoint Japan。"
2017-06-21T07:04:00.000Z,原物料族群方面，鋼鐵股龍頭中鋼 (2002) 股東會釋出今年鋼市仍審慎樂觀激勵股價走揚，中鴻 (2014) 、東鋼 (2006) 、燁輝 (2023) 、彰源 (2030) 同步大漲；水泥股漲勢整齊，類指走高1%；食品股在今日召開股東會的統一 (1216) 領漲下，帶動卜蜂 (1215) 、大成 (1210) 等聯袂勁揚。
