PublishDate,Sentence
2017-02-17T05:07:00.000Z,  英特爾在研發支出金額占整體營收比重在過去20年來呈現顯著的成長，在1995年僅占9.3%，2000年占16.0%，2005年占14.5%，2010年占16.4%，而到了去年已攀升至22.4%。
2017-02-17T03:07:00.000Z,因新技術開發成本增加，IC Insights表示，英特爾去年研發支出占營收比重創下20年來新高，英特爾2010年研發支出占營收比重約16.4%，2005年研發支出占營收比重約14.5%。
2017-02-24T01:57:00.000Z,他以「Tegra」行動晶片為例，指出2010年下半，Nvidia的EV/sales從1倍增至3倍，不過投資人的興奮情緒在2011年1月觸頂，之後EV/sales倍數腰斬，降至1.5倍。
2017-02-24T01:57:00.000Z,他以「Tegra」行動晶片為例，指出2010年下半，Nvidia的EV/sales從1倍增至3倍，不過投資人的興奮情緒在2011年1月觸頂，之後EV/sales倍數腰斬，降至1.5倍。
2017-03-07T00:46:00.000Z,和去年同期相比，大增13.9%，年增幅創2010年11月以來之最。
2017-03-15T03:10:00.000Z,歷年來中華開發在台灣經濟成長及產業發展歷程中，扮演重要的推手角色，投資扶植的產業涵蓋1960年代的紡織工業、1970年代的石化工業、1980年代的電子及電腦工業、1990年代的半導體及通訊工業、2000年代的光電業，以及2010年代的生醫科技及替代能源等。
2017-04-04T23:08:00.000Z,和去年同期相比，攀升16.5%，年增幅創2010年10月以來之最。
2017-05-15T01:53:00.000Z,如果「Sell in May(5月賣股)」突襲，那些類股最受衝擊？據瑞信證統計2010~2017年的QFII資料，科技族群累計在5月遭外資賣超金額最高，達38.54億美元，其中科技上游遭賣超14.64億美元，而科技下游遭賣超23.9億美元；而最不受「Sell in May」魔咒影響的3大類股是消費、工業及通訊族群。
2017-05-15T01:53:00.000Z,2010~2017年的QFII資料顯示，6月科技股累計遭賣超37.1億美，7月科技股累計遭賣超21.59億美元，8月科技股累計遭賣超29.49億美元。
2017-05-23T02:00:00.000Z,MoneyDJ新聞 2017-05-23 10:00:13 記者 郭妍希 報導記憶體大廠美光(Micron Technology)、NFC晶片供應商恩智浦半導體(NXP Semiconductors)等半導體業者最好謹慎一些，因為分析發現「前置時間」(lead times)已創2010年新高、產業吹出大泡沫，今(2017)年稍晚或有破滅之虞。
2017-05-23T02:00:00.000Z,調查顯示，平均前置時間已經創2010年以來新高。
2017-05-25T00:27:00.000Z,除了2014年之外，比特幣從2010年來，每年都是表現最佳的貨幣。
2017-05-26T06:36:00.000Z,  航運股今在業界看好將出現自2010年後7年來首度供需曲線呈現黃金交叉，陽明 (2609) 、長榮 (2603) 、四維航 (5608) 、裕民 (2606) 等同步走強；塑化股則因為OPEC減產不如市場預期積極下，導致塑化股全數回檔，台塑家族個股也成為壓抑指數的原因之一。
2017-05-26T03:00:00.000Z,  航運、汽車族群扮演今日強勢指標，陽明 (2609) 海運董座謝志堅喊話，看好今年貨運需求成長、艙位供給將出現同步成長，這是自2010年後7年來首度供需曲線呈現黃金交叉，陽明今大漲4%，長榮 (2603) 漲幅逾2.5%，其餘四維航 (5608) 、裕民 (2606) 等同步走強；汽車股今則由和泰車 (2207) 大漲約2.5%領軍，裕隆 (2201) 、裕日車 (2227) 等跟進小漲。
2017-06-23T02:06:00.000Z,"相較之下，2010年5月道瓊工業指數閃崩將近1,000點之後，美國證交會(SEC)隨後實施熔斷機制，只要波動幅度超過5%，就自動暫停交易。"
