PublishDate,Sentence
2017-01-13T05:46:00.000Z,"Switch為任天堂睽違了約4年之後(2012年的Wii U之後)首度推出的新款遊戲機，截至2016年9月為止Wii U全球累計銷售量僅1,336萬台，僅有其前代機種Wii(全球累銷破1億台)的約1/8水準。"
2017-02-06T01:33:00.000Z,只不過台積電家大業大，而且張忠謀年逾80，因此2012年任命營運資深副總劉德音、業務開發資深副總魏哲家擔任共同執行長，再次啟動接班計畫。
2017-02-07T01:25:00.000Z,蘇姿豐與超微科技長Mark Papermaster在2012年邀回當年帶領超微登頂的處理器傳奇設計師Jim Keller，明顯提振了超微產品的運作效能。
2017-02-09T06:28:00.000Z,  英特爾的新晶圓廠Fab 42廠已於2011年動工，歐巴馬2012年執政時就已造訪過工地，當時投資額為50億美元。
2017-03-14T04:44:00.000Z,台積電陸續於2011年與2012年開設「產業節水技術課程」及「產業節能省電技術課程」，共有165家企業、政府及學校單位響應。
2017-03-14T01:54:00.000Z,蘋果在過去6年來、有4次在3月份舉行新品發表會，分別為2011年3月2日發表第2代iPad、2012年3月7日發表第3代iPad和Apple TV、2015年3月9日發表MacBook和Apple Watch、2016年3月21日發表9.7吋版iPad Pro和iPhone SE。
2017-03-30T06:32:00.000Z,NOR Flash 族群今天持續強勢，旺宏終場大漲逾 9%，直追 2012 年高點的 13.7 元；華邦電盤中更是以 17.4 元創下 2002 年 5 月以來高點，尾盤獲利了結賣壓湧現，終場仍上漲 3.6%。
2017-03-29T23:39:00.000Z,韓聯社指出，SK Hynix會長崔泰源參與競標主要是為了擴大半導體事業，崔泰源在2012年時也曾考慮收購爾必達。
2017-03-30T06:32:00.000Z,NOR Flash 族群今天持續強勢，旺宏終場大漲逾 9%，直追 2012 年高點的 13.7 元；華邦電盤中更是以 17.4 元創下 2002 年 5 月以來高點，尾盤獲利了結賣壓湧現，終場仍上漲 3.6%。
2017-04-07T04:38:00.000Z,"Media Create指出，Switch於日本市場開賣首月(截至上週為止的5週期間)銷售量累計為56萬5,013台，首月表現遠遜於2012年12月開賣的前代機種Wii U(日本開賣5週銷售量為69萬4,370台)，但優於2014年2月開賣的Sony PS4(日本開賣5週銷售量為47萬11台)。"
2017-04-12T07:38:00.000Z,」　　繼2012年開設「產業節能省電技術課程」之後，今年四月台積電延續過去授課分享經驗之成功模式，繼續開辦「節能實務與能源管理策略」免費課程，強調利用系統效能監測與更創新的設計來改善廠務系統及製程機台的節能效果。
2017-04-12T07:11:00.000Z,繼2012年開設「產業節能省電技術課程」後，台積電今年再開辦「節能實務與能源管理策略」免費課程，強調利用系統效能監測與更創新的設計來改善廠務系統及製程機台的節能效果。
2017-04-17T02:30:00.000Z,"根據日本遊戲產業市調機構Media Create日前公布的資料顯示，Switch於日本市場開賣首月(截至3月27日-4月2日當週為止的5週期間)銷售量累計為56萬5,013台，首月表現遠遜於2012年12月開賣的前代機種Wii U(日本開賣5週銷售量為69萬4,370台)，但優於2014年2月開賣的Sony PS4(日本開賣5週銷售量為47萬11台)。"
2017-05-09T02:43:00.000Z,凱基台灣精五門基金經理人劉建生表示，目前台股股價淨值比(PB)約1.65倍，2012至2016年這5年平均約1.46至1.74倍，預估今年企業獲利可望優於去年預期下，股價淨值比有機會往1.74倍靠近，若以此推估，指數高點約落在10032點，若在資金持續推升下，還有更上一層樓的機會。
2017-05-11T07:44:00.000Z,不僅如此，要是少了蘋果，2012年以來台積營收擴張將減半；這段期間台積營收成長有42%來自蘋果。
2017-05-25T04:57:00.000Z,"成立於2012年的99在巴西400個城市提供叫車服務、旗下擁有20萬名司機，註冊用戶數高達1,400萬。"
2017-06-07T06:57:00.000Z,創意 (3443) 5月營收報佳音，不但股價完成填息，多方趁勝追擊，今日再度漲停，創2012年4月以來高價。
