PublishDate,Sentence
2016-12-30T03:17:00.000Z,"據市調機構Juniper Research預測，到了2025年，全球自駕車將上看1,450萬台，一開始會由計程車帶頭，這也是Uber自駕車測試方案如此引人矚目的原因。"
2017-02-03T06:05:00.000Z,  傳產股方面，農曆年後原物料行情回溫，帶動相關類股鋼鐵、塑化股表現不差，千興 (2025) 漲停，中鴻 (2014) 大漲6%，允強 (2034) 、燁輝 (2023) 漲幅逾2.5%，新光鋼 (2031) 、新鋼 (2032) 、中鋼構(2013、彰源(2030)等則漲1.5%~2%；塑化族群以二線塑化股為主，國喬 (1312) 大漲6%，台苯 (1310) 、台達化 (1309) 漲幅逾4.5%，中石化 (1314) 亦大漲逾3%。
2017-02-03T06:05:00.000Z,  傳產股方面，農曆年後原物料行情回溫，帶動相關類股鋼鐵、塑化股表現不差，千興 (2025) 漲停，中鴻 (2014) 大漲6%，允強 (2034) 、燁輝 (2023) 漲幅逾2.5%，新光鋼 (2031) 、新鋼 (2032) 、中鋼構(2013、彰源(2030)等則漲1.5%~2%；塑化族群以二線塑化股為主，國喬 (1312) 大漲6%，台苯 (1310) 、台達化 (1309) 漲幅逾4.5%，中石化 (1314) 亦大漲逾3%。
2017-02-10T01:38:00.000Z,第四，台灣人口結構發展是亞太區除日本以外最弱勢的國家之一，工作人口於2015年攀上高峰，接下來到2025年之間恐出現亞太區複合年成長率（CAGR）最大跌幅的0.8%。
2017-02-23T09:26:00.000Z,  劉德音今天並邀請供應商一起投入綠色製造，他表示，台積電預計2025年，每片晶圓將要減少用電量21%，新設備則將減少用電量達30%，既有設備減少用電量約14%。
2017-02-23T08:40:00.000Z,劉德音並呼籲，設備商能儘早與台積電共同研發，並能與材料業者展開 3方合作，此外，劉德音還說明降低設備用電目標，預計2025年可降低21%，現有設備用電可降低14%，新設備則可降低30%。
2017-02-23T23:53:00.000Z,　為響應綠色環保，劉德音也宣示，台積電預計在2025年時，生產每片晶圓將比現在減少用電21％，其中新設備需要減少用電量30％，既有設備希望能減少用量約14％。
2017-02-23T23:53:00.000Z,　為響應綠色環保，劉德音也宣示，台積電預計在2025年時，生產每片晶圓將比現在減少用電21％，其中新設備需要減少用電量30％，既有設備希望能減少用量約14％。
2017-05-25T04:57:00.000Z,高盛經濟研究日前發表報告指出，2025-2030年期間自駕車(包括全自動、半自動)占整體汽車銷售比重預估將達到20%。
2017-06-30T07:13:00.000Z,傳產股方面，鋼鐵股本周受到鋼價反彈激勵呈現補漲行情，惟中鋼 (2002) 尾盤熄火拖累類指收黑，中鴻 (2014) 、官田鋼 (2017) 、燁輝 (2023) 、千興 (2025) 、彰源 (2030) 則逆勢強彈；遠雄 (5522) 集團弊案風波再起，上午傳出趙藤雄、周勝考涉貪遭聲押，股價爆量殺破40元，探近4個月來最低；NIKE財報優於預期，相關供應鏈東隆興 (4401) 、豐泰 (9910) 、百和 (9938) 強勢大漲。
2017-07-03T07:04:00.000Z,傳產股方面，以運輸、紡纖、鋼鐵股相對強勢；紡纖股持續展開補漲行情，宏洲 (1413) 亮燈漲停，遠東新 (1402) 、宜進 (1457) 、南紡 (1440) 、宏益 (1452) 齊聲走揚；航運股受惠貨櫃航運露曙光，貨櫃三雄長榮 (2603) 、萬海 (2615) 、陽明 (2609) 攜手大漲；鋼鐵股紅光滿面，中鋼 (2002) 、千興 (2025) 、盛餘 (2029) 強彈2%。
2017-06-30T07:13:00.000Z,傳產股方面，鋼鐵股本周受到鋼價反彈激勵呈現補漲行情，惟中鋼 (2002) 尾盤熄火拖累類指收黑，中鴻 (2014) 、官田鋼 (2017) 、燁輝 (2023) 、千興 (2025) 、彰源 (2030) 則逆勢強彈；遠雄 (5522) 集團弊案風波再起，上午傳出趙藤雄、周勝考涉貪遭聲押，股價爆量殺破40元，探近4個月來最低；NIKE財報優於預期，相關供應鏈東隆興 (4401) 、豐泰 (9910) 、百和 (9938) 強勢大漲。
